Name,Shortname,Type,Sponsoring dept,Description,URL
British National Space Agency,UKSA,Executive Agency,"Department for Business, Innovation and Skills","The UK Space Agency is anExecutive agency of the Department for Business, Innovation and Skills (BIS) and at the heart of UK efforts to explore and benefit from space.
Space is an essential part of all our everyday lives and one of the key enablers of the global economy.

Space has revolutionised telecommunications services, climate and weather forecasting, commerce, environmental management, security, banking, navigation and TV broadcasting.

The UK space sector is thriving, showing growth rates of 10.2% over the last four years (The Size and Health of the UK Space Industry: November 2010) despite the economic recession.

Reporting to the Minister of State for Universities and Science, the UK Space Agency is at the heart of UK efforts to explore space, exploit space-based applications and technology and support our academic and industrial communities.

The UK Space Agency was launched officially on 23 March 2010 and became anExecutive agency of BIS on 1 April 2011. The Agency is responsible for all strategic decisions on the UK civil space programme and provides a clear, single voice for UK space ambitions.

The UK Space Agency:

co-ordinates UK civil space activity;
supports academic research;
nurtures the UK space industry;
raises the profile of UK space activities at home and abroad;
works to increase understanding of space and its practical benefits and;
inspires our next generation of UK scientists and engineers.
UK space policy is carried out within the framework of the UK Civil Space Strategy 2008-2012 and beyond. This strategy shapes the direction of UK space policy. The strategy is being reviewed in line with the UK Space Innovation and Growth Strategy and the Agency's new position as anExecutive agency of BIS.

The UK Space Agency also interfaces with other departments on security and military programmes. Although it does not manage these programmes directly, the UK Space Agency is kept informed and involved in decisions relating to the programmes as necessary.

Collaboration lies at the heart of the UK Space Agency ethos and applies across Government as well as to external organisations including European and global partners such as the European Space Agency (ESA), the European Union, national space agencies and the United Nations.

The Space Leadership Council formed at the launch of the UK Space Agency in March 2010, and provides strategic advice and challenge for the UK Space Agency and identifies future opportunities for growth in the space sector, the wider economy and society in general.",http://www.bis.gov.uk/ukspaceagency
"Advisory, Conciliation and Arbitration Service",ACAS,Executive non-departmental public body,"Department for Business, Innovation and Skills","Acas stands for Advisory, Conciliation and Arbitration Service. We aim to improve organisations and working life through better employment relations. We help with employment relations by supplying up-to-date information, independent advice and high quality training, and working with employers and employees to solve problems and improve performance.

Whether you're an employer or an employee you can get free advice from this website or by calling our telephone helpline. Employers might also be interested in our more specialised services, including training, workplace projects, conciliation and mediation.",http://www.acas.org.uk/
Arts and Humanities Research Council,AHRC,Executive non-departmental public body,"Department for Business, Innovation and Skills","Established in April 2005, the Arts and Humanities Research Council [AHRC] is a Non-Departmental Public body. AHRC evolved from the Arts and Humanities Research Board, which was founded in 1998.
Today, we are sponsored by the Department for Business, Innovation and Skills (previously DIUS).

Our Vision
Our vision is to be a recognised world leader in advancing arts and humanities research.
Our Strategic Aims
To promote and support the production of world-class research in the arts and humanities
To promote and support world-class postgraduate training designed to equip graduates for research or other professional careers
To strengthen the impact of arts and humanities research by encouraging researchers to disseminate and transfer knowledge to other contexts where it makes a difference
To raise the profile of arts and humanities research and to be an effective advocate for its social, cultural and economic significance.
How we are funded
We receive public funding through the Science and Innovation Group which is part of the Department for Business, Innovation and Skills.
How we fund others
In the current financial year [2010-11] we will receive approximately £112m to fund research in all the subjects that are within our remit.",http://www.ahrc.ac.uk/
British Hallmarking Council ,BHC,Executive non-departmental public body,"Department for Business, Innovation and Skills","There has been a statutory duty to mark precious metal since 1478. The UK is one of only a handful of countries in the world who have such a rigorous hallmarking system to protect the consumer and the trade.

The British Hallmarking Council have the duty to uphold and protect a system which has been established for several hundred years and which is envied by many other countries around the world

The Council
The British Hallmarking Council was set up under the Hallmarking Act 1973 and came into existence on 1 January 1974.

It consists of between sixteen and nineteen members, ten of whom are appointed by The Secretary of State for Trade and Industry. Of these, three have to have experience in organisations or activities carried on for the protection of the consumer and four have to be engaged in trading or manufacture of articles of precious metal.

The Assay Offices appoint six members, two from Assay Office London, two from Birmingham Assay Office and one each from Sheffield and Edinburgh Assay Offices. The Council may co-opt up to two further members. The members hold office for terms of three years. The Assay Masters cannot be Council members, but they have a right to attend and speak at meetings.

The Council elects a Chairman and the present incumbent is Tom Murray, who, as Chairman, has a casting vote in the event of equality of votes at any meeting.

The British Hallmarking Council is totally funded by the four UK Assay Offices who split the costs between them.",http://www.bis.gov.uk/britishhallmarkingcouncil
Competition Commission,CC,Executive non-departmental public body,"Department for Business, Innovation and Skills","The Competition Commission (CC) is an independent public body which conducts in-depth inquiries into mergers, markets and the regulation of the major regulated industries, ensuring healthy competition between companies in the UK for the benefit of companies, customers and the economy.

All of the CC’s inquiries are undertaken following a reference made by another authority, most often the Office of Fair Trading (OFT) (which refers merger and market inquiries), or one of the sector regulators (which can refer markets within their sectoral jurisdictions or make regulatory references in relation to price controls and other licence modifications) or as a result of an appeal from a decision of one of the sector regulators.",http://www.competition-commission.org.uk/
Construction Industry Training Board,CSKILLS,Executive non-departmental public body,"Department for Business, Innovation and Skills","We believe that developing the skills of workers in the construction industry is crucial to the health of the UK economy – that’s why we are working with employers to make sure our industry has the right skills in the right place, at the right time.

Who are we?

We are the Sector Skills Council and Industry Training Board for the construction industry, working with industry, for industry to deliver a safe, professional and fully qualified UK construction workforce.

We work with construction companies to help them improve skills, increase their competitive edge and respond to the many challenges employers face – from the low carbon agenda, through to reducing costs on-site and recruiting the best and brightest talent for their sector.


What do we do?

We use our robust sector specific labour market intelligence, the Construction Skills Network, to develop and deliver a range of products and services to construction employers, and we invest employer funds in a variety of ways - so that businesses can keep the skills in their workforce up-to-date, and increase their bottom line.

It’s our job to:

Shape our industry
We represent 3 million construction workers and we use our excellent links with all three UK Governments, to represent the voice of industry and ask for a fair deal for our workforce. We’ve used our connections to support employers through the recession – helping them to retain their apprentices and, we’ve shaped qualifications, saved the NVQ and championed employer-led initiatives to deliver flexible learning for construction businesses.
Attract the brightest and best talent
We understand that apprenticeships are the lifeblood of our industry, and we work to encourage more young people to join our industry. We’ve campaigned for funding for adult apprentices and we’ve set up www.bconstructive.co.uk to give young people a flavour of the exciting career opportunities that lie in wait, for our new recruits.
Train, train, train
Our National Construction College is the largest construction college in Europe, providing quality and affordable training to 30,000 workers each year. We also support apprentices – matching them with an employer and training them at our flagship colleges throughout the UK. Our apprenticeship programmes are second to none, breaking the national average for apprenticeship completion rates by 10%. Last year, 77% of our apprentices completed their framework.
Support existing workers
We invest employer funds by providing grants to employers that are registered with CITB-ConstructionSkills. Through the Grants Scheme and our Development Funds programme, we support in excess of 23,000 businesses each year – giving grants to upskill workers and increase their competitive edge. We also provide £1.8m funding each year to 88 Training Groups across the country, to help them take advantage of opportunities in their area.
Help businesses take advantage of opportunities

We have over 350 committed, knowledgeable and hardworking people working across the UK to provide local and national solutions to employers.
Understand changes to legislation

We know that keeping up with changes to legislation can be daunting, and that many businesses miss out on opportunities because they don’t understand. That’s why we work with employers to raise awareness of these changes and help them to capitalise on opportunities – like the Green Deal and Energy Bill.",http://www.cskills.org/
Consumer Focus,CF,Executive non-departmental public body,"Department for Business, Innovation and Skills","Consumer Focus is the statutory consumer champion for England, Wales, Scotland and (for postal consumers) Northern Ireland. We were formed by The Consumers, Estate Agents and Redress (CEAR) Act 2007.

We operate across the whole of the economy, persuading businesses, public services and policy makers to put consumers at the heart of what they do.

Consumer Focus tackles the issues that matter to consumers, and aims to give people a stronger voice. We don’t just draw attention to problems – we work with consumers and with a range of organisations to champion creative solutions that make a difference to consumers’ lives.

Consumer Focus has strong legislative powers. These include the right to investigate any consumer complaint if they are of wider interest, the right to open up information from providers, the power to conduct research and the ability to make an official super-complaint about failing services.

We receive about a third of our funding from the Department for Business, Innovation and Skills (BIS). Funding also comes from licenses paid by energy suppliers and the postal industry. We are also able to raise our own funds – for example, through externally funded projects.",http://www.consumerfocus.org.uk/
Design Council,Design Council,Executive non-departmental public body,"Department for Business, Innovation and Skills",The Design Council is a charity incorporated by Royal Charter and now includes CABE. Our aim is to promote design and architecture for the public good.,http://www.designcouncil.org.uk/
Economic and Social Research Council,ESRC,Executive non-departmental public body,"Department for Business, Innovation and Skills","We are the UK's largest organisation for funding research on economic and social issues. We support independent, high quality research which has an impact on business, the public sector and the third sector. Our total budget for 2011/12 is £203 million. At any one time we support over 4,000 researchers and postgraduate students in academic institutions and independent research institutes.",http://www.esrc.ac.uk/
Engineering and Physical Sciences Research Council,EPSRC,Executive non-departmental public body,"Department for Business, Innovation and Skills","EPSRC is the main UK government agency for funding research and training in engineering and the physical sciences, investing more than £850 million a year in a broad range of subjects – from mathematics to materials science, and from information technology to structural engineering.",http://www.epsrc.ac.uk/
Engineering Construction Industry Training Board,ECITB,Executive non-departmental public body,"Department for Business, Innovation and Skills","The Engineering Construction Industry Training Board provides professional advice, information, skills development and qualifications to help individuals within engineering construction succeed in their chosen careers.
Working closely with industry employers, their training programmes and Vocational Qualifications guarantee competence in practical craft and technician occupations as well as the technical, management supervisory, design and project management skills.",http://www.ecitb.org.uk/
Higher Education Funding Council for England,HEFCE,Executive non-departmental public body,"Department for Business, Innovation and Skills","The Higher Education Funding Council for England (HEFCE) distributes public money for teaching and research to universities and colleges. In doing so, it aims to promote high quality education and research, within a financially healthy sector. The Council also plays a key role in ensuring accountability and promoting good practice.",http://www.hefce.ac.uk/
Medical Research Council,MRC,Executive non-departmental public body,"Department for Business, Innovation and Skills","The Medical Research Council is a publicly-funded organisation dedicated to improving human health.

We support research across the entire spectrum of medical sciences, in universities and hospitals, in our own units, centres and institutes in the UK, and in our units in Africa.",http://www.mrc.ac.uk/
Natural Environment Research Council,NERC,Executive non-departmental public body,"Department for Business, Innovation and Skills","NERC is the UK's main agency for funding and managing research, training and knowledge exchange in the environmental sciences.

We coordinate some of the world's most exciting research projects, tackling major issues such as climate change, environmental influences on human health, the genetic make-up of life on earth, and much more.

NERC is a non-departmental public body. We receive funding from the Department for Business, Innovation and Skills (BIS).

Working internationally, we have bases in the most hostile parts of the planet. We run a fleet of research ships and aircraft and invest in satellite technology to monitor gradual environmental change on a global scale. We provide knowledge, forewarning and solutions to the key global environmental challenges facing society.",http://www.nerc.ac.uk/
Office for Fair Access,OFFA,Executive non-departmental public body,"Department for Business, Innovation and Skills","The Office for Fair Access (OFFA) is an independent, non departmental public body. Our role is to promote and safeguard fair access to higher education for lower income and other under-represented groups following the introduction of higher tuition fees in 2006-07.

What we do

We help safeguard fair access by approving and monitoring access agreements – agreements in which universities and colleges set out their tuition fee limit and the access measures they intend to put in place e.g. outreach work and financial support. Access agreements cover full-time undergraduate courses and PGCE (Postgraduate Certificate in Education) and ITT (Initial Teacher Training) courses for home/EU students at English universities and colleges.  In future, subject to Parliamentary approval, they will also cover part-time students. Access agreements do not cover postgraduate courses or apply to overseas students.

All publicly funded providers of higher education in England that wish to charge tuition fees above the basic level have to submit an access agreement to us for approval. We then monitor their progress in meeting their access agreement commitments on an annual basis. We also have a role in identifying and disseminating good practice and advice connected with access agreements and bursary support.",http://www.offa.org.uk/
Science and Technology Facilities Council ,STFC,Executive non-departmental public body,"Department for Business, Innovation and Skills","The Science and Technology Facilities Council is keeping the UK at the forefront of international science and tackling some of the most significant challenges facing society such as meeting our future energy needs, monitoring and understanding climate change, and global security.

The Council has a broad science portfolio and works with the academic and industrial communities to share its expertise in materials science, space and ground-based astronomy technologies, laser science, microelectronics, wafer scale manufacturing, particle and nuclear physics, alternative energy production, radio communications and radar.",http://www.stfc.ac.uk/
Student Loans Company,Student Loans,Executive non-departmental public body,"Department for Business, Innovation and Skills","The Student Loans Company is a non-profit making Government-owned organisation set up in 1989 to provide loans and grants to students in universities and colleges in the UK.

We provide financial support for people studying at universities and colleges throughout the United Kingdom. That means that we pay loans and non-repayable grants for living costs and studying expenses and we provide loans to meet the costs of tuition fees, which we pay directly to universities and colleges on behalf of students.  We have 1.3 million student customers and 2.8 million customers no longer in higher education.

We also collect repayments from customers no longer in higher education.",http://www.slc.co.uk/
Technology Strategy Board,TSB,Executive non-departmental public body,"Department for Business, Innovation and Skills","The Technology Strategy Board is the UK’s national innovation agency. Our goal is to accelerate economic growth by stimulating and supporting business-led innovation.

We understand business, and our people come mainly from business. We work right across government, business and the research community - removing the barriers to innovation, bringing organisations together to focus on opportunities, and investing in the development of new technology-based products and services for future markets.",http://www.innovateuk.org/
UK Atomic Energy Authority ,UKAEA,Executive non-departmental public body,"Department for Business, Innovation and Skills","The United Kingdom Atomic Energy Authority (the Authority) carries out fusion research in the UK on behalf of Government. In addition, the Authority continues to manage the records service for the Nuclear Decommissioning Authority (NDA) at Harwell, and owns land at both the Harwell and Culham sites in Oxfordshire, where thriving science parks have been set up.

Following the sale of UKAEA Limited to Babcock International in October 2009, the Authority no longer carries out decommissioning or consulting in other nuclear areas.",http://www.uk-atomic-energy.org.uk/
UK Commission for Employment and Skills,UKCES,Executive non-departmental public body,"Department for Business, Innovation and Skills","We are a social partnership, led by Commissioners from large and small employers, trade unions and the voluntary sector. Our mission is to raise skill levels to help drive enterprise, create more and better jobs and economic growth.
The UK Commission for Employment and Skills is a Non-Departmental Public Body providing strategic leadership on skills and employment issues in the four nations of the UK.  Together, our Commissioners comprise a social partnership that includes CEOs of large and small employers across a wide range of sectors; trade unions and representatives from the Devolved Administrations.

Our mission is to work with and through our partners to secure a greater commitment to invest in the skills of people to drive, enterprise, jobs and growth.

Our strategic objectives are:

To provide world-class labour market intelligence which helps businesses and people make the best choices for them
To work with sectors and business leaders to develop and deliver the best solutions to generate greater employer investment in skills
To maximise the impact of changed employment and skills policies and employer behaviour to help drive jobs, growth and an internationally competitive skills base
Within these strategic objectives, our Commissioners’ priority outcomes are:

To make and win the economic argument for greater investment in skills
To enhance the value and accessibility of vocational training, especially apprenticeships
To galvanise industries and sectors to improve the skills and productivity of their workforces
To work with sectors to ensure the creation of more and better jobs, maximising opportunities for unemployed people.",http://www.ukces.org.uk/
Certification Officer,Certification Officer,Executive non-departmental public body,"Department for Business, Innovation and Skills",,http://www.certoffice.org/
Competition Appeal Tribunal,CAT,Tribunal non-departmental public body,"Department for Business, Innovation and Skills","The United Kingdom Competition Appeal Tribunal is a specialist judicial body with cross-disciplinary expertise in law, economics, business and accountancy whose function is to hear and decide cases involving competition or economic regulatory issues.",http://www.catribunal.org.uk/
Financial Reporting Council,FRC,Independent monitoring body,"Department for Business, Innovation and Skills",,http://www.frc.org.uk
Foresight,Foresight,Other,"Department for Business, Innovation and Skills",,http://www.bis.gov.uk/foresight
Institute for Learning,IFL,Other,"Department for Business, Innovation and Skills",,http://www.ifl.ac.uk
National Physical Laboratory,NPL,Other,National Measurements Office,,http://www.npl.co.uk
UK Accreditation service,UKAS,Other,"Department for Business, Innovation and Skills",,http://www.ukas.com
British Standards Institute,BSI,Public corporation,"Department for Business, Innovation and Skills",,http://www.bsigroup.com/
Capital for Enterprise Ltd,CfEL,Public corporation,"Department for Business, Innovation and Skills",,http://www.capitalforenterprise.gov.uk/
Central Arbitration Committee,CAC,Other,"Department for Business, Innovation and Skills",,http://www.cac.gov.uk/
Citizens Advice/Citizens Advice Scotland,CAB,Other,"Department for Business, Innovation and Skills",,http://www.citizensadvice.org.uk/
Community Interest Companies Regulator,CICS,Other,"Department for Business, Innovation and Skills",,http://www.bis.gov.uk/cicregulator/
Film Industry Training Board,FITB,Other,"Department for Business, Innovation and Skills",,Not online?
Industrial Development Advisory Board,IDAB,Other,"Department for Business, Innovation and Skills",,http://www.bis.gov.uk/policies/economic-development/industrial-development-advisory-board
National Apprenticeship Service,NAS,Other,"Department for Business, Innovation and Skills",,http://www.apprenticeships.org.uk/About-Us/National-Apprenticeship-Service.aspx
Research Councils UK,RCUK,Other,"Department for Business, Innovation and Skills",,http://www.rcuk.ac.uk/
Royal Mail Holdings PLC,Royal Mail,Other,"Department for Business, Innovation and Skills",,http://www.royalmailgroup.com/
Child Support Agency,CSA,Executive Agency,Child Maintenance and Enforcement Commission,"The Commission is the Non-Departmental Public Body with responsibility for the child maintenance system in Great Britain.

The Commission’s primary objective is to maximise the number of effective child maintenance arrangements in place for children who live apart from one or both of their parents, whether arranged collaboratively between parents through a family-based arrangement, through the courts or through the statutory schemes.

The Commission has three core functions:

to promote the financial responsibility that parents have for their children;
to provide information and support on the different child maintenance options available;
to provide an efficient statutory maintenance service, with effective enforcement.
It has two delivery bodies: Child Maintenance Options, which provides the information and support service, and the Child Support Agency, which administers the statutory schemes. It is currently developing a new statutory service, to be launched from 2012.

The Commission is accountable to the Secretary of State for Work and Pensions for its performance. For further details about the relationship between the Commission and the Department for Work and Pensions, please see the Framework Document.

The Commission’s key priority is to support and implement the government’s vision for the future of child maintenance. In January 2011, the government published its Green Paper Strengthening families, promoting parental responsibility: the future of child maintenance. The government is seeking to rebalance the child maintenance system so that more parents are supported to make their own family-based arrangements. The new, more efficient and effective statutory service, due to launch in 2012, will be available for parents who are unable to come to their own arrangement.

Under the Public Bodies Bill, which is currently passing through Parliament, the Child Maintenance and Enforcement Commission and its three functions will transfer to the Department for Work and Pensions.",http://www.childmaintenance.org/
Committee on Standards in Public Life,Public Standards,Advisory non-departmental public body,Cabinet Office,The Committee on Standards in Public Life is an independent public body which advises government on ethical standards across the whole of public life in the UK.,http://www.public-standards.gov.uk/
Government Procurement Service,GPS,Executive Agency,Cabinet Office,The public sector's national procurement portal. Our role is to provide savings for Government and the UK public sector as a whole and specifically to deliver centralised procurement of common goods and services for Central Government Departments.,http://www.buyingsolutions.gov.uk/
National Savings and Investments,NSANDI,Executive Agency,Chancellor of the Exchequer,"NS&I (National Savings and Investments) is one of the largest savings organisations in the UK, with over 26 million customers and more than £100 billion invested. We are best known for Premium Bonds, but also offer a range of other savings and investments to suit different people’s needs, including our Direct Saver and Children’s Bonus Bonds. All products offer 100% security, because NS&I is backed by HM Treasury.

NS&I is anExecutive Agency of the Chancellor of the Exchequer.

As an ongoing measure of our customer service, we had, since 1997, held Charter Mark accreditation – an independent award for service quality within the public sector. In 2009, Charter Mark was replaced by a new Customer Service Excellence Standard, which we achieved at the first assessment. We were successfully re-accredited in 2010. Our UK Contact Centres have also achieved accreditation and awards from the Customer Contact Association, for demonstrating high levels of service.

In January 2009, NS&I retained ISO14001 accreditation, first achieved in 2007 and a firm indicator of our commitment to delivering a sustainable business. NS&I has also achieved IIP (Investor in People) accreditation for the 10th year running.

In the Moneywise Customer Service Awards 2011, NS&I won the award of Most trusted Cash ISA provider. ",http://www.nsandi.com/
Building Regulations Advisory Committee,BRAC,Advisory non-departmental public body,Department for Communities and Local Government,"Throughout the United Kingdom the majority of building work is controlled by regulations. BRAC advises the relevant Secretary of State on the exercise of his/her power to make Building Regulations and on other related subjects, in England and Wales. Comparable regulations apply in Northern Ireland and Scotland.

BRAC is defined as an advisory non-departmental public body (NDPB) and is also designated as a Scientific Advisory Committee under the Government's Code of Practice for Scientific Advisory Committees 2001. It was originally established in April 1962 under section 9 of the Public Health Act 1962 (now section 14 of the Building Act 1984). BRAC is sponsored by the Department for Communities and Local Government.

The BRAC Secretariat can be contacted at the following address:

BRAC Secretariat
c/o Building Regulations and Standards Division
Department for Communities and Local Government
Zone 5/E8 Eland House
Bressenden Place
London
SW1E 3DU

Tel: 0303 444 3812
Email: brac@communities.gsi.gov.uk",http://www.communities.gov.uk/planningandbuilding/buildingregulations/buildingregulationsadvisory/
Fire Service College,FSC,Executive Agency,Department for Communities and Local Government,"We are the largest single provider of specialist operational fire and rescue training in the UK.

As well as supporting our customers from the UK Fire and Rescue Service, we also meet the training needs of other UK public sector organisations, the private sector and the international market, through the provision of a broad range of programmed and bespoke learning and development opportunities; consultancy and advice.

Our training can be uniquely designed to a particular specification (traditional, practical or e-learning) on demand and delivered collaboratively, regionally or locally, at times and locations to suit individual needs, wherever in the world it is required.

The College is based on a 365-acre site at Moreton-in-Marsh in Gloucestershire, and our unique facilities are unparalleled, as is the expert tuition provided by our experienced tutors.

I am proud of our proven record of working with customers to meet their requirements and in ensuring that the training and development that we provide is effective and of the highest quality.",http://www.fireservicecollege.ac.uk/
Planning Inspectorate,Planning Inspectorate,Executive Agency,Department for Communities and Local Government,"The main work of the Planning Inspectorate is the processing of planning and enforcement appeals and holding examinations into local plans and community infrastructure levy charging schedules.  The Inspectorate  also deals with a wide variety of other planning related casework including listed building consent appeals, advertisement appeals, and reporting on planning applications called in for decision by the Department for Communities and Local Government (DCLG), or, in Wales, The Welsh Government. Other casework includes various compulsory purchase orders, rights of way cases and cases arising from the Environmental Protection and Water Acts and the Transport and Works, Act and other Highways Legislation. In addition the Inspectorate processes applications for awards of costs which may arise from any of these.",http://www.planningportal.gov.uk/planning/appeals/planninginspectorate
Queen Elizabeth II Conference Centre,QEIICC,Executive Agency,Department for Communities and Local Government,"The Queen Elizabeth II Conference Centre (QEIICC) was opened by Her Majesty the Queen in 1986.

AnExecutive agency of the Department for Communities and Local Government (DCLG), the Centre is uniquely situated amongst Big Ben, Westminster Abbey and The Houses of Parliament.",http://www.qeiicc.co.uk/
Homes and Communities Agency,HCA,Executive non-departmental public body,Department for Communities and Local Government,"The Homes and Communities Agency is the national housing and regeneration agency for England, with a capital investment budget of nearly £7bn. We contribute to economic growth by helping communities to realise their aspirations for prosperity and to deliver high-quality housing that people can afford.

We provide investment for new affordable housing and to improve existing social housing, as well as for regenerating land. Our staff have a raft of skills and expertise to provide support and advice to partners, to enable them to tailor their plans to the needs of their different communities.",http://www.homesandcommunities.co.uk/
