old_url,ignoreDCLG page title,title,summary,body,price,order_url,publication_date,ignoretype from DCLG,publication_type,ignoreAlso detailed guidance?,ISBN,policy_1,policy_2,policy_3,policy_4,attachment_1_URL,attachment_1_title,attachment_2_URL,attachment_2_title,attachment_3_URL,attachment_3_title,attachment_4_URL,attachment_4_title,attachment_5_URL,attachment_5_title,attachment_6_URL,attachment_6_title,attachment_7_URL,attachment_7_title,attachment_8_URL,attachment_8_title,attachment_9_URL,attachment_9_title,attachment_10_URL,attachment_10_title,attachment_11_URL,attachment_11_title,attachment_12_URL,attachment_12_title,attachment_13_URL,attachment_13_title,attachment_14_URL,attachment_14_title,attachment_15_URL,attachment_15_title,attachment_16_URL,attachment_16_title,attachment_17_URL,attachment_17_title,attachment_18_URL,attachment_18_title,attachment_19_URL,attachment_19_title,attachment_20_URL,attachment_20_title,attachment_21_URL,attachment_21_title,attachment_22_URL,attachment_22_title,attachment_23_URL,attachment_23_title,attachment_24_URL,attachment_24_title,attachment_25_URL,attachment_25_title,attachment_26_URL,attachment_26_title,attachment_27_URL,attachment_27_title,attachment_28_URL,attachment_28_title,attachment_29_URL,attachment_29_title,attachment_30_URL,attachment_30_title,attachment_31_URL,attachment_31_title,attachment_32_URL,attachment_32_title,attachment_33_URL,attachment_33_title,attachment_34_URL,attachment_34_title,attachment_35_URL,attachment_35_title,attachment_36_URL,attachment_36_title
http://www.communities.gov.uk/publications/housing/letterlanhbupdate,Housing Strategy Progress Update - Housing Revenue Account and New Homes Bonus,Housing strategy progress update,Letter to local authority chief executives to update them on the progress of the housing strategy,"Letter to local authority chief executives to update them on the progress of the housing strategy, including housing revenue account and New Homes Bonus.",Free,,1-Feb-12,Circular and official letters,circulars-letters-and-bulletins,,,improving-the-rented-housing-sector,increasing-the-number-of-available-homes,,,http://www.communities.gov.uk/documents/housing/pdf/2110344.pdf,Letter to local authority chief executives: housing strategy progress update â€“ housing revenue account and New Homes Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/newhomesbonusletter,New Homes Bonus Consultation - Letter to all LA Leaders and English MPs,New Homes Bonus consultation: letter to council leaders English MPs,Letters to local council leaders and English MPs about the New Homes Bonus consultation,Letters to all local council leaders and English MPs announcing the publication of the New Homes Bonus consultation paper.,Free,,12-Nov-10,Circular and official letters,circulars-letters-and-bulletins,,,increasing-the-number-of-available-homes,,,,http://www.communities.gov.uk/documents/housing/pdf/1768300.pdf,New Homes Bonus consultation â€“ letter to English MPs,http://www.communities.gov.uk/documents/housing/pdf/1768303.pdf,New Homes Bonus consultation â€“ letter to all LA leaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/newhomesbonusletters,"New Homes Bonus - Final scheme design and provisional allocations - Letters to all Local Authority Leaders, Local Authority Chief Executives and English MPs",New Homes Bonus: final scheme design and provisional allocations,Letters to councils and English MPs about the final design and provisional funding of the New Homes Bonus scheme in 2011-12,"Letters to all local council leaders, chief executives and English MPs to announce the final design of the New Homes Bonus scheme and the 2011-12 provisional allocations for local authorities.",Free,,17-Feb-11,Circular and official letters,circulars-letters-and-bulletins,,,increasing-the-number-of-available-homes,,,,http://www.communities.gov.uk/documents/housing/pdf/1845828.pdf,New Homes Bonus â€“ final scheme design and provisional allocations with allocations-checking exercise paper (deadline 10 March): letter to local authority chief executives,http://www.communities.gov.uk/documents/housing/pdf/1846412.pdf,New Homes Bonus â€“ final scheme design and provisional allocations: letter to local authority leaders,http://www.communities.gov.uk/documents/housing/pdf/1846424.pdf,New Homes Bonus â€“ final scheme design and provisional allocations: letter to English MPs,http://www.communities.gov.uk/documents/housing/xls/1846581.xls,New Homes Bonus calculator: provisional allocations (superseded by final allocations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/srlettergshousing,Letter from Grant Shapps - Spending Review - Settlement for Housing,Spending Review: settlement for housing,Ministerial letter setting out government spending on housing,"This letter by Housing Minister Grant Shapps sets out the settlement for government housing expenditure, announced as part of the Spending Review of 20 October 2010.",Free,,20-Oct-10,Circular and official letters,circulars-letters-and-bulletins,,,helping-people-to-buy-a-home,providing-housing-support-for-older-and-vulnerable-people,increasing-the-number-of-available-homes,improving-the-rented-housing-sector,http://www.communities.gov.uk/documents/housing/pdf/1746957.pdf,Letter from Grant Shapps â€“ Spending Review settlement for housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/transparencyletter,Letter to Chief Executive of the National Housing Federation: Greater transparency within the housing association sector,Greater transparency within the housing association sector: ministerial letter,Letter from the Housing Minister to the National Housing Federation about greater transparency within the housing association sector,"Housing Minister Grant Shapps wrote to David Orr, Chief Executive of the National Housing Federation on 7 December 2011 about the voluntary offer on greater transparency within the housing association sector.",Free,,7-Dec-11,Circular and official letters,circulars-letters-and-bulletins,,,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/2045807.pdf,Letter to Chief Executive of the National Housing Federation â€“ greater transparency within the housing association sector â€“ 7 December 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/accesscouncilmeetings,Letter from Bob Neill to local authority leaders: Access to Meetings,Access to local council meetings: ministerial letter,A letter from the Local Government Minister to all councils urging greater access to council meetings,"A letter from Local Government Minister Bob Neill to all councils urging greater access to council meetings.

He calls on councils to adopt a modern-day approach so that credible community or 'hyper-local' bloggers and online broadcasters get the same routine access to council meetings as the traditional accredited media have.",Free,,23-Feb-11,Circular and official letters,circulars-letters-and-bulletins,,,making-local-councils-more-transparent-and-accountable-to-local-people,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1850773.pdf,Letter from Bob Neill to local authority leaders: access to meetings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/accountsauditreg2011letter,Accounts and Audit (England) Regulations 2011 SI No 817 - Covering letter,Accounts and audit (England) regulations 2011 SI No 817: covering letter,Letter telling local councils and other interested parties of the making of the accounts and audit (England) regulations 2011,"The accounts and audit regulations 2011 were laid on 21 March 2011 came into effect on 31 March 2011.

This letter notifies local authorities and other interested parties of the making of the accounts and audit (England) regulations 2011. It explains the changes made to the consultation draft of the regulations and draws attention to matters requiring urgent action.",Free,,30-Mar-11,Circular and official letters,circulars-letters-and-bulletins,Y,,making-local-councils-more-transparent-and-accountable-to-local-people,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1876183.pdf,Accounts and audit (England) regulations 2011 SI No 817 â€“ covering letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/baronesseatonsupportingpeople,Letter to Baroness Eaton: Protecting vulnerable people and rough sleepers,Protecting vulnerable people and rough sleepers: ministerial letter to Baroness Eaton,Letter from the Housing Minister to Baroness Eaton about protecting vulnerable people and rough sleepers,Letter from the Rt Hon Grant Shapps MP to Baroness Eaton regarding the importance of the Supporting People programme in the protection of vulnerable people and rough sleepers.,Free,,25-Jan-11,Circular and official letters,circulars-letters-and-bulletins,,,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/28908820.pdf,Letter to Baroness Eaton: protecting vulnerable people and rough sleepers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/bklocalauditletter,Letter from Sir Bob Kerslake on the future of Local Audit,"Future of local audit: letter from the Permenant Secretary, DCLG",A letter from Sir Bob Kerslake to local council chief executives about the future of local audit,"A letter from the Permenant Secretary of the Department for Communities and Local Government, Sir Bob Kerslake to local council chief executives providing an update on the future of local audit.",Free,,2-Jun-11,Circular and official letters,circulars-letters-and-bulletins,,,making-local-councils-more-transparent-and-accountable-to-local-people,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1914406.pdf,Letter from Sir Bob Kerslake on the future of local audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/counciltaxcapping201112,council Tax increases in 2011-12 - capping principles,council Tax increases in 2011 to 2012: capping principles,Ministerial letter to local councils about the government's expectations of council Tax increases in 2011-12,"Letter from Bob Neill to the leaders of local authorities setting out the government's expectations of council Tax increases in 2011-12, and telling them of the capping principles that will be in force.",Free,,10-Feb-11,Circular and official letters,circulars-letters-and-bulletins,Y,,making-sure-council-tax-payers-get-good-value-for-money,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1843295.pdf,Letter: council Tax increases in 2011-12 â€“ capping principles,http://www.communities.gov.uk/documents/localgovernment/pdf/1843315.pdf,council Tax capping principles for 2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/counciltaxfreeze,council Tax freeze 2011-12,council Tax freeze 2011 to 2012,Letter setting out details of the government's scheme to help councils freeze council Tax bills in England in 2011-12,The government announced in the Spending Review that it is making an extra Â£650 million a year available for the next 4 years to deliver on its promise to help principal local authorities (including police and fire authorities) deliver a council Tax freeze in England in 2011-12. This letter sets out the details of the scheme.,Free,,21-Oct-10,Circular and official letters,circulars-letters-and-bulletins,Y,,making-sure-council-tax-payers-get-good-value-for-money,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1828689.pdf,council Tax freeze 2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/hanhamcommunitybudgets,Letter from Baroness Hanham and Tim Loughton about Community Budgets,Community Budgets: ministerial letter from Baroness Hanham and Tim Loughton,Ministerial letter to local councils about Community Budgets,Letter to local council Leaders and chief executives from Department for Communities and Local Government Minister Baroness Hanham and Department for Education Minister Tim Loughton about Community Budgets.,Free,,7-Jul-11,Circular and official letters,circulars-letters-and-bulletins,,,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1964153.pdf,Letter from Baroness Hanham and Tim Loughton about Community Budgets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/kerslakecommunitybudgets,Letter from Sir Bob Kerslake about Community Budgets,"Community Budgets: letter from the Permenant Secretary, DCLG",A letter from Sir Bob Kerslake to local council chief executives about Community Budgets,"Letter from Sir Bob Kerslake, Permanent Secretary for the Department for Communities and Local Government, to local council chief executives about Community Budgets.",Free,,28-Jul-11,Circular and official letters,circulars-letters-and-bulletins,,,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1964161.pdf,Letter from Sir Bob Kerslake about Community Budgets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/letterchiefexeccounciltax201213,Letter to Chief Executives: council Tax Freeze 2012-13,council Tax freeze 2012 to 2013,Letter setting out details of the government's scheme to help councils freeze council Tax bills in England in 2012-13,"The government intends to make funding available to help councils freeze their council Tax in 2012-13.

This letter from the Department for Communities and Local Government to council chief executives explains how the scheme will work.",Free,,14-Nov-11,Circular and official letters,circulars-letters-and-bulletins,Y,,making-sure-council-tax-payers-get-good-value-for-money,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2035234.pdf,Letter to chief executives: council Tax freeze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/letterconsultationrequirements,Requirement to consult under the Local Government and Public Involvement in Health Act 2007,Requirement for local councils to consult local people: ministerial letter,Ministerial letter to councils about their freedom to take a light-touch approach to consultations,Letter from Local Government Minister Grant Shapps to council leaders highlighting their freedom to take a light-touch approach to consultations (under the Local Government and Public Involvement in Health Act 2007) at minimal cost to council Taxpayers.,Free,,7-Jul-10,Circular and official letters,circulars-letters-and-bulletins,Y,,making-local-councils-more-transparent-and-accountable-to-local-people,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1635470.pdf,Requirement to consult under the Local Government and Public Involvement in Health Act 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/lettercounciltaxfreezegrant,Letter to Chief Executives: council Tax Freeze Grant,council Tax freeze 2012 to 2013: grants,Letter from the Department for Communities and Local Government about council Tax freeze grants for 2012-13,"Letter from Mark Rickard, Divisional Manager of Local Government Finance, to council chief executives and chief fire officers regarding council Tax freeze grants for 2012-13.",Free,,21-Mar-12,Circular and official letters,circulars-letters-and-bulletins,Y,,making-sure-council-tax-payers-get-good-value-for-money,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2125659.pdf,Letter to Chief Executives: council Tax freeze grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/letterlacounciltax201213,Letter to Council Leaders of English Local Authorities: council Tax for 2012-13,council Tax for 2012 to 2013: ministerial letter,Ministerial letter to councils about council Tax for 2012-13,Letter from Local Government Minister Bob Neill to leaders of English local councils about council Tax for 2012-13.,Free,,10-Feb-12,Circular and official letters,circulars-letters-and-bulletins,,,making-sure-council-tax-payers-get-good-value-for-money,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2087893.pdf,Letter to council leaders of English local authorities: council Tax for 2012-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/letterlgceditorrates,Letter from Bob Neill to the Editor of Local Government Chronicle - Redistributed Non Domestic Rates,Redistributed business rates: ministerial letter,Ministerial letter to the Local Government Chronicle about a story published about redistributed business rates,"This letter from Department for Communities and Local Government Minister Bob Neill to the Editor of Local Government Chronicle is about redistributed non-domestic (business) rates.

It's in response to a story published on 15 December 2010.",Free,,14-Jan-11,Circular and official letters,circulars-letters-and-bulletins,,,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1817667.pdf,Letter from Bob Neill to the Editor of Local Government Chronicle â€“ redistributed non-domestic rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/lettersostolabusiness,Letter to Local Authority leaders and business leaders - 29 June 2010,Local enterprise partnerships: ministerial letter,Ministerial letter to local council and business leaders about local enterprise partnerships,"Letter dated 29 June 2010 from Secretary of State for Communities and Local Government, Eric Pickles and Secretary of State for Business, Innovation and Skills, Vince Cable to local authority leaders and business leaders about local enterprise partnerships.",Free,,8-Aug-10,Circular and official letters,circulars-letters-and-bulletins,,,supporting-economic-growth-through-local-enterprise-partnerships-and-enterprise-zones,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1626854.pdf,Letter to local authority leaders and business leaders â€“ 29 June 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/letterstunellcapitalisation,Letter from Andrew Stunell to local authority leaders: Capitalisation,Local authority capitalisation: ministerial letter,Ministerial letter to local councils about borrowing or using capital receipts for revenue purposes,"Letter from Communities Minister Andrew Stunell to all local council leaders about capitalisation for 2011-12. Capitalisation allows local councils to borrow or use capital receipts for revenue purposes.

Full guidance will be issued to councils earlier than in previous years, for clarity and in order to support local councils who wish to deliver efficiency savings early through organisational restructuring.",Free,,28-Jan-11,Circular and official letters,circulars-letters-and-bulletins,Y,,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/1829108.pdf,Letter from Andrew Stunell to local authority leaders: capitalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
