old_url,title,summary,body,publication_type,policy_1,policy_2,policy_3,policy_4,organisation,document_series,minister_1,minister_2,publication_date,price,order_url,ISBN,URN,command_paper_number,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title,attachment_12_url,attachment_12_title,attachment_13_url,attachment_13_title,attachment_14_url,attachment_14_title,attachment_15_url,attachment_15_title,attachment_16_url,attachment_16_title,attachment_17_url,attachment_17_title,attachment_18_url,attachment_18_title,attachment_19_url,attachment_19_title,attachment_20_url,attachment_20_title,attachment_21_url,attachment_21_title,attachment_22_url,attachment_22_title,attachment_23_url,attachment_23_title,attachment_24_url,attachment_24_title,attachment_25_url,attachment_25_title,attachment_26_url,attachment_26_title,attachment_27_url,attachment_27_title,attachment_28_url,attachment_28_title,attachment_29_url,attachment_29_title,attachment_30_url,attachment_30_title,attachment_31_url,attachment_31_title,attachment_32_url,attachment_32_title,attachment_33_url,attachment_33_title,attachment_34_url,attachment_34_title,attachment_35_url,attachment_35_title,attachment_36_url,attachment_36_title,attachment_37_url,attachment_37_title,attachment_38_url,attachment_38_title,attachment_39_url,attachment_39_title,attachment_40_url,attachment_40_title,attachment_41_url,attachment_41_title,attachment_42_url,attachment_42_title
http://www.communities.gov.uk/publications/planningandbuilding/makingplanning,Access to and charging for planning information: guidance,,"This guide is intended to help and encourage local planning authorities (LPAs) to go beyond the minimum requirements for access to planning information, and for providing information at a reasonable cost to the customer. It will help in preparing statements of community involvement by providing practical examples of ways in which LPAs have increased access to planning information.

This is a priced publication available from Communities and Local Government Publications, Cambertown House, Goldthorpe Industrial Estate, Rotherham S63 9BL. Tel: 0300 123 1124, fax: 0300 123 1125, email: product@communities.gsi.gov.uk. Please quote the ISBN when ordering. Alternatively, payment can be made by credit or debit card by calling customer services on 0300 123 1124, open Monday to Friday 08 - 18. Delivery will be 5-7 days from receipt of payment.",guidance,making-the-planning-system-work-more-efficiently-and-effectively,making-local-councils-more-transparent-and-accountable-to-local-people,,,department-for-communities-and-local-government,,,,14-Sep-2004,£12 (free to download),,,1851127462,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/148166.pdf,Making the planning system accessible to everyone: Good-practice guidance on access to and charging for planning information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra34openruralareas,Generic Risk Assessment 3.4: Fighting fires in open rural areas,,"The Generic Risk Assessment in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 3.4_ examines the hazards, risks and controls that relate to Fire and Rescue Service personnel, the personnel of other agencies and members of the public when fighting fires in open rural locations including grass, moor land crop and forest fires.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk/) (external link).",guidance,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,department-for-communities-and-local-government,,,,28-Jun-2011,£13.99 (free to download below),,,,,http://www.communities.gov.uk/documents/fire/pdf/1929827.pdf,Generic Risk Assessment 3.4: Fighting fires in open rural areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/statistics/lucs2010provisional,Land use change statistics for England in 2010: provisional estimates,,"The latest national statistics on Land Use Change were released under the auspices of the UK Statistics Authority on 29 July 2011.

The Land Use Change Statistics show the amounts and location of land changing use in England. This Statistical Release provides details of the latest estimates for 2010 on changes to developed uses, covering information on:

  * Changes to residential use
  * Density of new dwellings
  * Changes within the Green Belt
  * Changes within areas of high flood risk
  * Changes to all developed uses

In 2010, on a provisional estimate:

  * 76 per cent of dwellings (including conversions) were built on previously-developed land, a decrease from 80 per cent in 2009.
  * new dwellings were built at an average density of 43 dwellings per hectare, an increase from 41 dwellings per hectare in 2009.
  * 2 per cent of dwellings were built within the Green Belt (unchanged since 2004) and 5 per cent of land changing to residential use (from any use) was within the Green Belt, down 2 percentage points since 2009.
  * 9 per cent of dwellings were built within areas of high flood risk (a decrease from 11 per cent in 2009) and 5 per cent of land changing to residential use was within areas of high flood risk (a decrease from 6 per cent in 2009).

The full set of Land Use Change Statistics Live Tables are available at: [Land Use Change Statistics Live Tables](http://www.communities.gov.uk/planningandbuilding/planningbuilding/planningstatistics/livetables/landusechange/).",statistics-national-statistics,making-the-planning-system-work-more-efficiently-and-effectively,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,department-for-communities-and-local-government,,,,29-Jul-2011,Free,,,,,http://www.communities.gov.uk/documents/statistics/pdf/1955706.pdf,Land Use Change Statistics (England) 2010 - provisional estimates,http://www.communities.gov.uk/documents/statistics/pdf/11315351.pdf,Pre-release Access list: Land Use Change Statistics (England),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/designinggypsysites,Designing Gypsy and traveller sites: good practice guide,,"This document sets out good practice in respect of the design of Gypsy and Traveller sites. It is intended to provide potential developers and existing site owners with an understanding of the design features needed to help ensure a site is successful, easy to manage and maintain, including site location, layout, size and the services and facilities need to make it operate effectively.",guidance,providing-housing-support-for-older-and-vulnerable-people,,,,department-for-communities-and-local-government,,,,15-May-2008,Free,,,,,http://www.communities.gov.uk/documents/housing/pdf/designinggypsysites.pdf,Designing Gypsy and Traveller Sites: Good Practice Guide,http://www.communities.gov.uk/documents/housing/doc/designinggypsysites.doc,Designing Gypsy and Traveller Sites: Good Practice Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/designinggypsysites,Designing gypsy and traveller sites,,"This document sets out good practice in respect of the design of Gypsy and Traveller sites. It is intended to provide potential developers and existing site owners with an understanding of the design features needed to help ensure a site is successful, easy to manage and maintain, including site location, layout, size and the services and facilities need to make it operate effectively.",guidance,making-the-planning-system-work-more-efficiently-and-effectively,,,,department-for-communities-and-local-government,,,,15-May-2008,Free,,,,,http://www.communities.gov.uk/documents/housing/pdf/designinggypsysites.pdf,Designing Gypsy and Traveller Sites: Good Practice Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/displayenergycertificates,Display energy certificates and advisory reports for public buildings,,"This guide provides an introduction to the regulations for display energy certificates of large buildings. Describing the scope and requirements of the regulations, it provides guidance on how these are applied.",guidance,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,,department-for-communities-and-local-government,,,,9-May-2008,Free,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/20.pdf,A guide to display energy certificates and advisory reports for public buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circularchanges,Changes of use of buildings and land: circular 03/2005,,"The Statutory Instrument 2005 No 84, which amends the Town and Country Planning (Use Classes) Order 1987, came into force on 21 April 2005. The Town and Country Planning (General Permitted Development) Order 1995 is also amended by Statutory Instrument 2005 No 85 to reflect the changes to the Use Classes Order.

This circular, provides a guide to the Use Classes Order as amended by Statutory Instrument 2005 No 85. It should, however, be remembered that although this circular gives guidance amounting to an interpretation of the Order, only the courts can interpret the law authoritatively. This circular replaces Circular 13/87, which gave advice on the 1987 Use Classes Order.

This is a priced publication available from TSO (The Stationery Office), PO Box 29, Norwich NR3 1GN. Order through the Parliamentary Hotline (Lo-call): 08457 023 474, fax: 0870 600 5533, textphone 0870 240 3701, email: book.orders@tso.co.uk or visit www.tsoshop.co.uk to buy online.",circulars-letters-and-bulletins,making-the-planning-system-work-more-efficiently-and-effectively,,,,department-for-communities-and-local-government,,,,21-Mar-2005,£7 (free to download),,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/147573.pdf,Circular 03/05: Changes of Use of Buildings and Land - The Town and Country Planning (Use Classes) Order 1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/planningpolicystatement10,Planning for sustainable waste management: planning policy statement 10,,"Planning Policy Statement 10 (PPS10) sets out the government's policy to be taken into account by waste planning authorities and forms part of the national waste management plan for the UK.

This replaces _Planning Policy Guidance 10: Planning and Waste Management_ (PPG10) published in 1999 and an earlier edition of PPS10 published on 21 July 2005.",policy-papers,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,,department-for-communities-and-local-government,,,,30-Mar-2011,£10 (free to download below),,9780117539501,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/1876202.pdf,Planning Policy Statement 10: Planning for Sustainable Waste Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/circular2,Changes to part B (fire safety) of the Building Regulations 2000: circular 05/2006,,"Changes to Part B (Fire safety) of the Building Regulations 2000 (As amended).

This is a priced publication available from TSO (The Stationery Office), PO Box 29, Norwich NR3 1GN. Order through the Parliamentary Hotline (Lo-call): 08457 023 474, fax: 0870 600 5533, textphone 0870 240 3701, email: book.orders@tso.co.uk or visit www.tsoshop.co.uk to buy online.",circulars-letters-and-bulletins,making-the-planning-system-work-more-efficiently-and-effectively,,,,department-for-communities-and-local-government,,,,18-Dec-2006,£7 (free to download),,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/154479.pdf,Circular 05/2006: The Building Regulations 2000 and the Building (Approved Inspectors etc) Regulations 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/regulatedtenancies,Regulated tenancies,,"Most lettings by private landlords which began before 15 January 1989 are regulated tenancies under the Rent Acts (see page 6), unless the landlord and tenant live in the same house. Part I of the Housing Act 1988 came into force on 15 January 1989, and it made important changes to the system of private renting. From that date most new lettings will be assured or assured shorthold tenancies (see page 8), and it will only be possible to have new regulated tenancies in very limited circumstances. This booklet sets out the law as it now affects regulated tenancies. It explains the main points of law, especially on rent and security of tenure, for both landlords and tenants.

The booklet refers to a number of other booklets about rented property. These form part of the series of housing booklets published by Department for Communities and Local Government and the Welsh Assembly Government. They are all free and you can get copies from rent officers, Citizens Advice Bureaux, housing aid centres and local authorities.",guidance,improving-the-rented-housing-sector,,,,department-for-communities-and-local-government,,,,21-Apr-2009,Free,,9781409810568,,,http://www.communities.gov.uk/documents/housing/pdf/138295.pdf,Regulated tenancies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/watercalculator,The water efficiency calculator for new dwellings,,"This document sets out the Water Calculation Methodology for assessing the whole house water efficiency of new dwellings.

The calculation method is to be used to assess compliance against the water performance targets in Building Regulations 17.K and the Code for Sustainable Homes now uses this calculator as the Assessment Methodology for WAT1.",guidance,providing-effective-building-regulations-so-that-new-and-altered-buildings-are-safe-accessible-and-efficient,improving-the-energy-efficiency-of-buildings-and-using-planning-to-protect-the-environment,,,department-for-communities-and-local-government,,,,10-Sep-2009,Free,,9781409818274,,,http://www.communities.gov.uk/documents/planningandbuilding/xls/1795613,Water Efficiency Calculator Rev 02,http://www.planningportal.gov.uk/uploads/br/water_efficiency_calculator.pdf,The Water Efficiency Calculator for new dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/statistics/monitorq2q32009,Fire statistics monitor: April to September 2009,,"The latest National Statistics on fires, casualties and false alarms attended by the Fire and Rescue Services in the United Kingdom, produced by Communities and Local Government, were released on Friday 14 May 2010 under the auspices of the UK Statistics Authority.

Statistics in this release are the latest available national figures and comprise: i) numbers of fatalities in England for the period April to September 2009, and ii) revised data on all measures for UK and England for 2008-09.

Key points on the fatalities data for England for April to September 2009 are:

  * Between April and September 2009 there were 162 fatalities, 43 more than in the same six months of 2008.
  * Most of the overall increase of 43 fatalities was in accidental dwelling fires, in which there were 31 more fatalities in April to September 2009 (101 compared to 70 in April to September 2008.)
  * In 2008-09 there were 322 fire fatalities, 36 fewer than in 2007-08.

Key points on revised 2008-09 data on fire incidents and non-fatal casualties are as follows:

  * The United Kingdom Fire and Rescue Services attended 722,000 fire and false alarm incidents in 2008/09 - a 10 per cent decrease on 2007/08. In England, 562,000 incidents were attended (also a 10 per cent decrease).
  * Total fires fell by 15 per cent to 326,000 for the UK and by 15 per cent in England (to 249,000).
  * Primary fires in the UK fell by 9 per cent to 128,000. Within this, dwelling fires fell by 6 per cent to 49,000 and fires in other buildings - including workplaces and areas where people gather - were down by 10 per cent to 27,000. Road vehicle fires fell by 12 per cent to 44,000.
  * Primary fires in England fell by 9 per cent to 104,000. Within this, dwelling fires fell by 7 per cent to 39,000 and fires in other buildings were down by 10 per cent to 22,000. Road vehicle fires fell by 12 per cent to 36,000.
  * UK secondary fires fell by 20 per cent to 185,000, as with England, where they also fell by 21 per cent to 137,000.
  * Attendances to UK false alarms decreased by 5 per cent to 397,000. Within this there was a 19 per cent fall (to 23,000) in malicious false alarms and a 2 per cent fall (to 264,000) in false alarms due to apparatus.
  * In England, attendances at false alarms decreased by 6 per cent to 313,000. Within this there was a 20 per cent fall (to 17,000) in malicious false alarms and a 4 per cent fall (to 207,000) in false alarms due to apparatus.
  * In 2008-09, the number of non-fatal casualties from fires in the UK fell by 9 per cent to 12,000 from 13,100 in 2007-08. In England there were 9,200 non fatal casualties in 2008-09, down 11 per cent compared to 2007-08.",statistics-national-statistics,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,department-for-communities-and-local-government,,,,14-May-2010,Free,,,,,http://www.communities.gov.uk/documents/statistics/pdf/1576231.pdf,Fire Statistics Monitor Quarter 2 and Quarter 3: 1 April 2009 - 30 September 2009,http://www.communities.gov.uk/documents/statistics/xls/1575835.xls,Fire Statistics Monitor: Q2 and Q3 2009 - Tables 1 and 2,http://www.communities.gov.uk/documents/statistics/xls/1575857.xls,Fire Statistics Monitor: Q2 and Q3 2009 - Tables 3a to g,http://www.communities.gov.uk/documents/statistics/xls/1575901.xls,Fire Statistics Monitor: Q2 and Q3 2009 - Tables 4a to c,http://www.communities.gov.uk/documents/statistics/xls/1575942.xls,Fire Statistics Monitor: Q2 and Q3 2009 - Tables 5a to d,http://www.communities.gov.uk/documents/statistics/xls/1575961.xls,Fire Statistics Monitor: Q2 and Q3 2009 - Tables 6a to d,http://www.communities.gov.uk/documents/statistics/xls/1576211.xls,Fire Statistics Monitor: Q2 and Q3 2009 - Population table,http://www.communities.gov.uk/documents/statistics/pdf/658974.pdf,Pre-release Access list: Fire Statistics Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
