old_url,ignoreoldtitle,title,summary,body,price,ignoreorderingdetails,publication_date,ignore old type,publication_type,ignoredg,ISBN,policy_1,policy_2,policy_3,policy_4,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title,attachment_12_url,attachment_12_title,attachment_13_url,attachment_13_title,attachment_14_url,attachment_14_title,attachment_15_url,attachment_15_title,attachment_16_url,attachment_16_title,attachment_17_url,attachment_17_title,attachment_18_url,attachment_18_title,attachment_19_url,attachment_19_title,attachment_20_url,attachment_20_title,attachment_21_url,attachment_21_title,attachment_22_url,attachment_22_title,attachment_23_url,attachment_23_title,attachment_24_url,attachment_24_title,attachment_25_url,attachment_25_title,attachment_26_url,attachment_26_title,attachment_27_url,attachment_27_title,attachment_28_url,attachment_28_title,attachment_29_url,attachment_29_title,attachment_30_url,attachment_30_title,attachment_31_url,attachment_31_title,attachment_32_url,attachment_32_title,attachment_33_url,attachment_33_title,attachment_34_url,attachment_34_title,attachment_35_url,attachment_35_title,attachment_36_url,attachment_36_title,organisation
http://www.communities.gov.uk/publications/housing/financialbenefitsguide,Supporting People financial benefits model documentation and user guide,Supporting people financial benefits model,,"The purpose of this document is to explain the logic behind, and form a user guide for, the Supporting People local financial benefits model built by Capgemini for the Department for Communities and Local Government.

The document's target audience is users from local authorities who wish to become familiar with the model so that, on an ongoing basis they can:

* update the data it contains
* easily read and interpret its output",Free,,2009-07-07,Research,independent-reports,,9781409816058,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/1275115,Supporting People financial benefits model documentation and user guide,http://www.communities.gov.uk/documents/housing/xls/1275033.xls,Supporting People local financial benefits model (Spreadsheet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/tacklinghomelessnessamongst,Tackling Homelessness Amongst Ethnic Minority Households - A Development Guide,Tackling homelessness among ethnic minorities,,"This guide aims to assist local authorities and their partner agencies in the development of inclusive, evidence-based and cost-effective homelessness services for their local ethnic minority populations. This document is related to the ODPM-commissioned research the Causes of Homelessness Amongst Ethnic Minority Populations.",£12 (free to download),,2005-09-05,Good practice and guidance,guidance,,185112795X,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/137881.pdf,Tackling Homelessness Amongst Ethnic Minority Households - A Development Guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/tacklingovercrowdingengland,Tackling Overcrowding in England: Lessons from the London pilot schemes and sub-regional coordination,Tackling overcrowding in england: lessons from the London pilots,,"This note summarises the lessons learned so far from 5 Department for Communities and Local Government-funded pilot schemes in London and work to strengthen capacity to address overcrowding in each of the 5 London sub-regions.

This piece of work highlights good practice and provides practical support to local authorities and registered social landlordsto assist efforts to tackle overcrowding where the problems are most acute.",Free,,2008-06-10,Good practice and guidance,guidance,,9781409800828,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/tacklingovercrowdingengland,Tackling Overcrowding in England: Lessons from the London pilot schemes and sub-regional coordination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/overcrowdingtoolkit,Tackling Overcrowding in England: Self-Assessment for Local Authorities,Tackling overcrowding in england: self assessment for councils,,"Living in overcrowded accommodation can have a devastating effect on families. If a home is overcrowded it can affect health and educational attainment and can impact negatively on life chances.
In December 2007 the government outlined its strategy to tackle overcrowding. This self-assessment toolkit is intended to support housing providers by offering practical tips on how to develop their own strategy and action plan to assist those households worst affected by overcrowding.",Free,,2008-07-04,Good practice and guidance,guidance,,9781409802068,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/overcrowdingtoolkit.pdf,Tackling Overcrowding in England: Self-Assessment for Local Authorities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/toolspowersguide,Tackling anti-social behaviour: Tools and powers  toolkit for social landlords,Tackling anti-social behaviour: tools and powers for social landlords,,"This guidance consolidates in a single document with disparate sources of advice to provide a comprehensive reference point for social landlords of the key tools and powers available to them to tackle anti-social behaviour.

The main body of the guidance provides details of individual tools and powers in a factsheet format. The guidance also considers social landlords' role in tackling anti-social behaviour as an aid to strategic development of anti-social behaviour services and suggests the broad approach that landlords should adopt in protecting communities from anti-social behaviour.",Free,,2010-04-01,Good practice and guidance,guidance,,9781409824084,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/1530807.pdf,Tackling anti-social behaviour: Tools and powers - toolkit for social landlords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/housingfraudguidance,Tackling unlawful subletting and occupancy: Good practice guidance for social landlords,Tackling unlawful subletting and occupancy: guidance for social landlords,,"Guidance for social landlords on how to prevent, detect and deal effectively with social housing fraud.",Free,,2009-11-30,Good practice and guidance,guidance,,9781409819950,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/1396431.pdf,Tackling unlawful subletting and occupancy: Good practice guidance for social landlords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/testingchangeshousehold,Testing methodological changes to the household projections model: research report,Testing methodological changes to the household projections model: research report,,This report tests the impacts of proposed changes to the household projections method. It supports the consultation by seeking users views on changes to National Statistics outputs on household projections.,Free,,2010-03-01,Research,research-and-analysis,,9781409822578,helping-people-to-buy-a-home,providing-housing-support-for-older-and-vulnerable-people,increasing-the-number-of-available-homes,improving-the-rented-housing-sector,http://www.communities.gov.uk/documents/housing/pdf/1487127,Testing methodological changes to the household projections model: research report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/allocation,The Allocation of Housing and Homelessness (Miscellaneous provisions) (England) Regulations 2006 (SI 2006 No.2527),Allocation of Housing and Homelessness (Miscellaneous Provisions) (England) Regulations 2006,,"This letter notifies chief housing officers that the Secretary of State has made the Allocation of Housing and homelessness (Miscellaneous Provisions) (England) Regulations 2006. These Regulations, which come into force on 9 October 2006, are largely technical in nature and do not represent any change to housing policy.",Free,,2006-09-20,Circular and official letters,circulars-letters-and-bulletins,,,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/152837.pdf,The Allocation of Housing and Homelessness (Miscellaneous Provisions) (England) Regulations 2006 (SI 2006 No. 2527),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/hiahandypersonservices,The Future Home Improvement Agency - Handyperson services report,Future Home Improvement Agency report on handyperson services,,"This is a report on handyperson services, including benefits, steps in setting up services and key issues for service providers.
It is one of a series of reports from the Future Home Improvement Agency project pulling together good practice and setting out a broad agenda for the evolution of the sector.",Free,,2009-02-26,Reports and summaries,independent-reports,,9781409811572,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/1158363.pdf,The Future Home Improvement Agency - Handyperson services report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/futurehia,The Future Home Improvement Agency: Supporting choice and maintaining independence - A report overview,Future Home Improvement Agency report on supporting choice and maintaining independence,,"This report gives an overview of the key findings of the Future Home Improvement Agency project carried out by Foundations on behalf of the Department for Communities and Local Government. Home improvement agencies help vulnerable people to maintain their independence. Their primary focus is the repair or adaptation of the client's home, and in support of this objective they may provide a range of services depending on local needs and circumstances.

The Future Home Improvement Agency project aims to set out a broad agenda for the evolution of the sector to its next level. It highlights what is already being done well by home improvement agencies and suggests models for wider application.",Free,,2008-09-09,Reports and summaries,independent-reports,,9781409804116,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/futurehia.pdf,The Future Home Improvement Agency: Supporting choice and maintaining independence - A report overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/generalhousingconsents,The General Housing Consents 2005 - S133 Housing Act 1988 (Subsequent Disposals),General housing consents 2005: S133 Housing Act 1988 (subsequent disposals),,These consents are only for the purposes of Section 133 of the Housing Act 1988. They do not convey any other consent which may be required.,Free,,2001-12-17,Legislation and policy,policy-papers,,,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/138862.pdf,The General Housing Consents 2005 - S133 Housing Act 1988 (Subsequent disposals),http://www.communities.gov.uk/documents/housing/doc/138868.doc,Consent letter Schedule 171d,http://www.communities.gov.uk/documents/housing/doc/133applicationform.doc,Application form - Schedule 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/homelessnesssuitability,The Homelessness (Suitability of Accommodation) (England) Order 2003: guidance,The Homelessness (Suitability of Accommodation) (England) Order 2003: guidance,,Guidance about the Homelessness (Suitability of Accommodation) (England) Order 2003.,Free,,2003-03-22,Good practice and guidance,guidance,,,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/156606.pdf,The Homelessness (Suitability of Accommodation) (England) Order 2003: guidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/housingright,The Housing (Right to Manage) Regulations 1994 (Circular),The Housing (Right to Manage) Regulations 1994: circular,,"This Circular is issued in connection with the Housing (Right to Manage) Regulations 1994.

The Regulations, which are made under section 27 AB of the Housing Act 1985 (inserted by section 132 of the Leasehold Reform, Housing and Urban Development Act 1993) require local housing authorities to act in accordance with guidance issued by the Secretary of State.

The guidance of the Secretary of State is set out in the Annex to this circular. This circular does not reiterate all the matters covered by the Regulations and guidance: both need to be studied. This circular is intended neither as an authoritative nor comprehensive account of the law, nor a substitute for the source legislative material.",Free,,1994-03-11,Circular and official letters,circulars-letters-and-bulletins,,,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/138913.pdf,The Housing (Right to Manage) Regulations 1994 (Circular),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/tenantconsultationguidance,The Housing Act 1985: Schedule 3A  consultation before disposal to private sector landlord Statutory guidance  paragraph 3: requirements as to consultation,Consulting council tenants about selling their homes to a private landlord: statutory guidance,,Statutory Guidance to English local authorities on meeting their statutory obligations regarding consulting with tenants prior to seeking the Secretary of State's consent to dispose of those tenants' homes to a private landlord.,Free,,2009-07-23,Good practice and guidance,guidance,,9781409817192,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/1293538.pdf,The Housing Act 1985: Schedule 3A - consultation before disposal to private sector landlord : Statutory guidance - paragraph 3: requirements as to consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/toleratedtrespass,Tolerated Trespassers: Guidance for social landlords,Tolerated trespassers: guidance for social landlords,,"This guidance is designed to support social landlords in implementing the tolerated trespasser provisions in section 299 and Schedule 11 to the Housing and Regeneration Act 2008 and the Housing (Replacement of Terminated Tenancies) (Successor Landlords) (England) Order 2009.

It is intended primarily for those local housing authorities which continue to own housing stock, for Arms Length Management Organisations and for Registered Social Landlords. The guidance provides information about the provisions in the 2008 Act and the Order and about those factors which social landlords may wish to consider when implementing the provisions.",Free,,2009-05-21,Good practice and guidance,guidance,,9781409814634,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/1237073.pdf,Tolerated Trespassers: Guidance for social landlords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/vacantdwellingsness,Vacant Dwellings NeSS Validation Document 2005,Vacant dwellings dataset validation,,"This document was produced to give users of the Vacant Dwellings dataset a thorough understanding of the rigorous data cleaning that was established by the year 2005.

Users of the Neighbourhood Statistics (NeSS) website will be linked to this document from the metadata file stored on the NeSS website. It is the sole source of information as to the validation procedures undertaken by DCLG to maintain the validity of the data and ensure the dataset is suitable for publication by ONS.",Free,,2006-12-01,Reports and summaries,guidance,,,increasing-the-number-of-available-homes,,,,http://www.communities.gov.uk/documents/housing/pdf/153107.pdf,Vacant Dwellings NeSS Validation Document 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/modularmanagement,Volume 1: Modular Management Agreement for Tenant Management Organisations,Right to Manage guidance,,"These 6 volumes provide guidance about the Right to Manage, which lets leaseholders take over certain management responsibilities from their landlord without having to prove bad management.",Free,,2005-08-08,Reports and summaries,guidance,,,improving-the-rented-housing-sector,,,,http://www.communities.gov.uk/documents/housing/pdf/138922.pdf,This agreement: Modular Management Agreement (MMA) for Tenant Management Organisations (TMOs),http://www.communities.gov.uk/documents/housing/pdf/138925.pdf,Volume 1: Right to Manage Guidance: Modular Management Agreement for Tenant Management Organisations,http://www.communities.gov.uk/documents/housing/pdf/381291.pdf,Volume 2: Right to Manage: Modular Guidance Management Agreement for Tenant Management Organisations - Guidance on Schedules,http://www.communities.gov.uk/documents/housing/pdf/381294.pdf,Volume 3: Calculating Allowances for Tenant Management Organisations,http://www.communities.gov.uk/documents/housing/pdf/381297.pdf,Volume 4: Getting Started: Guidance on start-up costs for Tenant Management Organisations,http://www.communities.gov.uk/documents/housing/pdf/381300.pdf,Volume 5: Guidance on Secondment to Tenant Management Organisations,http://www.communities.gov.uk/documents/housing/pdf/381303.pdf,Volume 6: (i) Model Code of Governance (ii) Guidance on a Code of Confidentiality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/workinghostelsmodel,Working Hostels: Models of Provision,Working hostels: models of provision,,'No One Left Out: communities ending rough sleeping' set out the intention to test new approaches and pathways including development of hostels geared towards supporting and stabilising people in employment.  A working hostel is anticipated to be a stepping-stone enabling residents to move on from rough sleeping into work or into alternative housing pathways.,Free,,2009-11-27,Reports and summaries,policy-papers,,9781409820086,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/1395275.pdf,Working Hostels: Models of Provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
http://www.communities.gov.uk/publications/housing/financialbenefitstoolkit,Handypersons Financial Benefits Toolkit,Handypersons financial benefits toolkit,,"The Handyperson financial benefits toolkit uses available evidence on the aims, objectives, outcomes and benefits of handyperson services and similar interventions to help put together a case for the future funding of handyperson services locally. It uses an approach to estimating the benefits of social policy interventions that has previously been used in a number of areas and will be familiar to anyone who has used the supporting people financial benefits model.

This guidance is provided as an aid for using the tool for developing a business case for handyperson services. Handyperson services are complex in nature, varying across local authority areas and in the nature of services interventions delivered. The examples and guidance provided are not intended to be exhaustive but are aimed at providing a checklist of key details to be included within the business case.",Free,,2010-03-24,Good practice and guidance,guidance,,9781409823469,providing-housing-support-for-older-and-vulnerable-people,,,,http://www.communities.gov.uk/documents/housing/pdf/1514533.pdf,Handypersons Financial Benefits Toolkit,http://www.communities.gov.uk/documents/housing/xls/1515104.xls,Handypersons Financial Benefits Toolkit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,department-for-communities-and-local-government
