old_url,organisation,title,policy_1,policy_2,policy_3,policy_4,publication_type,body,price,ignore date,publication_date,ignore type,ISBN,attachment_0_url,attachment_0_title,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title
http://www.communities.gov.uk/publications/fire/gra45workingwithhelicpoters,department-for-communities-and-local-government,Generic Risk Assessment 4.5: Working with helicopters,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,working-with-local-partners-to-plan-for-and-respond-to-emergencies,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 4.5_ examines the hazards, risks and controls that relate to Fire and Rescue Service (FRS) personnel are required to work at scenes where helicopters are present. Unmanned aerial vehicels suchas drones fall outside the scope of this document.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£13.99 (free to download below),6 December 2010,06-Dec-2010,"Good practice and guidance, Reports and summaries",9780117540675,http://www.communities.gov.uk/publications/fire/gra45workingwithhelicpoters?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1787858.pdf,Generic Risk Assessment 4.5: Working with Helicopters,,,,,,,,
http://www.communities.gov.uk/publications/fire/GRA5.5,department-for-communities-and-local-government,Generic Risk Assessment 5.5: Incidents involving radiation,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,working-with-local-partners-to-plan-for-and-respond-to-emergencies,,,guidance,"The Generic Risk Assessments (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 5.5_ examines the hazards, risks and control measures relating to incidents attended by the Fire and Rescue Service involving radioactive materials.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk/) (external link).",£13.99 (free to download below),31 January 2011,31-Jan-2011,"Good practice and guidance, Reports and summaries",9780117540774,http://www.communities.gov.uk/publications/fire/GRA5.5?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1829974.pdf,Generic Risk Assessment 5.5: Incidents involving radiation,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra53,department-for-communities-and-local-government,Generic Risk Assessment 5.3: Incidents involving chemicals,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,working-with-local-partners-to-plan-for-and-respond-to-emergencies,,,guidance,"The Generic Risk Assessment in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 5.3_ examines the hazards, risks and controls that relate to Fire and Rescue Service personnel, the personnel of other agencies and members of the public when dealing with incidents involving hazadous chemicals.  These may be solids, liquids or gases.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£13.99 (free to download below),24 March 2011,24-Mar-2011,"Good practice and guidance, Reports and summaries",9780117540736,http://www.communities.gov.uk/publications/fire/gra53?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1851993.pdf,Generic Risk Assessment 5.3: Incidents involving chemicals,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra54,department-for-communities-and-local-government,Generic Risk Assessment 5.4: Incidents involving biological hazards,working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 5.4_ examines the hazards, risks and controls that relate to Fire and Rescue Service staff and other agencies and members of the public attending incidents involving biologic hazards.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£9.99 (free to download below),12 October 2010,12-Oct-2010,"Good practice and guidance, Reports and summaries",9780117540750,http://www.communities.gov.uk/publications/fire/gra54?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/GRA5.4.pdf,Generic Risk Assessment 5.4 - Incidents involving biological hazards,,,,,,,,
http://www.communities.gov.uk/publications/fire/gra58,department-for-communities-and-local-government,"Generic Risk Assessment 5.8: Flashover, backdraught and fire gas ignitions",working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services (FRS) in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 5.8_ examines the hazards, risk and controls that relate to FRS staff and others who may be affected when the phenomenon of flashover, backdraught or fire gas ignition is experienced.

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£9.99 (free to download below),16 September 2009,16-Sep-2009,"Good practice and guidance, Reports and summaries",9780117540170,http://www.communities.gov.uk/publications/fire/gra58?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1336227.pdf,"Generic Risk Assessment 5.8: Flashover, backdraught and fire gas ignitions",,,,,,,,
http://www.communities.gov.uk/publications/fire/gra59,department-for-communities-and-local-government,Generic Risk Assessment 5.9: Incidents involving asbestos containg materials (ACMs),working-with-local-partners-to-plan-for-and-respond-to-emergencies,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 5.9_ examines the hazards, risks and controls that relate to Fire and Rescue Service staff and other agencies and members of the public attending incidents involving asbestos containing materials (ACMs).

Generic Risk Assessments are available in a variety of formats from The Stationary Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£13.99 (free to download below),12 October 2010,12-Oct-2010,"Good practice and guidance, Reports and summaries",9780117540835,http://www.communities.gov.uk/publications/fire/gra59?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/GRA5.9.pdf,Generic Rick Assessment 5.9 - Incidents involving asbestos containing materials (ACMs),,,,,,,,
http://www.communities.gov.uk/publications/fire/gra37,department-for-communities-and-local-government,Generic Risk Assessment 3.7: Fighting fires in refuse,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,working-with-local-partners-to-plan-for-and-respond-to-emergencies,,,guidance,"The Generic Risk Assessment (GRA) in this series have been produced as a tool to assist Fire and Rescue Services in England in drawing up their own assessments to meet the requirements of the Management of Health and Safety at Work regulations.

_Generic Risk Assessment 3.7_ examines the hazards, risks and control measures relating to Fire and Rescue Service Personnel, the personnel of other agencies and members of the public when fighting fires in refuse or refuse containers.

GRAs are available in a variety of formats from the Stationery Office. To order the A5 bound booklet version follow the link below at Order this Publication. For alternative versions please go to the [TSO website](http://www.tsoshop.co.uk) (external link).",£13.99 (free to download below),31 August 2011,31-Aug-2011,"Good practice and guidance, Research",9780117540491,http://www.communities.gov.uk/publications/fire/gra37?view=Order+form&supplierId=437883,Order this publication,http://www.communities.gov.uk/documents/fire/pdf/1953920.pdf,Generic Risk Assessment 3.7: Fighting fires in refuse,,,,,,,,
http://www.communities.gov.uk/publications/fire/pensionsfinalagreement,department-for-communities-and-local-government,Firefighters' pension scheme: proposed final agreement,,,,,guidance,"This document sets out the Proposed Final Agreement on the scheme design for the Firefighters' Pension Scheme in England to be introduced from April 2015 (""the 2015 scheme""). The Government has made clear this sets out their final position on the main elements of scheme design, which unions will now take to their Executives. The Government reserves its position on all aspects of this proposed scheme design.",Free,24 May 2012,24-May-2012,Reports and summaries,9781409835097,http://www.communities.gov.uk/documents/fire/pdf/2150574.pdf,Firefighters' Pension Scheme: Proposed Final Agreement,http://www.communities.gov.uk/documents/fire/pdf/2150577.pdf,Annex C: Verification report from the Government Actuary's Department,,,,,,,,
http://www.communities.gov.uk/publications/fire/pensionsheadsofagreement,department-for-communities-and-local-government,Firefighters' pension scheme: heads of agreement,,,,,guidance,"This document sets out the Heads of Agreement on the parameters to govern scheme design for the Firefighters' Pension Scheme in England to be introduced from April 2015. This sets out the Government's final position on the main elements of scheme design, provided that agreement can be reached on the core parameters, which unions have agreed to take to their Executives following discussions.",Free,9 February 2012,09-Feb-2012,Reports and summaries,9781409833451,http://www.communities.gov.uk/documents/fire/pdf/2086582.pdf,Firefighters' Pension Scheme: Heads of Agreement,http://www.communities.gov.uk/documents/fire/pdf/2086607.pdf,Annex C: Verification report from the Government Actuary's Department,,,,,,,,
http://www.communities.gov.uk/publications/corporate/statistics/firefighterpensionjuly2011,department-for-communities-and-local-government,Firefighters' pension income and expenditure (July 2011),,,,,statistics,"The information for the Firefighters' Pension Fund is made up from two schemes. The Firefighters Pension Scheme and the New Firefighters' Pension Scheme are both statutory, tax approved, unfunded, final salary occupational pension schemes.

This release provides information on Firefighters' Pension Fund forms obtained all 46 Fire Authorities in England that provide information on Firefighters Pension Funds.

The release has been compiled by the Local Government Finance - Data Collection, Analysis and Accountancy division of the Department for Communities and Local Government.",Free,29 July 2011,29-Jul-2011,statistics,9781409830672,http://www.communities.gov.uk/documents/statistics/pdf/19559041.pdf,Firefighters' Pensions income and expenditure (July 2011),http://www.communities.gov.uk/documents/statistics/pdf/1955967.pdf,Pre-release Access list: Firefighters Pension Fund,,,,,,,,
http://www.communities.gov.uk/publications/corporate/statistics/firefighterpensionjuly2012,department-for-communities-and-local-government,"Firefighters' pension income and expenditure, 2010-11 and 2011-12",,,,,statistics,"This release provides income and expenditure information from Firefighters Pension Fund forms submitted by all 46 Fire Authorities in England.

The information for the Firefighters' Pension Fund is made up from two schemes. The Firefighters Pension Scheme and the New Firefighters' Pension Scheme are both statutory, tax approved, unfunded, final salary occupational pension schemes.

The release has been compiled by the Local Government Finance - Data Collection, Analysis and Accountancy division of the Department for Communities and Local Government.",Free,31 July 2012,31-Jul-2012,statistics,9781409836056,http://www.communities.gov.uk/documents/statistics/pdf/219171.pdf,"Firefighters' pension income and expenditure, 2010-11 and 2011-12",http://www.communities.gov.uk/documents/statistics/pdf/1955967.pdf,Pre-release Access list: Firefighters Pension Fund,,,,,,,,
http://www.communities.gov.uk/publications/corporate/statistics/firepensionmembership201011,department-for-communities-and-local-government,Firefighters' pension scheme membership data England 2010-11,,,,,statistics,This release provides information on the Firefighters' Pension Scheme membership data obtained by all 46 Fire Authorities in England that provide information on Firefighters' Pension Funds.,Free,30 March 2012,30-Mar-2012,statistics,9781409834271,http://www.communities.gov.uk/documents/statistics/pdf/2120066.pdf,Firefighters' pension schemes membership data England 2010-11,http://www.communities.gov.uk/documents/statistics/doc/2120069.doc,Firefighters' pension schemes membership data England 2010-11,,,,,,,,
http://www.communities.gov.uk/publications/communities/streetpartyguide,department-for-communities-and-local-government,Your guide to organising a street party,bringing-people-together-in-strong-united-communities,,,,guidance,"This step-by-step guide provides practical advice for anyone looking to hold a street party to celebrate the Queen's Jubilee, the Big Jubilee Lunch, or the 2012 Olympics or Paralympics. It addresses some of the popular myths surrounding street parties and sets the record straight on what is actually needed (including on road closures, charges, playing music and insurance) as well as providing links to external organisations who offer support and advice to those looking to organise their own street parties.

The guidance includes a model street party form showing the sort of information local authorities will need to know about the event, but you can also access your own local authority's guidance and form via Directgov.

Local authorities are being encouraged to support local residents in bringing down any barriers that stop local areas from holding small private street parties.

You can use the [DirectGov website](http://local.direct.gov.uk/LDGRedirect/index.jsp?LGSL=1580&LGIL=8&ServiceName=Find%20out%20how%20to%20hold%20a%20street%20party) to access local information on street parties by entering your postcode.",Free,21 December 2011,21-Dec-2011,"Good practice and guidance, Manuals leaflets and booklets",,http://www.communities.gov.uk/documents/communities/doc/2056950.doc,Your guide to holding a street party,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/advicesquatters,department-for-communities-and-local-government,Advice on dealing with squatters in your home,increasing-the-number-of-available-homes,,,,guidance,"There are an estimated 20,000 squatters in the UK. This guidance is aimed at homeowners and to make them aware of their rights where their property has been unlawfully occupied. It has been jointly produced with the Ministry of Justice which makes clear that it is an offence for a squatter to fail to leave a residential property when required to do so by or on behalf of either a displaced residential occupier or certain other occupiers whose interest in the premises is protected under the legislation.

**Please note:** This guidance updates the version published on 8 November 2010, provided below as a _Related Publication_.",Free,21 March 2011,21-Mar-2011,Manuals leaflets and booklets,9781409826309,http://www.communities.gov.uk/documents/housing/pdf/1868817.pdf,Advice on dealing with squatters in your home (revised 21 March 2011),,,,,,,,,,
http://www.communities.gov.uk/publications/communities/righttobuildleaflet,department-for-communities-and-local-government,The Community Right to Build,giving-people-more-power-over-what-happens-in-their-neighbourhood,,,,guidance,This leaflet offers information and advice to communities interested in setting up Right to Build organisations.,Free,2 June 2011,02-Jun-2011,Manuals leaflets and booklets,9781409829942,http://www.communities.gov.uk/documents/communities/pdf/1914163.pdf,Community Right to Build e-flyer,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/tipslandlordsassuredshorthold,department-for-communities-and-local-government,Top tips for landlords: Assured shorthold tenancies,improving-the-rented-housing-sector,,,,guidance,"These tips are for landlords who have let or who intend to let a property on an assured shorthold tenancy.

Your tenant is likely to have an assured shorthold tenancy if:

  * you are a private landlord
  * the tenancy began on or after 28 February 1997
  * the house or flat is let as separate accommodation and is your tenant's main home.

If you are not sure what sort of tenancy your tenant has, see the sources of further information at the bottom of the leaflet.",Free,3 September 2011,03-Sep-2011,"Manuals leaflets and booklets, Good practice and guidance",9781409831013,http://www.communities.gov.uk/documents/housing/pdf/1973738.pdf,Top tips for landlords: Assured shorthold tenancies,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/tipstenantsassuredshorthold,department-for-communities-and-local-government,Top tips for tenants: Assured shorthold tenancies,improving-the-rented-housing-sector,,,,guidance,"These tips are for people who are, or who are thinking of, becoming an assured shorthold tenant. You are likely to be an assured shorthold tenant if:

  * your landlord is a private landlord
  * the tenancy began on or after 28 February 1997
  * the house or flat is let as separate accommodation and is your main home.

If you are not an assured shorthold tenant or are not sure what sort of tenancy you have, see the further information section at the bottom of this leaflet.",Free,3 September 2011,03-Sep-2011,"Manuals leaflets and booklets, Good practice and guidance",9781409831006,http://www.communities.gov.uk/documents/housing/pdf/1973741.pdf,Top tips for tenants: Assured shorthold tenancies,,,,,,,,,,
http://www.communities.gov.uk/publications/communities/tacklingantisocialbehaviour,department-for-communities-and-local-government,Tackling anti-social behaviour,helping-people-to-buy-a-home,providing-housing-support-for-older-and-vulnerable-people,increasing-the-number-of-available-homes,improving-the-rented-housing-sector,guidance,This leaflet explains where you can go for help to tackle anti-social behaviour and how you can help solve anti-social behaviour problems in your neighbourhood.,Free,9 February 2010,09-Feb-2010,Manuals leaflets and booklets,9781409821564,http://www.communities.gov.uk/documents/communities/pdf/1460701.pdf,Tackling anti-social behaviour,,,,,,,,,,
http://www.communities.gov.uk/publications/regeneration/renewingending,department-for-communities-and-local-government,Renewing and ending business leases: a guide for tenants and landlords,,,,,guidance,"This booklet is mainly about what tenants and landlords need to do to renew or end a business tenancy. So it is most likely to be of interest to tenants and landlords who already have a business lease. But it also covers the procedures for 'contracting out'. This allows those negotiating a first time lease - the future landlord and tenant - to agree to exclude security of tenure. When such an agreement is in force, the tenant loses the right to renew the lease, so it is particularly important for soon-to-be tenants to get legal advice on this point.

If you are looking for business premises, there is a separate booklet available on this website explaining the called _Thinking of Taking on Business Premises?_

_Note on quality: the files attached to this page were converted from a legacy website by automatic process, and may contain minor formatting errors. The text of the document is complete and as originally published._",Free,7 June 2004,07-Jun-2004,Manuals leaflets and booklets,,http://www.communities.gov.uk/documents/regeneration/pdf/131179.pdf,Renewing and ending business leases: a guide for tenants and landlords,http://www.communities.gov.uk/documents/regeneration/rtf/154971.rtf,Renewing and Ending Business Leases: A Guide for Tenants and Landlords,,,,,,,,
http://www.communities.gov.uk/publications/housing/finalschemedesign,department-for-communities-and-local-government,New Homes Bonus: final scheme design,increasing-the-number-of-available-homes,,,,guidance,"The formal consultation on the Government's proposed design for the New Homes Bonus closed on 24 December 2010. Four hundred and eighty responses were received and the proposals were met with widespread support.

DCLG is therefore implementing the scheme without delay. Links to the consultation document and a summary of responses to the consultation can be found below.

This document sets out the final scheme design for the New Homes Bonus. Appendix C provides a worked example.",Free,17 February 2011,17-Feb-2011,"Good practice and guidance, Reports and summaries",9781409828341,http://www.communities.gov.uk/documents/housing/pdf/1846530.pdf,New Homes Bonus: final scheme design,,,,,,,,,,
