status,old_url,title,summary,body,publication_type,policy_1,policy_2,document_series,organisation,publication_date,ignoredate,isbn,urn,command_paper_number,i,jsonattach
new,http://www.dft.gov.uk/publications/dft-conditions-of-contract-for-services,General conditions of contract for services,Current DfT standard conditions of contract used for the purchase of services.,"Current DfT standard conditions of contract used for the purchase of services.

## Download the document

  * [General Conditions of Contract for Services (PDF, 288 KB)](http://assets.dft.gov.uk/publications/about-procurement-dft-services/services.pdf)
  * [General Conditions of Contract for Services (DOC, 480 KB)](http://assets.dft.gov.uk/publications/about-procurement-dft-services/services.rtf)",guidance,,,procurement-at-the-department-for-transport,department-for-transport,25-Aug-2010,2010-08-25,,,,28,"[{""link"": ""http://assets.dft.gov.uk/publications/about-procurement-dft-services/services.pdf"", ""title"": ""General Conditions of Contract for Services (PDF \u2013 288 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/about-procurement-dft-services/services.rtf"", ""title"": ""General Conditions of Contract for Services (DOC \u2013 480 KB)""}]",399
new,http://www.dft.gov.uk/publications/diadem-software,DIADEM software,DIADEM (Dynamic Integrated Assignment and DEmand Modelling) is software designed to enable practitioners to easily set up variable demand models.,"## User Manuals:

  * [DIADEM user manual 5.0 F CON (PDF, 1125 KB)](http://assets.dft.gov.uk/publications/diadem/diadem-user-manual5.0.pdf)
  * [DIADEM user manual 5.0 F SAT (PDF, 1167 KB)](http://assets.dft.gov.uk/publications/diadem/diadem-user-manual-sat5.0.pdf)

## Download

DIADEM licence holders can download updates using their user id and password. The current DIADEM release is Version 5.0.

  * Current DIADEM release: [Version 5.0](http://www.dft.gov.uk/diadem/downloads/release.zip)

To register for downloads, please refer to the main [DIADEM page](http://www.dft.gov.uk/topics/appraisal-evaluation/tools/diadem/).",guidance,managing-improving-and-investing-in-the-road-network,,,department-for-transport,9-Oct-2012,2012-10-09,,,,34,"[{""link"": ""http://assets.dft.gov.uk/publications/diadem/diadem-user-manual5.0.pdf"", ""title"": ""DIADEM user manual 5.0 F CON (PDF \u2013 1125 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/diadem/diadem-user-manual-sat5.0.pdf"", ""title"": ""DIADEM user manual 5.0 F SAT (PDF \u2013 1167 KB)""}]",628
new,http://www.dft.gov.uk/publications/draft-guidance-sea-passenger,Draft guidance notes relating to Regulation (EU) No. 1177/2010,General information provisions within Regulation (EU) No. 1177/2010.,"## Summary

These seven guidance documents are intended to provide general information on those provisions within EU Regulation 1177/2010 (""EU Regulation"") concerning the rights of passengers when travelling by sea and inland waterway. The guidelines specifically relate to the obligations of carriers (ie cruise and ferry operators) and port terminal operators.

The department welcomes feedback from stakeholders on these documents up to 18 December 2012. Comments should be clearly marked and sent to:

Damian de Niese
Draft Guidance on EU Regulation 1177/2010
Department for Transport - Zone 2/29
Great Minster House
33 Horseferry Road
London
SW1P 4DR

Email: [damian.de_niese@dft.gsi.gov.uk](mailto:damian.de_niese@dft.gsi.gov.uk)

## Download documents

  * [Overview - guidance note 0 (PDF, 23 KB)](http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-0.pdf)
  * [Training requirements - guidance note 1 (PDF, 50 KB)](http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-1.pdf)
  * [Guidance for carriers, tour operators and travel agents on the carriage of disabled passengers and others with reduced mobility - guidance note 2 (PDF, 155 KB)](http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-2.pdf)
  * [The relationship between the passenger care and compensation regimes - guidance note 3 (PDF, 26 KB)](http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-3.pdf)
  * [Guidance for the carriage of recognised assistance dogs - guidance note 4 (PDF, 35 KB)](http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-4.pdf)
  * [Guidance for disabled passengers and passengers with reduced mobility when travelling by ship - guidance note 5 (PDF, 91 KB)](http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-5.pdf)
  * [Obligations of carriers and terminal operators in the event of interrupted travel - guidance note 6 (PDF, 41 KB)](http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-6.pdf)",guidance,sustaining-a-thriving-maritime-sector,,,department-for-transport,5-Oct-2012,2012-10-05,,,,185,"[{""link"": ""http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-0.pdf"", ""title"": ""Overview \u2013 guidance note 0 (PDF \u2013 23 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-1.pdf"", ""title"": ""Training requirements \u2013 guidance note 1 (PDF \u2013 50 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-2.pdf"", ""title"": ""Guidance for carriers, tour operators and travel agents on the carriage of disabled passengers and others with reduced mobility \u2013 guidance note 2 (PDF \u2013 155 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-3.pdf"", ""title"": ""The relationship between the passenger care and compensation regimes \u2013 guidance note 3 (PDF \u2013 26 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-4.pdf"", ""title"": ""Guidance for the carriage of recognised assistance dogs \u2013 guidance note 4 (PDF \u2013 35 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-5.pdf"", ""title"": ""Guidance for disabled passengers and passengers with reduced mobility when travelling by ship \u2013 guidance note 5 (PDF \u2013 91 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/draft-guidance-sea-passengers/draft-guidance-note-6.pdf"", ""title"": ""Obligations of carriers and terminal operators in the event of interrupted travel \u2013 guidance note 6 (PDF \u2013 41 KB)""}]",2156
new,http://www.dft.gov.uk/publications/dsa-dsa-direct-local-news-competition-terms-and-conditions,DSA Direct local news competition: terms and conditions,Terms and conditions for the prize draw to win a Kindle Fire by updating your DSA Direct account to get local news by email.,"## How to enter the competition

Sign up to get local news on the DSA Direct email alert service, and you could win a Kindle Fire.

  1. [Log in to your DSA Direct account](https://public.govdelivery.com/accounts/UKDSA/subscriber/new?)
  2. Click on the 'subscriber preferences' link
  3. Click on the 'questions' tab
  4. Select your location, or the locations you're interested in
  5. Click submit

You'll automatically be entered into the prize draw if you update your account from Monday 8 October 2012 to Sunday 14 October 2012.

## The prize

Kindle Fire (7"" LCD display, Wi-Fi, 8GB)

The prize has been donated by the Driving Standards Agency's (DSA) official publishers, The Stationery Office (TSO).

The prize is as stated, are not transferable to another individual and no cash or other alternatives will be offered.

## Full terms and conditions

Entry is open to residents of Great Britain only, except:

  * employees of the DSA and their families
  * employees of TSO and their families
  * employees of GovDelivery and their families
  * subscribers with a .gov.uk email address

The competition closes at the end of Sunday 14 October 2012. No responsibility is accepted for late subscriptions.

The winner will be selected at random and notified of the result by email by Wednesday 17 October 2012. The winner will also be asked, by email, for a postal address for the delivery of the prize. In the event that that the selected winner does not respond to the request for confirmation of their postal address within 21 days, we reserve the right to select a new winner.

Only one entry per person is allowed.

The winner will be selected at random in a draw, under the supervision of an independent person. The DSA's decision of who is picked as the winner is final and binding. No correspondence will be entered into over this decision.

The winner's personal information will be used only in connection with this competition and for no other purpose.

Proof of identity may be required.

For further information please contact a member of our digital communications team at the below address:

Driving Standards Agency (DSA)
The Axis
112 Upper Parliament Street
Nottingham
NG1 6LP

Or email us at: [competition@dsa.gsi.gov.uk](mailto:competition@dsa.gsi.gov.uk).

## Privacy

The competition is being run by DSA. DSA is an executive agency of the Department for Transport. DSA is a national organisation delivering driving and riding tests from over 400 practical driving test centres and around 150 theory test centres.

The data controller for personal information collected by the DSA Direct email alert service is GovDelivery. This message has been sent only to users who do not currently subscribe to local news. Users of the DSA Direct service have full control of their subscription preferences and can subscribe, or unsubscribe, from parts or all of the service at any time. You can read the full [GovDelivery privacy policy](http://knowledge.govdelivery.com/display/GD/GovDelivery+Digital+Communication+Management+-+Privacy+Policy) on their website.",promotional-material,,,,driving-standards-agency,8-Oct-2012,2012-10-08,,,,186,[],3102
new,http://www.dft.gov.uk/publications/dsa-operational-driving-theory-test-statistics,Operational driving theory test statistics,The operational statistics about driving theory tests show pass rate information for each theory test centre for different categories of driving theory tests.,"The operational statistics about theory driving tests show pass rates for different categories of theory driving tests. All reports show data from the 2007/07 financial year.

## Pass rates by driving test centre

  * [ DSA0001 - Pass rates by test centre (XLS, 556K)](http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0001.xls)

* * *

## Car (category B)

  * [DSA0203 - Pass rates by age and gender (XLS, 81K)](http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0203.xls)
  * [DSA0207 - Pass rates by voiceover language (XLS, 34K)](http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0207.xls)
  * [DSA0208 - Pass rates by translator language (XLS, 34K)](http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0208.xls)

* * *

## Motorcycle (category A/P)

  * [DSA0403 - Pass rates by age and gender (XLS, 86K)](http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0403.xls)

* * *

## Large goods vehicle (category C)

  * [DSA0503 - Pass rates by age and gender (XLS, 131K)](http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0503.xls)

* * *

## Passenger carrying vehicle (category D)

  * [DSA0603 - Pass rates by age and gender (XLS, 133K)](http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0603.xls)

* * *

## Approved driving instructor (part 1 test)

  * [DSA0703 - Pass rates by age and gender (XLS, 85K)](http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0703.xls)",statistics,making-roads-safer,,dsa-statistics,driving-standards-agency,14-Sep-2012,2012-09-14,,,,187,"[{""link"": ""http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0001.xls"", ""title"": "" DSA0001 \u2013 Pass rates by test centre (XLS, 556K)""}, {""link"": ""http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0203.xls"", ""title"": ""DSA0203 \u2013 Pass rates by age and gender (XLS, 81K)""}, {""link"": ""http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0207.xls"", ""title"": ""DSA0207 \u2013 Pass rates by voiceover language (XLS, 34K)""}, {""link"": ""http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0208.xls"", ""title"": ""DSA0208 \u2013 Pass rates by translator language (XLS, 34K)""}, {""link"": ""http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0403.xls"", ""title"": ""DSA0403 \u2013 Pass rates by age and gender (XLS, 86K)""}, {""link"": ""http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0503.xls"", ""title"": ""DSA0503 \u2013 Pass rates by age and gender (XLS, 131K)""}, {""link"": ""http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0603.xls"", ""title"": ""DSA0603 \u2013 Pass rates by age and gender (XLS, 133K)""}, {""link"": ""http://assets.dft.gov.uk/publications/dsa-operational-theory-test-statistics/dsa0703.xls"", ""title"": ""DSA0703 \u2013 Pass rates by age and gender (XLS, 85K)""}]",1609
new,http://www.dft.gov.uk/publications/dsa-safe-responsible-driving-category-c-standard,National Standard for Driving™ (category C),"The Safe and Responsible Driving (Category C) Standard™ sets out the knowledge, skills and understanding that the DSA believes are required to be a safe and responsible driver of a category C vehicle.","## Summary

The Safe and Responsible Driving (Category C) Standard™ sets out the knowledge, skills and understanding that the DSA believes are required to be a safe and responsible driver of a category C vehicle.

## Download documents

  * [Safe and Responsible Driving (Category C) Standard™ (PDF, 259K)](http://assets.dft.gov.uk/publications/dsa-national-driving-riding-standards/dsa-driving-standard-category-c.pdf)",guidance,making-roads-safer,,,driving-standards-agency,24-Sep-2012,2012-09-24,,,,188,"[{""link"": ""http://assets.dft.gov.uk/publications/dsa-national-driving-riding-standards/dsa-driving-standard-category-c.pdf"", ""title"": ""Safe and Responsible Driving (Category C) Standard\u2122 (PDF, 259K)""}]",419
new,http://www.dft.gov.uk/publications/dsa-safe-responsible-driving-category-d-standard,National Standard for Driving™ (category D),"The Safe and Responsible Driving (Category D) Standard™ sets out the knowledge, skills and understanding that the DSA believes are required to be a safe and responsible driver of a category D vehicle.","## Summary

The Safe and Responsible Driving (Category D) Standard™ sets out the knowledge, skills and understanding that the DSA believes are required to be a safe and responsible driver of a category D vehicle.

## Download document

  * [Safe and Responsible Driving (Category D) Standard™ (PDF, 502K)](http://assets.dft.gov.uk/publications/dsa-national-driving-riding-standards/dsa-driving-standard-category-d.pdf)",guidance,making-roads-safer,,,driving-standards-agency,24-Sep-2012,2012-09-24,,,,189,"[{""link"": ""http://assets.dft.gov.uk/publications/dsa-national-driving-riding-standards/dsa-driving-standard-category-d.pdf"", ""title"": ""Safe and Responsible Driving (Category D) Standard\u2122 (PDF, 502K)""}]",418
new,http://www.dft.gov.uk/publications/evaluation-local-major-schemes,Monitoring and evaluation framework for Local Authority Major Schemes,Guidelines on the monitoring and evaluation we require Local Authority Major Scheme promoters to carry out for Local Authority Major Schemes.,"## Summary

The Department has published guidelines on the level of monitoring and evaluation we require Local Authority Major Scheme promoters to carry out for 'Supported Pool' and 'Development Pool' Local Authority Major Schemes.

Monitoring and evaluating the investment in Major Schemes is important to assess whether the programme has delivered value for money and to ensure that lessons are learnt for further investment decisions.

## Download documents

  * [Monitoring and evaluation framework for Local Authority Major Schemes (PDF, 208 KB)](http://assets.dft.gov.uk/publications/local-majors-monitoring-evaluation/la-major-schemes-monitoring-evaluation.pdf)",guidance,improving-local-transport,managing-improving-and-investing-in-the-road-network,background-to-local-major-transport-schemes,department-for-transport,20-Sep-2012,2012-09-20,,,,191,"[{""link"": ""http://assets.dft.gov.uk/publications/local-majors-monitoring-evaluation/la-major-schemes-monitoring-evaluation.pdf"", ""title"": ""Monitoring and evaluation framework for Local Authority Major Schemes (PDF \u2013 208 KB)""}]",674
new,http://www.dft.gov.uk/publications/features-and-what-s-new-on-transport-direct,Transport Direct features,New an existing features of Transport Direct.,"![Screenshot: Transport Direct portal](http://webarchive.nationalarchives.gov.uk/20110206082507/http://www.dft.gov.uk/144130/246087/homepage)

The portal ([www.transportdirect.info](http://www.transportdirect.info)) provides all the information a traveller needs for any journey, by any mode, or mixture of modes of transport within Great Britain. This includes:

  * Complete and step by step directions for [door-to-door journey options by car and by public transport](http://www.transportdirect.info/web2/journeyplanning/journeyplannerinput.aspx);
  * ""Quick Planners"" to find a [train](http://www.transportdirect.info/web2/JourneyPlanning/FindTrainInput.aspx), [coach](http://www.transportdirect.info/web2/JourneyPlanning/FindCoachInput.aspx) and [flight](http://www.transportdirect.info/web2/JourneyPlanning/FindFlightInput.aspx);
  * Step-by-step driving directions for [car](http://www.transportdirect.info/web2/JourneyPlanning/FindCarInput.aspx) journeys, with journey times on strategic roads that reflect previously recorded traffic levels;
  * [Cycle](http://www.transportdirect.info/Web2/JourneyPlanning/findcycleinput.aspx) planner to provide cycle routes across Great Britain
  * Find cheaper rail [fares](http://www.transportdirect.info/Web2/JourneyPlanning/FindTrainCostInput.aspx) - find out what fares are available for a route and then find the journeys associated with those fares;
  * Maps of journeys showing each individual stage, and interchange points;
  * Find nearest [station/airport](http://www.transportdirect.info/Web2/JourneyPlanning/FindAStationInput.aspx) or [car park](http://www.transportdirect.info/Web2/JourneyPlanning/FindCarParkInput.aspx) search and plan journeys to and from it;
  * Tools to modify or extend a journey plan and to replace a section of a public transport journey plan with a car plan;
  * Ticket prices for rail and coach journeys and link to e-retailers to seamlessly buy tickets for the chosen journey;
  * [Live travel](http://www.transportdirect.info/Web2/LiveTravel/Home.aspx?cacheparam=4) information for Britain's rail and road networks;
  * Indicative costs for car journeys based on a number of factors, such as approximate fuel costs specific to the size and engine type of the vehicle or [CO2](http://www.transportdirect.info/Web2/JourneyPlanning/JourneyEmissionsCompare.aspx);
  * Get access [park and ride](http://www.transportdirect.info/Web2/JourneyPlanning/ParkAndRideInput.aspx) information and journey planning for over 50 towns and cities across Britain;
  * Mobile phone access to Transport Direct services such as live travel information and the planning of simple rail and bus journeys

## Door to door Journey Planner

![Image: door to door icon](http://webarchive.nationalarchives.gov.uk/20110206082507/http://www.dft.gov.uk/144130/246087/doortodoor)

The core feature of the Transport Direct Portal is the Door-to-door journey planner. A world first, this plans journeys from door to door using all feasible means of public transport anywhere in Great Britain; at the same time it can plan the journey by car, allowing the user to compare car and public transport journey options (Figure 5).

**Figure 5: Comparing Public Transport and Car Journeys**

![Figure 5: Comparing Public Transport and Car Journeys](http://webarchive.nationalarchives.gov.uk/20110206082507/http://www.dft.gov.uk/144130/246087/fig5a.jpg)

![Figure 5: Comparing Public Transport and Car Journeys](http://webarchive.nationalarchives.gov.uk/20110206082507/http://www.dft.gov.uk/144130/246087/fig5b.jpg)

Once the journeys have been planned:

  * The costs of the journey options can be provided as can the CO2 emissions;
  * Tickets can be purchased from online retailers (through an automated hand-off) or telephone numbers provided for telephone-based retailers;
  * The route, or individual sections of it, can be displayed on a map;
  * Calling points for a service can be displayed;
  * All information can be printed in order to provide an informative itinerary to take on the journey.

When **connecting people to places**, it is important that users can find their journey origin and destination from appropriate gazetteers or directly from the map. Transport Direct has created a rich set of gazetteers, based on postcodes, addresses, transport locations, places and even local attractions.

  * [Single mode Journey Planners](http://www.transportdirect.info/Web2/JourneyPlanning/JourneyPlannerInput.aspx)

![Image: single mode journey planners icon](http://webarchive.nationalarchives.gov.uk/20110206082507/http://www.dft.gov.uk/144130/246087/singlejourney)

In many cases, the traveller may only want to find out about part of a journey or travelling options using specific modes. Consequently, Transport Direct provides a range of modal journey planners:

  * Find a train;
  * Find a flight;
  * Find a car route;
  * Find a coach;
  * Find a bus;
  * Find a cycle route.

## Live travel information

![Image: live travel news icon](http://webarchive.nationalarchives.gov.uk/20110206082507/http://www.dft.gov.uk/144130/246087/livetravelnews)

Underpinning Transport Direct is comprehensive provision of live travel information, sourced from authoritative sources and recognised intermediaries.

The live travel news is updated every 15 minutes and can be filtered by:

  * Region / all of Great Britain;
  * Public transport / road / all types of transport;
  * Major / recent / all delays;
  * Incidents / road & rail engineering works / all types of travel news;
  * All road or public transport incidents can also be displayed on a map for geographic referencing.

Transport Direct also provides links to up-to-the-minute arrival and departure information for rail, bus services (where provided) and flights from the definitive sources such as National Rail, Transport for London, bus service information providers and airport operators.

## Car Parking and Park-and-Ride information

![Image: park and ride icon](http://webarchive.nationalarchives.gov.uk/20110206082507/http://www.dft.gov.uk/144130/246087/carparking)

  * [**Car Parking and Park-and-Ride information on Transport Direct**](http://www.transportdirect.info/Web2/LiveTravel/DepartureBoards.aspx?NotFindAMode=true)

Planning a car journey from door to door is straightforward when there is readily available on-road or off-road car parking. However, this is not always the case. Much more useful would be to plan to the nearest car park (within walking distance of the destination) or to a park-and-ride service and complete the journey by public transport.

Transport Direct has car park information for over 10,000 car parks, covering major towns and cities across Great Britain, and the range is being constantly expanded.

Using the ""find nearest car park"" service, the user can now find the nearest car park to their destination and also get information on costs and opening times. Car Parks are also shown on Transport Direct's maps, enabling journeys to be planned to and from these locations.

Transport Direct also has park-and-ride information for many cities, with details on cost and opening hours. The ""plan to park and ride"" service plans car journeys to and from the best park-and-ride location for the direction of travel to that city.

## Calculating Carbon Emissions

![Image: carbon calculator screen shot](http://webarchive.nationalarchives.gov.uk/20110206082507/http://www.dft.gov.uk/144130/246087/carboncalculator)

  * [Calculating Carbon Emissions on Transport Direct](http://www.transportdirect.info/Web2/JourneyPlanning/FindCarParkInput.aspx)

Transport Direct launched a car ""carbon calculator"" at the end of 2006, which is believed to be another world first. This feature enables the user to calculate the amount of CO2 emitted for a specific journey planned on Transport Direct, taking account of predicted levels of congestion on the roads and so enabling greater accuracy in the calculation of the emitted CO2.

In April 2007, Transport Direct launched an equivalent public transport carbon calculator. This enables users to find out how much CO2 is emitted from their specific public transport journey and compares this with car and other modes of transport.

It should be noted that comparing car CO2 with public transport CO2 is not comparing like for like, where the predicted CO2 emission for a:

  * Car journey is based on a specified number of occupants;
  * Public transport journey is based on an estimate of the number of passengers.

## What's New

Transport Direct recently developed the London 2012 Olympic Spectator Journey Planner which was based on the original Transport Direct back office.",guidance,improving-local-transport,,background-to-transport-direct,department-for-transport,29-Jun-2007,2007-06-29,,,,42,[],8681
new,http://www.dft.gov.uk/publications/guidance-unpaid-parking-charges,Guidance on Section 56 and Schedule 4 of the Protection of Freedoms Act 2012: Recovery of Unpaid Parking Charges,This document contains guidance on new laws relating to the recovery of unpaid parking charges on private land.,"## Summary

This document contains guidance on new laws relating to the recovery of unpaid parking charges on private land. The laws come into effect on 1 October 2012.

## Download documents

  * [Guidance on Section 56 and Schedule 4 of the Protection of Freedoms Act 2012: Recovery of Unpaid Parking Charges (PDF, 84 KB)](http://assets.dft.gov.uk/publications/guidance-unpaid-parking-charges/guidance-unpaid-parking-charges.pdf)",guidance,managing-improving-and-investing-in-the-road-network,,,department-for-transport,13-Sep-2012,2012-09-13,,,,192,"[{""link"": ""http://assets.dft.gov.uk/publications/guidance-unpaid-parking-charges/guidance-unpaid-parking-charges.pdf"", ""title"": ""Guidance on Section 56 and Schedule 4 of the Protection of Freedoms Act 2012: Recovery of Unpaid Parking Charges (PDF \u2013 84 KB)""}]",431
new,http://www.dft.gov.uk/publications/hayle-harbour-act-20120927a,Decision letter - Hayle Harbour Authority,This decision letter conveys the Secretary of State's decision on the Hayle Harbour Authority application.,"## Summary

This decision letter conveys the Secretary of State's decision on the Hayle Harbour Authority application under section 16 of the Hayle Harbour Act 1989.

## Download documents

  * [Decision letter - Hayle Harbour Authority (PDF, 1500 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/hayle-harbour-act-20120927a.pdf)
  * [Annex A - application from ING (PDF, 3200 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/annex-a.pdf)
  * [Annex B - letter from ING (PDF, 916 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/annex-b.pdf)
  * [Appendix One (PDF, 1600 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-one.pdf)
  * [Appendix Two (PDF, 2500 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-two.pdf)
  * [Appendix Three (PDF, 2300 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-three.pdf)
  * [Appendix Four (PDF, 4700 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-four.pdf)
  * [Appendix Five (PDF, 2500 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-five.pdf)
  * [Appendix Six (PDF, 4400 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-six.pdf)
  * [Application Plan - Part One (PDF, 1300 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/application-plan-part-1.pdf)
  * [Application Plan - Part Two (PDF, 1300 KB)](http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/application-plan-part-2.pdf)",circulars-letters-and-bulletins,sustaining-a-thriving-maritime-sector,,,department-for-transport,27-Sep-2012,2012-09-27,,,,193,"[{""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/hayle-harbour-act-20120927a.pdf"", ""title"": ""Decision letter \u2013 Hayle Harbour Authority (PDF \u2013 1500 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/annex-a.pdf"", ""title"": ""Annex A \u2013 application from ING (PDF \u2013 3200 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/annex-b.pdf"", ""title"": ""Annex B \u2013 letter from ING (PDF \u2013 916 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-one.pdf"", ""title"": ""Appendix One (PDF \u2013 1600 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-two.pdf"", ""title"": ""Appendix Two (PDF \u2013 2500 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-three.pdf"", ""title"": ""Appendix Three (PDF \u2013 2300 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-four.pdf"", ""title"": ""Appendix Four (PDF \u2013 4700 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-five.pdf"", ""title"": ""Appendix Five (PDF \u2013 2500 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/appendix-six.pdf"", ""title"": ""Appendix Six (PDF \u2013 4400 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/application-plan-part-1.pdf"", ""title"": ""Application Plan \u2013 Part One (PDF \u2013 1300 KB)""}, {""link"": ""http://assets.dft.gov.uk/publications/hayle-harbour-act-20120927a/application-plan-part-2.pdf"", ""title"": ""Application Plan \u2013 Part Two (PDF \u2013 1300 KB)""}]",1611
