# Name,Description,Type,Status,Logo formatted name,Slug
Capacitybuilders,"Capacitybuilders is a non-departmental government body established in 2006 to run the government's ChangeUp programme, which aims to help the sector 'change up' a gear in terms of its ability to do what it does.",other,Closed,Capacitybuilders,capacitybuilders
Central Office of Information,COI was the government department responsible for providing marketing and advertising services to other organisations in the public sector. COI closed in 2012.,other,Closed,Central Office of Information,central-office-of-information
Central Police Training and Development Authority,"Centrex, the common name of the Central Police Training and Development Authority (CPTDA), was established under Part 4 of the Criminal Justice and Police Act 2001, and was the primary means of police training in England and Wales.",other,Closed,Central Police Training and Development Authority,central-police-training-and-development-authority
Central Science Laboratory,"CSL was a government research laboratory for food, enviromental and agricultural sciences. In 2009 it became a part of the Food and Environment Research Agency.",executive_agency,Closed,Central Science Laboratory,central-science-laboratory
Child Maintenance and Enforcement Commission,The Commission was responsible for overseeing child maintenance arrangements in Great Britain. It was abolished in 2012 with responsibilities passing the the Department for Work and Pensions.,other,Closed,Child Maintenance and Enforcement Commission,child-maintenance-and-enforcement-commission
Children's Workforce Development Council,The CWDC was responsible for ensuring that people working with children had the appropriate skills. It was closed in 2012.,other,Closed,Children's Workforce Development Council,childrens-workforce-development-council
Clacton and Harwich Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Clacton and Harwich Education Action Zone,clacton-and-harwich-education-action-zone
CO2Sense,"The Churches Conservation Trust, which was initially known as the Redundant Churches Fund, is a UK charity whose purpose is to protect historic churches at risk, those that have been made redundant by the Church of England.",other,Closed,CO2Sense,co2sense
Commission for Architecture and the Built Environment (CABE),CABE was a non-departmental public body responsible for advising government on architecture and urban design. It merged into the Design Council in 2011,advisory_ndpb,Closed,Commission for Architecture and the Built Environment (CABE),commission-for-architecture-and-the-built-environment-cabe
Commission for Health Improvement,"CHI was the independent, inspection body for the NHS. It was replaced by the Healthcare Commission in 2004.",other,Closed,Commission for Health Improvement,commission-for-health-improvement
Commission for Healthcare Audit and Inspection,"The Commission for Healthcare Audit and Inspection, also known as the Healthcare Commission was created in 2004. It was responsible for assessing standards of care provided by the NHS. Its responsibilities were taken over by the Care Quality Commission in 2009.",other,Closed,Commission for Healthcare Audit and Inspection,commission-for-healthcare-audit-and-inspection
Commission for Patient and Public Involvement in Health,"The Commission for Patient and Public Involvement in Health (CPPIH)  was established in January 2003 to set up and support Patients' Forums. This independent, non-departmental public body (NDPB) was abolished on the 31st March 2008 when Patients' Forums were replaced by Local Involvement Networks (LINks).",other,Closed,Commission for Patient and Public Involvement in Health,commission-for-patient-and-public-involvement-in-health
Commission for Racial Equality,The Commission for Racial Equality (CRE) was a non-departmental public body in the United Kingdom which aimed to address racial discrimination and promote racial equality. The Commission was replaced by the Equality and Human Rights Commission.,other,Closed,Commission for Racial Equality,commission-for-racial-equality
Commission for Rural Communities,The Commission for Rural Communities (CRC) was established to promote awareness of rural needs amongst decision makers across and beyond government. It was abolished in 2013.,other,Closed,Commission for Rural Communities,commission-for-rural-communities
Commission for Social Care Inspection,"The Commission for Social Care Inspection was a non-departmental public body and the single, independent inspectorate for social care in England.",other,Closed,Commission for Social Care Inspection,commission-for-social-care-inspection
Commission for the Compact,The Commission for the Compact was an independent body responsible for overseeing the Compact and its five Codes of Good Practice. ,other,Closed,Commission for the Compact,commission-for-the-compact
Commissioners for the Reduction of the National Debt,Commissioners for the Reduction of the National Debt main function is the investment and management of government funds. ,other,Closed,Commissioners for the Reduction of the National Debt,commissioners-for-the-reduction-of-the-national-debt
Community Development Foundation,The Community Development Foundation (CDF) is a charity and social enterprise that aims to achieve an inclusive and just society through empowering people to influence decisions that affect their lives.,other,Closed,Community Development Foundation,community-development-foundation
Community Fund,"The Community Fund was established in 1994 to distribute funds from the National Lottery to philanthropic, benevolent and charitable organisations. It was merged with the New Opportunities Fund in 2004 to create the Big Lottery Fund. The Community Fund was dissolved in 2006.",other,Closed,Community Fund,community-fund
Compensation Agency,"Established as an executive agency within the Northern Ireland Office on 1 April 1992, the Compensation Agency administers the four statutory compensation schemes in Northern Ireland for criminal injuries, criminal damage and actions taken under the Justice and Security (Northern Ireland) Act 2007.",executive_agency,Closed,Compensation Agency,compensation-agency
Consumer Council for Postal Services,"Postwatch was set up in 2001 to assist customers with disputes or complaints relating to postal services in the UK. In 2008, it merged with Energywatch to form Consumer Focus.",other,Closed,Consumer Council for Postal Services,consumer-council-for-postal-services
Cooksey Review,"In March 2006, the Chancellor of the Exchequer and the Secretaries of State for Health and Trade and Industry invited Sir David Cooksey to undertake an independent review to advise on the best design and institutional arrangements for the public funding of health research in the UK",other,Closed,Cooksey Review,cooksey-review
Corby Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Corby Education Action Zone,corby-education-action-zone
Council for Catholic Maintained Schools,"The Council for Catholic Maintained Schools (CCMS) is the advocate for the Catholic Maintained Schools sector in Northern Ireland. CCMS represents trustees, schools and governors on issues such as raising and maintaining standards, the school estate and teacher employment.",other,Closed,Council for Catholic Maintained Schools,council-for-catholic-maintained-schools
Council for Healthcare Regulatory Excellence,The Council for Healthcare Regulatory Excellence (CHRE) was a UK health regulatory body set up under the National Health Service Reform and Health Care Professions Act 2002 - CHRE has now changed its name to the Professional Standards Authority for Health and Social Care (the Authority) under the Health and Social Care Act 2012 section 222.,other,Closed,Council for Healthcare Regulatory Excellence,council-for-healthcare-regulatory-excellence
Council for the Central Laboratory of the Research Councils,Council for the Central Laboratory of the Research Councils is a non-departmental public body from the laboratories of the previous Science and Engineering Research Council.,other,Closed,Council for the Central Laboratory of the Research Councils,council-for-the-central-laboratory-of-the-research-councils
Council on Tribunals,"The Council on Tribunals was an advisory non-departmental public body sponsored by the Ministry of Justice to keep under review and report on the constitution and working of tribunals under its supervision and, where necessary, to consider and report on the administrative procedures of statutory inquiries.",tribunal_ndpb,Closed,Council on Tribunals,council-on-tribunals
Counter Fraud and Security Management Service,"The Counter Fraud and Security Management Service (CFSMS) is an independent Division of the NHS Business Services Authority and has responsibility for all policy and operational matters relating to the prevention, detection and investigation of fraud and corruption and the management of security in the National Health Service.",other,Closed,Counter Fraud and Security Management Service,counter-fraud-and-security-management-service
Countryside Agency,The Agency was formed from the merger of the Countryside Commission and the Rural Development Commission. The Agency became part of Natural England in 2006.,executive_agency,Closed,Countryside Agency,countryside-agency
Court of Judicature of Northern Ireland,The Accountant General is required to keep proper accounts in respect of funds held in Court in accordance with section 78(1) of the Judicature (Northern Ireland) Act 1978 (the 1978 Act). This Statement of Accounts has been prepared in accordance with the direction given by HM Treasury in pursuance of section 78(2) of the 1978 Act.,other,Closed,Court of Judicature of Northern Ireland,court-of-judicature-of-northern-ireland
Court Service,"Her Majesty's Courts Service was an executive agency of the Ministry of Justice and was responsible for the administration of the civil, family and criminal courts in England and Wales. It was merged with the Tribunal Service in 2011 to form Her Majesty's Courts and Tribunal Service.",executive_agency,Closed,Court Service,court-service
Coventry Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Coventry Education Action Zone,coventry-education-action-zone
Creative Scotland,"Creative Scotland is the national organisation that funds and supports the development of Scotland's arts, screen and creative industries. ",other,Closed,Creative Scotland,creative-scotland
Criminal Injuries Compensation Appeals Panel,"The Criminal Injuries Compensation Appeals Panel (CICAP), now the Criminal Injuries Compensation Tribunal, considers appeals against decisions made by the Criminal Injuries Compensation Authority (CICA). ",other,Closed,Criminal Injuries Compensation Appeals Panel,criminal-injuries-compensation-appeals-panel
Criminal Injuries Compensation Appeals Panel for Northern Ireland,The Criminal Injuries Compensation Appeals Panel for Northern Ireland supports the victims of violent crime by determining appeals against review decisions made by the Compensation Agency.,executive_agency,Closed,Criminal Injuries Compensation Appeals Panel for Northern Ireland,criminal-injuries-compensation-appeals-panel-for-northern-ireland
Criminal Justice Inspection Northern Ireland,"The role of the Chief Inspector is to ensure the inspection of all aspects of the criminal justice system in Northern Ireland, other than the courts, and to contribute in a significant way to the efficient and effective running of the criminal justice system, while helping to guarantee that it functions in an even-handed way.",other,Closed,Criminal Justice Inspection Northern Ireland,criminal-justice-inspection-northern-ireland
Criminal Records Bureau,The Criminal Records Bureau is now part of the Disclosure and Barring Service,other,Closed,Criminal Records Bureau,criminal-records-bureau
Crown Agents Holding and Realisation Board,"The Crown Agents Holding and Realisation Board was established on 1 January 1980, by virtue of the Crown Agents Act 1979.",other,Closed,Crown Agents Holding and Realisation Board,crown-agents-holding-and-realisation-board
Deepcut Review,The Review was set up to review the circumstances surrounding the deaths of trainee soldiers at the Princess Royal Barracks in Deepcut in Surrey.,other,Closed,Deepcut Review,deepcut-review
Defence Analytical Services Agency,Defence Analytical Services and Advice (DASA) is an executive agency and statistical and economic unit within the MoD,executive_agency,Closed,Defence Analytical Services Agency,defence-analytical-services-agency
Defence Aviation Repair Agency,"The Defence Aviation Repair Agency, better known as DARA, was an executive agency of the United Kingdom Ministry of Defence, responsible for the maintenance and repair of Royal Air Force, Army and the Royal Navy's aircraft.",executive_agency,Closed,Defence Aviation Repair Agency,defence-aviation-repair-agency
Defence Bills Agency,"The Defence Bills Agency was an executive agency of the United Kingdom Ministry of Defence (MoD), providing financial management and information to budget holders. It was responsible to the Minister for Defence Procurement.",executive_agency,Closed,Defence Bills Agency,defence-bills-agency
Defence Communication Services Agency,The Defence Communication Services Agency (DCSA) was an agency of the United Kingdom Ministry of Defence responsible for the procurement and delivery of Communications and Information Services (CIS) to the defence community and related public and private sector bodies.,executive_agency,Closed,Defence Communication Services Agency,defence-communication-services-agency
Defence Estates,"Defence Estates (currently the Defence Infrastructure Organisation) was an operating arm of the Ministry of Defence (MoD), in the United Kingdom, which was responsible for the built and rural estate. ",other,Closed,Defence Estates,defence-estates
Defence Intelligence and Security Centre,The Defence Intelligence and Security Centre (DISC) is the location of the headquarters of both the Defence College of Intelligence and the British Army Intelligence Corps.,other,Closed,Defence Intelligence and Security Centre,defence-intelligence-and-security-centre
Defence Medical Education and Training Agency,"DMETA was formed in 2003 and was replaced by the Joint Medical Command in 2008. DMETA's aim has been to make available nominated Secondary Care personnel for deployments and exercises, and to deliver appropriate medical and military training and education to specified standards to meet the operational requirement.",executive_agency,Closed,Defence Medical Education and Training Agency,defence-medical-education-and-training-agency
Defence Procurement Agency,"The Defence Procurement Agency (DPA), was an Executive Agency of the United Kingdom Ministry of Defence responsible for the acquisition of materiel, equipment and services, for the British armed forces.",executive_agency,Closed,Defence Procurement Agency,defence-procurement-agency
Defence Storage and Distribution Agency,"The Defence Storage and Distribution Agency was an executive agency of the Government of the United Kingdom under the Ministry of Defence (MoD). Its role was to store, maintain, issue, process and distribute material for the MoD and other designated users.",executive_agency,Closed,Defence Storage and Distribution Agency,defence-storage-and-distribution-agency
Defence Transport and Movements Agency,"DTMA, as part of the Defence Logistics Organisation (DLO), provides strategic transport and movements support on a Tri-Service basis.",executive_agency,Closed,Defence Transport and Movements Agency,defence-transport-and-movements-agency
Defence Vetting Agency,"Defence Vetting Agency  (currently DBS National Security Vetting) was a unit within the Defence Business Services (DBS) organisation of the United Kingdom's Ministry of Defence (MoD) responsible for vetting employees of the British Armed Forces, MoD, civil servants, defence contractors, and certain other government departments and organisations who work on contracts with certain government departments.",executive_agency,Closed,Defence Vetting Agency,defence-vetting-agency
Dental Practice Board,Dental Practice Board of England and Wales ,other,Closed,Dental Practice Board,dental-practice-board
Dental Vocational Training Authority,"The Dental Vocational Training Authority was established by order of the Secretary of State in October 1993 as a Special Health Authority under the National Health Service Act 1946. The Dental Vocational Training Authority consisted of a Chairman, a Chief Executive and up to 40 non-officer member.",other,Closed,Dental Vocational Training Authority,dental-vocational-training-authority
"Department for Business, Enterprise and Regulatory Reform","BERR is now the Department for Business, Innovation and Skills",ministerial_department,Closed,"Department for Business, Enterprise and Regulatory Reform",department-for-business-enterprise-and-regulatory-reform
"Department for Children, Schools and Families",DCSF is now the Department for Education,ministerial_department,Closed,"Department for Children, Schools and Families",department-for-children-schools-and-families
Department for Constitutional Affairs,DCA is now the Ministry of Justice,ministerial_department,Closed,Department for Constitutional Affairs,department-for-constitutional-affairs
Department for Education and Skills,"DFES existed until 2007 when it was replaced the Department for Children, Schools and Families and the Department for Innovation, Universities and Skills",ministerial_department,Closed,Department for Education and Skills,department-for-education-and-skills
Department for Employment and Learning,Responsible for the promotion of learning and skills in order to support the economy in Northern Ireland,ministerial_department,Closed,Department for Employment and Learning,department-for-employment-and-learning
Department for Health,"No such department, paper incorrectly tagged",ministerial_department,Closed,Department for Health,department-for-health
"Department for Innovation, Universities and Skills","DIUS is now a part of the Department for Business, Innovation and Skills",ministerial_department,Closed,"Department for Innovation, Universities and Skills",department-for-innovation-universities-and-skills
Department for Regional Development,The Department for Regional Development and its Arm's Length Bodies maintain and develop infrastructure and services that are vital for Northern Ireland.,ministerial_department,Closed,Department for Regional Development,department-for-regional-development
Department for Social Development,"Department for Regional Development overall aim is to ""improve quality of life by securing transport and water infrastructure and shaping the region's long-term strategic development",ministerial_department,Closed,Department for Social Development,department-for-social-development
Department of Agriculture and Rural Development,"Department of Agriculture and Rural Development to help the agri-food industry prepare for future market opportunities and economic challenges; to promote the economic and social well-being and self-reliance of the rural community; to enhance animal, fish and plant health and welfare; to help deliver improved sustainable environmental outcomes; and to manage its business and deliver services to customers in a cost-effective way.",ministerial_department,Closed,Department of Agriculture and Rural Development,department-of-agriculture-and-rural-development
Department of Communities and Local Government,"No such department, paper incorrectly tagged",ministerial_department,Closed,Department of Communities and Local Government,department-of-communities-and-local-government
Department of Constitutional Affairs,DCA is now the Ministry of Justice,ministerial_department,Closed,Department of Constitutional Affairs,department-of-constitutional-affairs
"Department of Culture, Arts and Leisure","Department of Culture, Arts and Leisure delivering economic growth and enhancing the quality of life in Northern Ireland by ""unlocking the full potential of the culture, arts and leisure sectors.",ministerial_department,Closed,"Department of Culture, Arts and Leisure",department-of-culture-arts-and-leisure
Department of Education,The Department's primary statutory duty is to promote the education of the people of the north of Ireland and to ensure the effective implementation of education policy. ,ministerial_department,Closed,Department of Education,department-of-education
"Department of Enterprise, Trade and Investment","The Department of Enterprise, Trade and Investment (DETI) is a devolved Northern Ireland government department in the Northern Ireland Executive. The minister with overall responsibility for the department is the Minister of Enterprise, Trade and Investment.",ministerial_department,Closed,"Department of Enterprise, Trade and Investment",department-of-enterprise-trade-and-investment
Department of Finance and Personnel,"The Department of Finance and Personnel (DFP) helps the Northern Ireland Executive ""secure the most appropriate and effective use of resources and services for the benefit of the community.""",ministerial_department,Closed,Department of Finance and Personnel,department-of-finance-and-personnel
Department of Finance and Personnel for Northern Ireland,The Department of Finance and Personnel (DFP) is a devolved Northern Ireland government department in the Northern Ireland Executive.,ministerial_department,Closed,Department of Finance and Personnel for Northern Ireland,department-of-finance-and-personnel-for-northern-ireland
"Department of Health, Social Services and Public Safety","The Department of Health, Social Services and Public Safety (DHSSPS) works to improve the health and social well-being of the people of Northern Ireland.",ministerial_department,Closed,"Department of Health, Social Services and Public Safety",department-of-health-social-services-and-public-safety
Department of Inland Revenue,Inland Revenue is now a part of Her Majesty's Revenue and Customs,ministerial_department,Closed,Department of Inland Revenue,department-of-inland-revenue
Department of Social Security,DSS was replaced by the Department for Work and Pensions in 2001.,ministerial_department,Closed,Department of Social Security,department-of-social-security
Department of the Environment,DOE is responsible for the environment in Northern Ireland,ministerial_department,Closed,Department of the Environment,department-of-the-environment
Department of Trade and Industry,DTI was replaced by BERR and DIUS in 2007.,ministerial_department,Closed,Department of Trade and Industry,department-of-trade-and-industry
Derby North East Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Derby North East Education Action Zone,derby-north-east-education-action-zone
Design Council,"The Design Council was a non-departmental public body of BIS, but is now an independent organisation",other,Closed,Design Council,design-council
Dingle Granby Toxteth Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Dingle Granby Toxteth Education Action Zone,dingle-granby-toxteth-education-action-zone
Disability and Carers Service,"The Disability and Carers Service was merged with the Pension Service in 2008, to create the Pension, Disability and Carers Service",other,Closed,Disability and Carers Service,disability-and-carers-service
Disability Rights Commission,The Disability Rights Commission was responsible for enforcing disability legislation and for reviewing the Disability Discrimination Act 1995. It was replaced by the Equality and Human Rights Commission in 2007.,other,Closed,Disability Rights Commission,disability-rights-commission
Disposal Services Agency,"The Disposal Services Agency (DSA) is the sole authority for the disposal process of all surplus defence equipment, with the exception of nuclear, land and buildings. The Agency targets potential markets particularly in developing countries in a pro-active manner; to enable them to procure formally used British defence equipment instead of equipment from other countries.",executive_agency,Closed,Disposal Services Agency,disposal-services-agency
Downham and Bellingham Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Downham and Bellingham Education Action Zone,downham-and-bellingham-education-action-zone
Driver and Vehicle Testing Agency,The Agency was responsible for the testing of both drivers and vehicles in Northern Ireland. It is now a part of the Driver and Vehicle Agency.,executive_agency,Closed,Driver and Vehicle Testing Agency,driver-and-vehicle-testing-agency
Dudley Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Dudley Education Action Zone,dudley-education-action-zone
Easington and Seaham Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Easington and Seaham Education Action Zone,easington-and-seaham-education-action-zone
East Cleveland Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,East Cleveland Education Action Zone,east-cleveland-education-action-zone
East Manchester Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,East Manchester Education Action Zone,east-manchester-education-action-zone
East Midlands Development Agency (emda),The East Midlands Development Agency was the regional development agency for the East Midlands region of England.,executive_agency,Closed,East Midlands Development Agency (emda),east-midlands-development-agency-emda
East of England Development Agency,The East of England Development Agency (EEDA) was a non-departmental public body and the regional development agency for the East of England region of England.,executive_agency,Closed,East of England Development Agency,east-of-england-development-agency
Eastern Health and Social Services Board,"The Trust is an integrated organisation, incorporating acute hospital services, community health and social services.",other,Closed,Eastern Health and Social Services Board,eastern-health-and-social-services-board
Eliasch Review,The review aimed to provide a comprehensive analysis of international financing to reduce forest loss and its associated impacts on climate change. ,other,Closed,Eliasch Review,eliasch-review
Ellesmere Port Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Ellesmere Port Education Action Zone,ellesmere-port-education-action-zone
Employment Tribunals Service,The Employment Tribunals Service is now a part of Her Majesty's Courts and Tribunal Service.,tribunal_ndpb,Closed,Employment Tribunals Service,employment-tribunals-service
Energywatch,Energywatch was responsible for protecting and promoting the interests of all gas and electricity consumers in Great Britain. Energywatch was created in November 2000 and desolved in 2008 when it became Consumer Focus.,other,Closed,Energywatch,energywatch
English Institute of Sport,EIS provides sports science and medical support to elite athletes.,other,Closed,English Institute of Sport,english-institute-of-sport
English Nature,"English Nature promoted the conservation of wildlife, geology and wild places. It was merged with the Countryside Agency and Rural Development Service to form Natural England in 2006.",executive_agency,Closed,English Nature,english-nature
English Partnerships,"English Partnerships was the national regeneration agency, supporting high quality sustainable growth in England. It was a non-departmental public body sponsored by the Department for Communities and Local Government. It was replaced by the Homes and Communities Agency in 2008.",executive_agency,Closed,English Partnerships,english-partnerships
English Sports Council,Now known as Sport England.,other,Closed,English Sports Council,english-sports-council
Enterprise Ulster,Enterprise Ulster was a statutory employment training organisation established as a public corporation under The Enterprise Ulster (Northern Ireland) Order 1973. It was funded by the Department for Employment and Learning,other,Closed,Enterprise Ulster,enterprise-ulster
Environment and Heritage Service,The Environment and Heritage Service is the government agency that advises on and promotes the conservation of Northern Ireland's wildlife and natural features.,executive_agency,Closed,Environment and Heritage Service,environment-and-heritage-service
Equal Opportunities Commission,"The Equal Opportunities Commission (EOC) was an independent non-departmental public body, (NDPB) in the United Kingdom, which tackled sex discrimination and promoted gender equality. It was replaced by the Equality and Human Rights Commission.",other,Closed,Equal Opportunities Commission,equal-opportunities-commission
Equality Commission for Northern Ireland,"The Equality Commission for Northern Ireland is an independent public body established under the Northern Ireland Act 1998 and works to advance equality, promote equality of opportunity, encourage good relations and challenge discrimination through promotion, advice and enforcement.",other,Closed,Equality Commission for Northern Ireland,equality-commission-for-northern-ireland
