old_url,title,summary,body,type,delivered_by,event_and_location,organisation,policy 1,policy 2,policy 3,policy 4,first published,,
http://www.dft.gov.uk/news/statements/baker-20120110,Blue Badge Improvement Service,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.","**The Parliamentary Under Secretary of State for Transport (Norman Baker):** I am today providing an update on implementation of the Blue Badge reform programme that I announced in February 2011.

One of the key reforms to the Blue Badge scheme is the Blue Badge Improvement Service. This service has been developed in close consultation with disabled people and local authorities. It is a major initiative aimed at tackling rising levels of badge fraud and abuse, helping to ensure that disabled people receive improved customer service and ensuring that the scheme remains sustainable in the long term for those who rely on it most.

The Blue Badge Improvement Service became operational on 1 January 2012. I am pleased to say that every local authority in England has signed up to use the service and I would like to thank them all for their support in helping to deliver important and necessary changes that are vital for the future sustainable operation of the Blue Badge scheme. The Service should also help them to realise efficiency savings of up to £20m per year.

In an innovative move by the Department for Transport, the capital costs of the service are being met through private sector investment from Northgate Information Solutions who will deliver the secure web-based service, and Payne Security who will print, supply and distribute the newly designed badge.

The service establishes a common store of key information on badges and badge holders that will enable verification checks to be made quickly and easily.

To counter fraud, the design of the Blue Badge was changed in Regulations that came into force on 1 December 2011. The old-style cardboard badges have been replaced by new ones made from a fused and bonded hard plastic material and which contain a number of overt and covert security features.

For the first time, people can now apply for a Blue Badge using a national system that is available on Directgov. This should result in a quicker turnaround time for people re-applying for badges whose circumstances are not going to change. Those who use the online application form will only be asked to complete those sections that are relevant to the eligibility under which they are applying. They can also sign up for text and email reminders at re-application time, track the progress of their application and there will be an eligibility checker for those who want to find out if they are eligible for a badge. From 1 April 2012, badge holders will be able to report lost and stolen badges and update changes to their details online.

There is a new national helpline for general enquiries about Blue Badges that will signpost callers to the relevant local authority. However, local authorities will still be in charge of administering the Blue Badge scheme, making decisions about whether applicants are eligible and issuing badges.


",Written statement,norman-baker,,Department for Transport,managing-improving-and-investing-in-the-road-network,making-transport-more-accessible-to-all,,,10/01/2012,,
http://www.dft.gov.uk/news/statements/greening-20120110a,High Speed Rail 2,"Oral statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.

","**The Secretary of State for Transport (Justine Greening)**: This morning, I made a written statement to the House announcing my decision to give the go-ahead to High Speed 2-a national high-speed rail network. With the exception of High Speed 1-a 68-mile stretch of line-it will be the first major national railway line to be built in Britain since the Grand Central line opened to passengers in 1899. I would like to provide Members with further detail of the substance of, and rationale for, my decisions.

I weighed up the evidence after one of the largest public consultations in our history. We wrote to more than 172,000 people living or working near the proposed line from London to the west midlands, visited communities along the 140-mile route and held 41 days of roadshows attended by almost 30,000 people over the five-month consultation period. Almost 55,000 responses were received from individuals, businesses and organisations across the country representing a wide spectrum of views. Many of those views were expressed strongly both in favour of and against high-speed rail, and I have considered them carefully in making my decisions.

Since becoming Secretary of State for Transport, I have examined all the available evidence, including the work undertaken by my right hon. Friend the Member for Runnymede and Weybridge (Mr Hammond) and by the previous Labour Administration in developing the consultation proposals, the evidence submitted during the consultation, and the further work undertaken by my Department and HS2 Ltd. My decision had to consider not only the full environmental impact of HS2 but its benefits to our economy, jobs and our competitiveness not just today but decades into the future.

I also had to be clear about the implications of not investing in high-speed rail-about how it would affect our leading cities, and how that would affect the road network and aviation. Generating growth, helping people back to work and supporting Britain's companies and wealth creators so that they can compete and win in the global marketplace are at the top of the Government's priority list, and, from day one in office, the coalition has had a laser focus on investing in and modernising our country's transport infrastructure with unprecedented levels of investment.

When it came to HS2, I could have made the easy choice: I could have gone for the short-term option, relying on a patch-and-mend approach and leaving our rail networks overstretched, overburdened and less resilient. But let us be clear: the price for that would have been paid in lost business, lower growth, fewer jobs and more misery for passengers on a network without the capacity to cope. We would have failed future generations depending on us to create the prosperous country that they will want to live in.

Good government is about acting in the long-term national interest and about taking decisions, however difficult, to improve people's quality of life and the country's economic prospects not just for the next four or five years but for the next four or five decades. Our Victorian predecessors would have been immensely proud to see their railways providing massive benefit today --more than 100 years later--but as a result of today's announcement the railway revolution that they started is happening again. We are ready for a new chapter in Britain's transport history--one designed to boost our economy and our country just as the first coming of the railways or the motorways did for previous generations.

That is why I have given the green light to HS2. In spite of the challenges of rising demand, our railways have been a huge success since privatisation. Passenger demand is growing year on year, particularly in the inter-city market. I recognise, however, that further rounds of upgrades to our major north-south lines, even if they offer apparently good value for money, can only provide a short-term fix-one that is incapable of meeting the long-term challenge. In truth, they could add only limited further capacity; they could not offer the step change in performance that passengers wish and need to see.

What is more, upgrades would consign rail passengers and the vitally important rail freight industry to years, if not decades, of future engineering disruption, delay and unreliability-something that users of the west coast main line will remember only too well. The question, therefore, is not, ""Do we build new lines?"" but, ""What type of line should we build?"" And when we weigh up the economic and social rewards, there is only one answer: high-speed rail. A high-speed line will deliver £6.2 billion more in benefits to the country than a line running at conventional speeds, at an extra cost of only £1.4 billion. Therefore, by slashing journey times, as well as providing the step change in rail capacity that we need to keep the country moving, a high-speed line will give a return on the additional investment of more than four to one. A modern, reliable and fast service between our major cities and international gateways, as befitting the 21st century, will transform the way we travel, and promote Britain's economic and social prosperity.

HS2 will be built in two phases, to ensure delivery of its benefits at the earliest possible opportunity. Phase 1 will link London to the west midlands, as well as delivering a direct connection to the continent through the channel tunnel via High Speed 1. Even in the first phase, cities and towns off the HS2 network-such as Stockport, Warrington, Liverpool, Preston and Glasgow-will be served by trains able to use both HS2 and inter-city lines, saving over half an hour on journeys to London. Phase 2 will provide onward legs to Manchester and Leeds, with intermediate stations in the east midlands and South Yorkshire, plus a direct connection to our international hub, Heathrow airport. HS2 will also mean substantial time savings between Britain's cities, reducing Birmingham-to-Leeds journeys from two hours to just 57 minutes, and Manchester-to-London journeys from two hours eight minutes to only one hour eight minutes. Edinburgh and Glasgow will benefit from a three-and-a-half hour journey time from London, encouraging modal shift from short-haul flights to high-speed rail.

In delivering HS2, I look forward to working with the Scottish Government and others to identify and evaluate options for developing the high-speed network and further reducing journey times. However, I want to emphasise to the House that in making my decisions, I have been particularly mindful of our responsibility to safeguard the countryside and its wildlife, and to protect local communities as far as possible. I have worked hard to look at more tunnelling, to lower the route into cutting to reduce visibility, and to move the route away from homes wherever viable. I have looked hard at how we can better protect our landscape, our wildlife and our heritage. For that reason, my engineers have carefully re-examined the route in the light of all the evidence. I can therefore announce a package of alterations that I believe will significantly reduce the railway's impact.

Those improvements include a longer, continuous tunnel under the Chilterns from Little Missenden to the M25, and a new 2.75-mile bored tunnel along the Northolt corridor to avoid major works to the Chiltern line and impacts on local communities in the Ruislip area. Of the 13 miles through the Chilterns area of outstanding natural beauty, less than 2 miles will be at or above the surface. The rest will be in deep cutting or tunnel. There will also be a longer green tunnel past Chipping Warden and Aston le Walls, and another longer green tunnel to reduce impacts around Wendover, as well as an extension to the green tunnel at South Heath. There will also be a green tunnel past Greatworth. Those are just a few examples from the suite of improvements detailed in full in the Command Paper that I presented to the House this morning.

The changes will bring significant benefits to communities and the environment. Compared with the consultation route, there will be a more than 50% increase in tunnel or green tunnel, now totalling around 22.5 miles. In addition, around 56.5 miles will be partially or totally hidden in cutting, as a key way of helping to reduce noise in neighbouring communities, and 10 miles less track along viaduct or embankment. In all, that means that around 79 miles--more than half the route--will be mitigated by tunnel or cutting. The revised tunnel alignment through the Chilterns will avoid an important water aquifier--[Hon. Members: ""Aquifer.""]--aquifer--significantly reducing impacts on water. You see, Mr Speaker, I am always happy to listen to people when they see a better way of doing things.

There will also be a reduction in the impacts on ancient woodlands and heritage sites. Communities affected will benefit from the changes, with a near 50 % reduction in the number of dwellings at risk of land take, and the number of households experiencing noticeably increased noise levels reducing by a third, to just over 3,000 properties.

I have always been clear in my mind, however, that, whatever the mitigation measures, there can be little comfort to someone in knowing that the country will benefit enormously from HS2 when it is their house, or their business, that has to be knocked down to make way for it. The meeting that I had with MPs earlier last year allowed many of those representing communities along the proposed route to communicate the views of their constituents to me directly.

So, to help people, we will bring in a package of compensation measures over and above those that affected homeowners are already entitled to under law. These include: a streamlined purchase scheme to simplify the statutory blight process for property owners; a sale and rent back scheme to give homeowners within the safeguarded area more flexibility; a streamlined small claims scheme for any construction damage; and a package of measures to reinforce confidence in properties above tunnels.

Homeowners will be offered before and after surveys, a thorough assessment of the impact of similar tunnels, an explanation of the measures that will be taken to prevent perceptible vibration impacts, financial compensation for the compulsory purchase of subsoil, and a legally binding promise that HS2 will be permanently responsible for resolving any related settlement or subsidence issues. There will be also be a refreshed hardship-based property purchase scheme, and, finally, we will work constructively, and in a structured way, with local authorities along the line of route to minimise the negative consequences of HS2 and maximise the benefits.

Having made the decision to press on with HS2, my intention is to drive it forward as fast as is practicable, so that we can gain from its benefits as early as possible and end the unwelcome uncertainty for those affected. A key part of this will be to engage fully and actively with organisations, communities and individuals along the whole route of the Y network. People presented legitimate concerns in the consultation and, even though we have made significant improvements, I am keen to work hard with local communities so that as many concerns as possible are properly addressed.

I have instructed HS2 Ltd to undertake a range of activities to prepare for and deliver both phases of the network. It is my intention to introduce a hybrid Bill in the House by the end of 2013, including a detailed environmental impact assessment to provide the necessary powers to construct and operate the line from London to Birmingham. I have instructed HS2 Ltd to deliver this project at pace, but within milestones that will stand the test of time and with regular reporting to me on progress. The Major Projects Authority, which this Government launched last March to improve the performance of major Government projects in delivering on time and in budget, will provide critical support and oversight.

This spring, we will consult on the draft directions for safeguarding the proposed route from London to the west midlands, as well as separately consulting on detailed compensation proposals. I aim to bring final safeguarding directions and an agreed compensation policy into effect later in the year. In March this year, HS2 Ltd will advise me on the route and station options to Manchester and Leeds, and in autumn 2012, we will start an engagement programme on a preferred route to discuss local views.

I warmly welcome the political consensus on HS2, on the basis that it will help to ensure that the planning and construction of this transformational scheme are carried through to completion. HS2 matters to the long-term success and prosperity of the whole of Britain. It will help to create jobs, support growth and regenerate our regions. It will better connect communities and improve people's opportunities, and, with its potential to attract people and freight on to trains and away from long-distance road journeys and short-haul flying, combined with the increasing decarbonisation of the grid, HS2 will be an important part of transport's low-carbon future.

Britain has faced such challenges before. The Victorian railway pioneers had the vision to build a rail network that has promoted growth and created jobs for more than a century. Those innovators transformed this country's fortunes. Our industries flourished, our exports multiplied, and our economy grew wealthy. Half a century later, another generation had the vision to start building the motorway network. Post-war planners developed the motorway network, connecting major cities and transforming the capacity of our road network. Half a century on again, we now need to do for our Victorian railway what previous generations did for our road network. The time has come again to seize the moment, to be ambitious and to show the world that this is a can-do country. The lesson from history--and the lessons from our global competitors--is that no matter how hard times are, we cannot stop planning for the future or investing in our infrastructure if we want Britain to flourish. HS2 will be the backbone of a new transport system for the 21st century, offering the vital capacity that we need to compete and grow as a country. It will transform the economic shape and balance of our country, linking our major cities to a level previous generations could only dream of. By backing HS2, this Government are backing Britain, and I commend this statement to the House.

## Related documents

  * [HS2 revised line of route maps](/publications/hs2-maps-20120110/)
  * [HS2 Ltd triennial review 2011](/publications/hs2-ltd-triennial-review-2011/)


",Oral statement,justine-greening,,Department for Transport,expanding-and-improving-the-rail-network,developing-a-new-high-speed-rail-network,,,10/01/2012,,
http://www.dft.gov.uk/news/statements/penning-20120112,Electrically Assisted Pedal Cycles,"Written statement by Mike Penning MP, Parliamentary Under-Secretary of State for Transport.","**The Parliamentary Under Secretary of State for Transport (Mike Penning):** I am today publishing the responses to a public consultation which sought views on proposals to provide closer alignment of GB regulations with European rules.

The consultation was launched on 5th January 2010 in conjunction with a related consultation on Electric Personal Vehicles (EPVs) and ran until 30 March 2010. The EAPC Regulations were also included within the 'Retail' and 'Road Transportation' themes of the 'Red Tape Challenge' which ran from April 7th to June 17th 2011.

The Department has considered the responses and supports recommendations to harmonise power limits (from 200 Watts to 250 Watts) with similar provisions in place across the EU - allowing consumers access to a wider range of electrically assisted cycles.

Regulatory proposals will be developed to update power limits and consider other amendments, for example on weight limits, once EU discussions on a much wider group of 2, 3 and light 4-wheeled vehicles conclude. The outcome of EU discussions could have implications for the regulation of EAPCs, and it would therefore be unhelpful to make amendments at this time which might need to be subsequently repealed.

A detailed summary of the responses to the consultation will be available in the Libraries of both Houses and will be [available on the Department's website](/consultations/dft-2010-02)


",Written statement,mike-penning,,Department for Transport,managing-improving-and-investing-in-the-road-network,,,,12/01/2012,,
http://www.dft.gov.uk/news/statements/greening-20120116,Cost of ministerial cars for 2010-11,"Written statement by the Rt Hon Justine Greening MP, Secretary of State for Transport.","**The Secretary of State for Transport (Justine Greening):** I am publishing today details of the cost to Departments of government cars provided to Ministers by the Government Car and Despatch Agency (GCDA) during the year 1 April 2010 to 31 March 2011.

Spend for the period 1 April 2010 - 31 March 2011 was £3.8m. This includes £0.7m of spend during the previous administration. In 2009-10 the spend was £6.7m. This represents a 44% reduction in the amount departments spent on the ministerial car service compared to the previous financial year.

Costs from 1 April -12 May 2010 relate to the previous administration.

From 12 May 2010, the costs incurred by non-Cabinet Ministers while new arrangements for a Ministerial Car Pool were introduced include unavoidable costs associated with contractual termination notice periods. To reduce the cost of the Government Car Service to taxpayers, the Ministerial Car Pool was introduced in September 2010 and, from that date, replaced the allocated service for non-Cabinet Ministers in line with the Ministerial Code published in May 2010.

The second table highlights the reduction in the number of Ministers who have access to a GCDA allocated car and driver. The number has reduced from 78 to 13.

## Departmental Spend with the GCDA

**Department**

**1 April 2009 - 31 March 2010 Total:**** **

**1 April 2010 - 12 May 2010 Total:**

**13 May 2010 - 31 March 2011 Total:**

Cabinet Office

£362,790.25

£23,798.89

£138,536.33

Department for Business, Innovation and Skills

£694,236.23

£63,433.26

£240,771.45

Department for Education

£489,193.30

£54,254.64

£213,629.44

Department for Communities and Local Government

£488,276.10

£52,639.04

£268,952.57

Department for Culture, Media and Sport

£305,397.32

£25,631.37

£65,108.55

Department for Energy and Climate Change

£303,129.83

£34,967.45

£131,272.97

Department for Environment, Food and Rural Affairs

£275,989.34

£18,188.74

£76,846.27

Department for International Development

£256,656.35

£33,212.22

£174,565.37

Department for Transport

£282,979.08

£25,025.57

£137,948.56

Department for Work and Pensions

£506,726.45

£54,728.65

£205,961.00

Department of Health

£475,490.38

£52,962.64

£205,052.81

Foreign & Commonwealth Office

£368,534.31

£38,162.32

£145,430.57

HM Treasury

£462,989.33

£50,812.21

£223,472.38

Home Office

£514,593.50

£74,002.64

£257,297.36

Law Officers' Department

£188,130.75

£19,993.43

£107,078.42

Ministry of Defence

£106,342.80

£15,846.51

£23,572.12

Ministry of Justice

£320,429.90

£35,079.33

£229,214.80

Northern Ireland Office

£77,850.84

£8,611.98

£58,789.66

Scotland Office

£107,812.75

£8,638.61

£49,807.46

Wales Office

£150,504.20

£18,260.88

£113,691.38



_£6,738,053.01_

_£708,250.38_

_£3,066,999.47_

## Number of GCDA Allocated Cars

**Department**

**Number of Allocations @ 31/03/10:**

**Number of Allocations @ 31/03/11:**

Cabinet Office

4

0

Department for Business, Innovation and Skills

7

1

Department for Education

6

1

Department for Communities and Local Government

6

1

Department for Culture, Media and Sport

3

0

Department for Energy and Climate Change

4

0

Department for Environment, Food and Rural Affairs

2

1

Department for International Development

3

1

Department for Transport

3

1

Department for Work and Pensions

6

1

Department of Health

6

0

Foreign & Commonwealth Office

4

0

HM Treasury

6

1

Home Office

6

1

Law Officers' Department

2

1

Ministry of Defence

1

0

Ministry of Justice

4

1

Northern Ireland Office

2

1

Scotland Office

1

0

Wales Office

2

1



78

13


",Written statement,justine-greening,,Department for Transport,managing-improving-and-investing-in-the-road-network,,,,16/01/2012,,
http://www.dft.gov.uk/news/statements/baker-20120117,Plug-in car grant extended to vans,"Written statement by Norman Baker MP, Parliamentary Under-Secretary of State for Transport.","**The Parliamentary Under Secretary of State for Transport (Norman Baker):** I am pleased to announce the launch of a Plug-In Van Grant alongside the continuation of the existing Plug-In Car Grant to help stimulate the market for ultra-low emission vehicles. The Plug-In Van Grant, available to both private and business buyers across the UK, will provide a point of purchase discount of 20%, up to a maximum value of £8,000, for the purchase of eligible new ultra-low emission vans1.

Minister of State for Business and Innovation Mark Prisk and I have reviewed the existing Plug-In Car Grant, which provides a discount of 25%, up to £5,000 off the price of eligible ultra-low emission cars. We examined the need for and value of the grant, as well as its scope. We have concluded that there remains a strong case for the grant. We have therefore decided to continue with the Plug-In Car Grant at the current level, with provision out to 2015.

In addition, we are persuaded that there is a strong case for supporting ultra-low emission technology in vans - which often have fixed duty cycles and return to base regularly where they can easily recharge. An upfront purchase grant, when combined with the lower running costs and tax benefits, can make switching to an ultra-low emission van an attractive choice for businesses. The Plug-In Van Grant, alongside the existing Plug-In Car Grant, is designed to help private individuals and businesses adopt new, cleaner technology. Businesses, especially those with fleets, will be a key driver in increasing the market share of ultra-low emission vehicles.

The shift towards clean technology is an opportunity to further reinvigorate the UK automotive industry, where many van manufacturers are based, alongside helping to increase our energy security. The Plug-In Van Grant will help to improve local air quality in our cities, reduce carbon emissions and meet Government targets. The technology fits well with a large portion of the van market that relies on short urban trips to and from base.'

Only [vans which meet strict performance criteria for range, tail-pipe emissions and safety will be eligible](/topics/sustainable/olev/plug-in-van-grant/) for the Plug-In Van Grant. We are today opening the application process and inviting van manufacturers to apply for their vehicles to become part of the scheme. Applications can be received at any time. I expect to confirm shortly the first vans to join the scheme, for which applications will need to be received by 31 January.

* * *

  * Subject to state aid approval from the European Commission.

## Related documents

  * [Press release regarding plug-in vans, 17 January 2012](/news/press-releases/dft-press-20120117)


",Written statement,norman-baker,,Department for Transport,managing-improving-and-investing-in-the-road-network,,,,17/01/2012,,
http://www.dft.gov.uk/news/statements/villiers-20120117,Civil Aviation Authority environmental objectives,"Written statement by the Rt Hon Theresa Villiers MP, Minister of State for Transport.","## Updating the 2002 guidance to the Civil Aviation Authority on environmental objectives relating to the exercise of its air navigation functions

**The Minister of State for Transport (Theresa Villiers):** When the CAA is exercising its air navigation functions it is required under the Transport Act 2000 to take account of environmental Guidance given to it by the Secretary of State.  The current Guidance was issued in 2002 by the then Department for Transport, Local Government and Regions.

The CAA has been able to take account of the Guidance to make decisions on over 70 proposals for airspace change over the last nine years.  The Guidance recommends that the CAA keeps abreast of current Government policy including on planning, sustainable development and noise as well as guidance issued by the devolved administrations.

Given the length of time since the Guidance was published, and the recommendations of Sir Joseph Pilling in his July 2008 strategic review of the CAA and the Transport Select Committee in its 2009 report on the Use of Airspace, the Government recognises the need to update the Guidance to reflect current Government policy, including on issues such as noise and climate change.  This will be done next year following development of the _Sustainable Framework for UK Aviation_ and will include a public consultation so that all views can be heard on this important subject.

In the interim the Department for Transport is publishing today a technical addendum to the Guidance.  The addendum updates references and lists relevant policy documents and legislation published since 2002 that the CAA takes into account when considering airspace change proposals.

## Related documents

  * [Addendum to the 2002 guidance to the Civil Aviation Authority (CAA) on environmental objectives ](/publications/air-navigation-guidance-environmental-objectives)


",Written statement,theresa-villiers,,Department for Transport,increasing-international-competitiveness-of-uk-airlines-and-airports,,,,17/01/2012,,
http://www.dft.gov.uk/news/statements/villiers-20120119,ATOL Reform and the Civil Aviation Bill,"Written statement by the Rt Hon Theresa Villiers MP, Minister of State for Transport.","**The Minister of State for Transport (Theresa Villiers):** The Government consulted on proposals to reform the Air Travel Organisers' Licensing (ATOL) scheme between 23 June and 15 September 2011. The consultation included proposals that would require new primary legislation to help bring greater clarity and coherence to holiday protection.

Following the consultation and after careful consideration of the responses, I am pleased to announce that the [Civil Aviation Bill introduced today](http://services.parliament.uk/bills/2010-11/civilaviation.html) includes a clause that would widen the Secretary of State's powers so that holidays sold by airlines or arranged on an 'agent for the consumer' basis could be included in the ATOL scheme in the future. The Government's intention is that such a step would only be taken following full consultation with stakeholders including an impact assessment.

The Government intends to make a further statement on the full range of proposals for ATOL reform, shortly.

## Related documents

  * [Impact assessments of the Civil Aviation Bill ](/publications/ia-civil-aviation-bill)


",Written statement,theresa-villiers,,Department for Transport,increasing-international-competitiveness-of-uk-airlines-and-airports,,,,19/01/2012,,
http://www.dft.gov.uk/news/statements/villiers-2012012,InterCity West Coast rail franchise,"Written statement by the Rt Hon Theresa Villiers MP, Minister of State for Transport.","**The Minister of State for Transport (Theresa Villiers):** In May last year, the then Secretary of State announced that the next InterCity West Coast franchise would start on 9th December 2012.

The Department for Transport has today published an Invitation to Tender to mark the commencement of the formal bidding stage of the competition to replace the current operator on the West Coast Main Line. The new franchise will continue through to March 2026, this date being aligned to the introduction of High Speed services along the proposed HS2 route.

  * [InterCity West Coast franchise](/publications/rail-passenger-franchise-intercity-west-coast)

Increasing capacity and tackling overcrowding is our priority. 106 extra 'Pendolino' carriages are being provided for the West Coast. In addition to the 45% increase in capacity delivered in December 2008, 31 existing Pendolinos are being lengthened from 9 to 11 carriages and 4 new trains are being introduced, increasing the number of standard class seats on each train by almost 50%, from 320 to 470.

In all, the 106 new carriages will make 28,000 extra seats available each day, an increase of 25%. We expect that the additional and lengthened trains will be targeted on those routes and times of day with the highest demand.

It was further announced in May that a consultation would take place on a revised Train Service Requirement (TSR). A summary of and response to this consultation has also been published today on the Department for Transport website.

The TSR has been designed to give bidders greater flexibility to respond to passenger demand and run their businesses in a more commercial way within a framework set by the franchise that protects key outcomes for passengers, taxpayers and the economy. The TSR requires the provision of the same number of weekly stops at each station as set out in the current franchise; but will allow the franchisee to vary the capacity provided on individual days of the week in order to cater for the variations in daily demand.

The ITT contains less specification than in previous competitions, with a stronger focus on outcomes, for example on passenger satisfaction, rather than detailed prescriptive inputs. We expect the additional flexibility set out in the ITT to enable bidders to provide both a better service for passengers and an improved financial return for taxpayers.

However we will continue to specify core requirements and to manage overall compliance of key deliverables, such as performance and service quality. The franchise will contain new obligations based around passenger satisfaction with stations, trains and customer services.

The franchise length of up to 15 years including an option to extend by 20 months is intended to encourage the development of long term relationships between the operator and stakeholders giving greater scope to challenge and reduce excessive industry costs. We also expect the certainty provided by a long franchise to encourage investment in assets such as stations, by extending the period over which commercially attractive schemes can pay back. The new franchisee will take over full repairing responsibilities for the 17 stations they manage. We believe that cost savings can be achieved through combining roles currently split between the operator and Network Rail in relation to stations.

A new risk sharing mechanism based on macroeconomic variables has been introduced to remove some of the perverse operator behaviour experienced under the Cap and Collar system, while still providing an appropriate allocation of risk between the taxpayer and the operator.

Cap and Collar led to stronger concentration on revenue generation schemes rather than on cost reduction because support was available in the event of underperformance on revenue. Our new risk sharing mechanism helps create a more balanced approach to revenue and costs when bidders are considering how to develop their business.

A profit share mechanism has been introduced to enable the taxpayer to benefit from a share in profits above an agreed threshold which the franchise has generated, while continuing to provide sufficient incentive for the franchisee to outperform.

The franchise will specify the introduction of ITSO based smart ticketing. The introduction of smart ticketing will provide significant benefits for passengers and the use of the ITSO standard will enable the same card to be used on a range of different public transport services.

The InterCity West Coast ITT takes forward the franchising reforms set out in January 2011. Given the diversity of the rail network, our approach will be adapted to meet the individual requirements of different franchises. Future franchise contracts will not be identical but common themes will underlie all of them, including an emphasis on innovation, passenger satisfaction and greater commercial freedom to respond to the needs of passengers.

## Related documents

  * [InterCity West Coast franchise](/publications/rail-passenger-franchise-intercity-west-coast)
  * [New West Coast rail franchise to deliver 28,000 more seats press release, 20 January 2012](/news/press-releases/dft-news-20120120/)


",Written statement,theresa-villiers,,Department for Transport,expanding-and-improving-the-rail-network,,,,20/01/2012,,
http://www.dft.gov.uk/news/statements/penning-20120123,Review of Government support for maritime training scheme,"Written statement by Mike Penning MP, Parliamentary Under-Secretary of State for Transport.","**The Parliamentary Under-Secretary of State for Transport (Mike Penning):** Further to my announcement of 22 June 2011, I would like to inform Parliament of the outcome of the independent review into the requirement for Government support for merchant navy training and skills development and how best to spend any continuing Government funding.

I have concluded that continuing Government support for maritime training is required. The consultants' findings, accepted by the independent panel, were that there was a good value for money case for the retention of Government funding. Evidence was presented to me showing that for each working year of a seafarer who has benefitted from Government funding, approximately £14,500 in additional output is created relative to that of a UK worker displaying average productivity.

With over 90% of the UK's import and export trade by weight transported by the maritime sector, I believe continuing Government support in this area will reflect our ongoing commitment to economic growth and will help to maintain the competitiveness of this sector.

I have therefore decided to provide a budget of £12million a year for the support for maritime training scheme for the remainder of this Parliament. In view of the forecast national shortage of trained seafarers and the need to develop the next generation of UK officers and ratings, I intend that the majority of the budget be focussed on supporting initial training for cadets studying at junior officer level with the remainder supporting ratings training and ratings to officer conversion training.

I will be making a number of minor changes to the current scheme to achieve greater value for money by maximising the intake of trainees while ensuring more rigorous accountability structures are in place.

These changes are consistent with the Government's wider commitment to improve the transparency and accountability of public spending.

I will also be considering longer-term options to deliver merchant navy training within an overarching skills and apprenticeship framework.

A copy of the consultants' findings and the recommendations made by the independent panel have been placed in the Library of the House.

## Related documents

  * [UK shipping industry - support for maritime training](/topics/shipping-industry/#training)


",Written statement,mike-penning,,Department for Transport,sustaining-a-thriving-maritime-sector,,,,23/01/2012,,
http://www.dft.gov.uk/news/statements/penning-20120125,Charging Heavy Goods Vehicles,"Written statement by Mike Penning MP, Parliamentary Under-Secretary of State for Transport.","**The Parliamentary Under-Secretary of State for Transport (Mike Penning):** The Department for Transport has today launched a [consultation on a proposed road user charging scheme for heavy goods vehicles (HGVs) of 12 tonnes and over](/consultations/dft-2012-03/). This is one of the commitments in the Coalition Programme for Government.

The proposal's primary objective is to ensure fairer arrangements for UK hauliers. UK-registered HGVs already pay tolls or user charges on motorways and, frequently, other roads in most EU Member States. Save on some specific pieces of infrastructure (the M6 Toll and various bridges and tunnels), there are no tolls or user charges in the UK. As most foreign operators currently purchase their HGVs' fuel outside the UK, they therefore contribute nothing towards the cost of our roads.

A scheme for HGV road user charging cannot discriminate between UK-registered vehicles and vehicles registered elsewhere in the EU. It will therefore apply to both UK and foreign-registered HGVs. It must also comply with the Eurovignette Directive (Directive 1999/62/EC as amended by 2006/38/EC and 2011/76/EU) which sets out a framework of rules for tolls and charges, including maximum daily rates for the latter.

We propose a simple time-based charge, applying to the use of any road in the United Kingdom, meaning that a five axle HGV of 38 tonnes or more would pay £1,000 a year or £10 a day. The Eurovignette Directive's maximum permitted charge is currently €11 per day, although by the introduction of the charge this is likely to have been uprated by inflation to €12 (about £10 at current exchange rates). The precise level of charges will depend on exchange rate movements and inflation between now and the implementation date later this Parliament. UK hauliers would pay an annual (or six months) charge for each HGV at the same time and in the same transaction as they pay its Vehicle Excise Duty. This would avoid extra administration costs for UK business. Foreign hauliers could pay daily, weekly, monthly or annual charges.

As VED and the charge are paid 12 months in advance, UK hauliers would begin to pay the user charge as they renewed an HGV's VED from eleven months before the introduction of charging for foreign vehicles.

The Government will also come forward with measures to offset the additional user charges for UK hauliers, through reductions in taxes, duties or charges they currently face, or through appropriate spending measures. The Chancellor has discretion over tax and spending measures, but the most likely balancing measure in practice will be a reduction in VED towards minimum EU levels.

The overall cost burden will not increase for the vast majority of UK-registered vehicles. We believe that, if we reduce VED to levels at or just above the minimum rates set out in the Eurovignette Directive, around 94% of the current UK vehicle fleet would be no worse off, with 98% paying no more than £50 a year extra.

Non-payment of the user charge would be a criminal offence, which could result in a fine imposed by the courts. The user charge would be enforced by DVLA records, ANPR cameras and checks by the Vehicle and Operator Services Agency (VOSA) at the roadside. VOSA would also be able to issue fixed penalties on the spot to non-compliant drivers (and take financial deposits from drivers based outside the UK).

We are consulting on whether the scheme as a whole should be implemented, as well as on the details of the proposed charging bands, how the scheme will be administered, payment methods, enforcement and support for UK hauliers.

The consultation will run until 18 April 2012. The consultation document and associated tax impact assessment are available in the Library of the House, or on the DfT website at [www.dft.gov.uk](http://www.dft.gov.uk).

## Related documents

  * [A fairer deal for UK hauliers, 25 January 2012](/news/press-releases/dft-press-2012012/)


",Written statement,mike-penning,,Department for Transport,managing-improving-and-investing-in-the-road-network,,,,25/01/2012,,
