old_url,ignoreoriginaltitle,organisation,title,body,opening_date,closing_date,consultation_ISBN,ignoreperson,ignoreaddr,ignoreemail,policy_1,policy_2,policy_3,policy_4,response_date,response_1_url,response_1_title,response_summary,response_1_ISBN,response_2_url,response_2_title,response_2_ISBN,response_3_url,response_3_title,response_3_ISBN,response_4_url,response_4_title,response_5_url,response_5_title,response_5_ISBN,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title,attachment_12_url,attachment_12_title,attachment_13_url,attachment_13_title,attachment_14_url,attachment_14_title,attachment_15_url,attachment_15_title,attachment_16_url,attachment_16_title,attachment_17_url,attachment_17_title,attachment_18_url,attachment_18_title,attachment_19_url,attachment_19_title,attachment_20_url,attachment_20_title,attachment_21_url,attachment_21_title,attachment_22_url,attachment_22_title,attachment_23_url,attachment_23_title
http://www.communities.gov.uk/publications/localgovernment/scaconsultation2012,Proposals from town and parish councils under the Sustainable Communities Act 2007: Second Round Invitation,department-for-communities-and-local-government,Proposals from town and parish councils under the Sustainable Communities Act 2007,"On 15 December 2010 the Secretary of State for Communities and Local Government issued a second invitation to local authorities under the Sustainable Communities Act 2007. He invited local authorities to consult people, ask them how they would like to see their local area improved and to take appropriate action to make it happen. The Localism Act has given them far more freedom and flexibility to do this.

If local authorities, having consulted and reached agreement with their local communities, find that a bureaucratic barrier prevents them from taking action, they can submit a formal 'proposal' under the Sustainable Communities Act 2007 asking Government to remove the barrier through the online portal at [http://barrierbusting.communities.gov.uk](http://barrierbusting.communities.gov.uk/) (external link). This portal is also open to anyone who wishes to ask the government to remove a barrier which is stopping local action.

This consultation is seeking views on whether the existing arrangements for submitting barrier busting proposals are appropriate or whether town and parish councils should be able to submit proposals using the Sustainable Communities Act as well as local authorities.",13-Jun-2012,5-Sep-2012,9781409835493,,,,giving-people-more-power-over-what-happens-in-their-neighbourhood,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2160920.pdf,Proposals from town and parish councils under the Sustainable Communities Act 2007: Second Round Invitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/paytostayconsultation,High Income Social Tenants: Pay to Stay consultation,department-for-communities-and-local-government,High income social tenants: pay to stay,"Following on from a commitment made in _Laying the Foundations, A Housing Strategy for England_ to tackle the problem of households earning high incomes who continue to occupy subsidised housing, this consultation proposes to introduce a 'Pay to Stay' scheme whereby landlords could charge a fair rent to tenants on high incomes who want to stay in their social homes.

The consultation invites views on how this proposal might be delivered, including:

  * the income threshold above which high income tenants might be asked to pay a higher rent
  * what the higher level of rent should be
  * disclosure of income by tenants
  * whether the policy should be voluntary or compulsory for social landlords

The consultation is aimed primarily at local authorities, registered providers of social housing, tenants and representative organisations, but any consultation responses received from other interested bodies and individuals.",13-Jun-2012,12-Sep-2012,9781409835479,,,mailto:paytostay@communities.gsi.gov.uk,improving-the-rented-housing-sector,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/housing/pdf/2160581.pdf,High Income Social Tenants: Pay to Stay Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/homelessnessorderconsult,Homelessness (Suitability of Accommodation) (England) Order 2012 - Consultation,department-for-communities-and-local-government,Offering suitable housing to homeless people,"The Localism Act 2011 enables local authorities to end the main homelessness duty by arranging an offer of suitable accommodation in the private rented sector, without requiring the applicant's agreement.

The proposed draft Homelessness (Suitability of Accommodation) (England) Order 2012 sets out those circumstances in which accommodation used for the private rented sector offer to end the main homelessness duty is not to be regarded as suitable.

It will also look at how best to strengthen requirements in relation to location and suitability when local authorities secure accommodation for the use of households owed duties under the homelessness legislation.

This consultation seeks views on the proposed content of the draft Order.",31-May-2012,26-Jul-2012,9781409833635,,,,providing-housing-support-for-older-and-vulnerable-people,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/housing/pdf/21513539.pdf,Homelessness (Suitability of Accommodation) (England) Order 2012 - Consultation,http://www.communities.gov.uk/documents/housing/pdf/21512309.pdf,Homelessness (Suitability of Accommodation) (England) Order 2012 Impact Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/2146644,Localising Support for Council Tax: Funding arrangements consultation,department-for-communities-and-local-government,Localising support for Council Tax: funding arrangements,The Local Government Finance Bill includes provisions for local council tax support schemes in England. This document sets out how the Government intends to distribute funding to support local schemes and seeks views on possible adjustments to allocations to avoid potential budgetary pressures in a few authorities. It is published alongside statements of intent for the key sets of regulations which will provide the legal framework for local schemes.,17-May-2012,12-Jul-2012,9781409834885,,,,giving-local-authorities-more-control-over-how-they-spend-public-money-in-their-area,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/localgovernment/pdf/2146648.pdf,Localising Support for Council Tax: Funding arrangements consultation,http://www.communities.gov.uk/documents/localgovernment/xls/2152905.xls,Annex A: Exemplification of funding distribution for all local authorities,http://www.communities.gov.uk/documents/localgovernment/pdf/2161406.pdf,Explanation of funding allocation calculation in Annex A,http://www.communities.gov.uk/documents/localgovernment/pdf/2053967.pdf,Local Government Finance Bill: Summary impact assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/mobilehomeowners,A better deal for mobile home owners - Consultation,department-for-communities-and-local-government,A better deal for mobile home owners,"This consultation proposes a number of reforms to the park homes sector, aimed at tackling a number of complaints made by residents of some mobile home site operators. These can include:

  * blocking an owner's sale of their home - without justifiable reason
  * neglecting their sites and failing to make adequate repairs; and
  * charging excessive pitch fees, breaching site rules and stopping owners from improving their homes.

The measures are designed to ensure site operators who behave responsibly can continue to operate as they do already whilst the rogue operators are properly tackled - as well as being made to meet the cost of their negligence rather than the taxpayer picking up the bill.

The proposed changes include:

  * ensuring compliance with site licence conditions by enabling the courts to impose unlimited fines on operators who do not manage their sites properly
  * allowing local authorities to make a reasonable charge on site operators for their licensing services, which they are currently unable to do
  * giving local authorities the power to carry out works on sites in an emergency or where the site operator has been found guilty of a breach of the licence, and charge the cost back to them
  * strengthening the rules around the sale of mobile homes so that unscrupulous operators cannot interfere with owners selling to a qualifying buyer who they have chosen; and
  * changing legislation to improve other residents' rights to reflect their status as home owners by, for example, allowing them to carry out home improvements without seeking permission.",16-Apr-2012,28-May-2012,9781409834373,,,,helping-people-to-buy-a-home,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/housing/pdf/21280282.pdf,A better deal for mobile home owners - Consultation,http://www.communities.gov.uk/documents/housing/pdf/2128121.pdf,Changes to the Mobile Homes Act 1983 - Impact Assessment,http://www.communities.gov.uk/documents/housing/pdf/2128095.pdf,Changes to the local authority site licensing regime - Impact Assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/guidanceprocedurescompulsory,Planning Act 2008: Guidance related to procedures for the compulsory acquisition of land - Consultation,department-for-communities-and-local-government,Compulsory acquisition of land,"The guidance on the compulsory acquisition of land has been refreshed to bring it into line with the _Localism Act 2011_ and has been made more concise in the process. In addition, it clarifies that after the abolition of the Infrastructure Planning Commission, the Planning Inspectorate will handle requests for certification under sections 127, 131 and 132 of the _Planning Act 2008_.",13-Apr-2012,6-Jul-2012,9781409834540,,,,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2130302.pdf,Planning Act 2008: Guidance related to procedures for the compulsory acquisition of land - Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/guidanceinfrastructurefees,Planning Act 2008: The Infrastructure Planning (Fees) Regulations 2010: Guidance - Consultation,department-for-communities-and-local-government,Infrastructure planning regulations: fees,"The guidance on the Infrastructure Planning (Fees) Regulations 2010 has been refreshed to bring it into line with the _Localism Act 2011_ and it has been made more concise in the process. In addition, the worked examples have been removed until more evidence of actual costs becomes available.",13-Apr-2012,6-Jul-2012,9781409834526,,,,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2130241.pdf,Planning Act 2008: The Infrastructure Planning (Fees) Regulations 2010 - Guidance: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/guidanceassociateddevelopment,Guidance on associated development: Applications for major infrastructure projects under the Planning Act 2008 - Consultation,department-for-communities-and-local-government,Planning for major infrastructure projects: associated development,"This document has been refreshed to bring it into line with the _Localism Act 2011_ and to capture a recent High Court ruling on the definition of dwellings under associated development in the _Planning Act 2008_.

The definition of associated development has been amended to clarify that in tightly constrained circumstances (where it would offset the impacts of nearby future development which the Secretary of State for Communities and Local Government is reasonably satisfied will be applied for), a degree of overcapacity may be applied for as associated development. This is not a regulatory or a policy change - it clarifies what may be permitted as associated development in the Planning Act.",13-Apr-2012,6-Jul-2012,9781409834496,,,,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2130062.pdf,Guidance on associated development: Applications for major infrastructure projects under the Planning Act 2008 - Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/suiteguidanceconsultation,Planning Act 2008: Consultation on proposed changes to the suite of guidance documents for the major infrastructure planning regime,department-for-communities-and-local-government,Major infrastructure planning: guidance,This is the consultation document for the light-touch review of the suite of six guidance documents which underpin the _Planning Act 2008_. It outlines the context and aims of the consultation as well as the main changes proposed in each of the documents. It also lists the consultation questions for each document.,13-Apr-2012,6-Jul-2012,9781409834557,,,,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2130036.pdf,Planning Act 2008: Consultation on proposed changes to the suite of guidance documents for the major infrastructure planning regime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/guidanceexaminationapplications,Planning Act 2008: Guidance for the examination of applications for development consent for nationally significant infrastructure projects - Consultation,department-for-communities-and-local-government,Nationally significant infrastructure projects: guidance for examining planning applications,"The examinations guidance has been refreshed to bring it into line with the _Localism Act 2011_ and has been made more concise in the process. It clarifies some of the examination procedure rules. For example, there are now sections detailing what the preliminary meeting is for and what are specific issue hearings, as feedback suggested that users were not clear on these (Rule 7 and Rule 13). The guidance also addresses the process for making changes to a Development Consent Order post submission.",13-Apr-2012,6-Jul-2012,9781409834519,,,,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2130206.pdf,Planning Act 2008: Guidance for the examination of applications for development consent for nationally significant infrastructure projects - Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/guidancepreapplicationprocess,Planning Act 2008: Guidance on the pre-application process - Consultation,department-for-communities-and-local-government,Pre-application process for planning applications,"This document is the result of merging and expanding reworked versions of the Local Authority guidance and the pre-application consultation guidance. It covers all the main processes required by an applicant prior to the submission of an application, including the pre-application consultation, the environmental impact assessment and drafting a Development Consent Order, including clarity on the ability to use alternatives in a draft order.

The guidance also gives more specific advice about consultation for offshore wind developments where there is no obvious local authority to consult. In addition the guidance provides further clarity on the Rochdale Envelope in applications.",13-Apr-2012,6-Jul-2012,9781409834502,,,,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2130143.pdf,Planning Act 2008: Guidance on the pre-application process - Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/guidanceapplicationform,Planning Act 2008: Nationally significant infrastructure projects: Application form guidance - Consultation,department-for-communities-and-local-government,Nationally significant infrastructure projects: application form guidance,The application form guidance has been refreshed to bring it into line with the _Localism Act 2011_ and has been made more concise in the process.,13-Apr-2012,6-Jul-2012,9781409834533,,,,making-the-planning-system-work-more-efficiently-and-effectively,,,,,,,,,,,,,,,,,,,,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2130277.pdf,Planning Act 2008: Nationally significant infrastructure projects - Application form guidance: Consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
