4,old_url,title,policy_1,policy_2,policy_3,organisation,minister_1,minister_2,body,first_published,images_0_url,images_0_alt,images_1_url,images_1_alt,images_2_url,images_2_alt,images_3_url,images_3_alt,images_4_url,images_4_alt,images_5_url,images_5_alt,images_6_url,images_6_alt,images_7_url,images_7_alt,images_8_url,images_8_alt,images_9_url,images_9_alt,images_10_url,images_10_alt,images_11_url,images_11_alt
384,http://www.communities.gov.uk/newsstories/corporate/2162900,Queen's Birthday 2012 Honours List,,,,department-for-communities-and-local-government,grant-shapps,,"Congratulations to all local government, fire service and voluntary sector staff recognised in this year's Queen's Birthday Honours List.

Local Government Minister Grant Shapps said:

> ""I would like congratulate all those from local government, the fire service and voluntary sector on receiving an award in the Queen's Birthday 2012 Honours List. This is a fantastic achievement and great recognition of all their hard work and dedication to the community. Well done and thank you!""

Some of the recipients nominated for services to the community, local government and the Fire Service include:

  * **Tony Burton**, lately Director, Civic Voice receives a **CBE** For services to Planning, Local Government and Communities
  * **Robert Gordon**, DL, leader of Hertfordshire County Council receives a **CBE** for services to Local Government
  * **Joe Anderson**, leader of Liverpool City Council receives an **OBE** for services to Local Government and the community
  * **James Carlson** receives an **OBE** for services to Combating Homelessness.
  * **Patrick Clarke**, Director of Operations, UK Power Networks receives an **OBE** for services to Black Asian and Minority Ethnic Youth Mentoring
  * **Sally Reynolds**, Co-founder and lately Chief Executive, Social Firms UK receives an **OBE** for services to Equality in the Labour Market
  * **Joseph Pike** receives a **MBE** for services to Local Government in Essex
  * **Kevin Ruane**, Watch Manager, Nottinghamshire Fire and Rescue Service receives a **MBE** for services to the Fire and Rescue Service
  * **Stephen Beckley**, Deputy Chief Fire Officer, Director of Operations, West Yorkshire Fire and Rescue Service receives a **Queens Fire Service Medal**
  * **William Gough**, Group Commander, West Midland Fire Service receives a **Queens Fire Service Medal**
  * **David Howells**, Lately Director of Corporate Services, Hampshire Fire and Rescue Service receives a **Queens Fire Service Medal**
  * **Paul Richardson**, Deputy Chief Fire Officer, Lancashire Fire and Rescue Service receives a **Queens Fire Service Medal**
  * **Neil Fritzsche**, Area Manager (Response), Lincolnshire Fire and Rescue receives a **Queens Fire Service Medal**

### Images

![http://www.communities.gov.uk/images/newsroom/1614614.jpg?view=Standard](http://www.communities.gov.uk/images/newsroom/1614614.jpg?view=Standard)

  * [Queen's Birthday Honours 2012 - full list](http://www.communities.gov.uk/documents/newsroom/pdf/2162881.pdf)

PDF, 25 kb, 4 pages",16-Jun-2012,http://www.communities.gov.uk/images/newsroom/1614614.jpg?view=Standard,http://www.communities.gov.uk/images/newsroom/1614614.jpg?view=Standard,,,,,,,,,,,,,,,,,,,,,,
379,http://www.communities.gov.uk/news/corporate/2163097,The Audit Commission - Appointment of new Commissioner,,,,department-for-communities-and-local-government,eric-pickles,,"Communities and Local Government Secretary Eric Pickles has today announced that Robert Anderson has been appointed to the Audit Commission Board, as the Government presses ahead with the disbandment of the Commission.

Robert joins as the Labour local government representative on the Board and brings considerable knowledge and experience which should assist the Commission as it is disbanded. He is currently leader of Slough Borough Council.

Eric Pickles the Secretary of State for Communities and Local Government said:

> ""I am pleased to announce the appointment of Robert Anderson. He brings significant practical local government knowledge to the Board.""

The Communities Secretary Eric Pickles announced in August 2010 plans to disband the Commission and refocus audit on helping local people hold councils and local public bodies to account for local spending decisions.

### Notes to Editors

1. The Government announced plans in August 2010 to disband the Audit Commission. In the future, councils will be free to appoint their own independent external auditors from a more competitive and open market and there will be a new audit framework for local health bodies. This will save council taxpayers' money and bring in a more localist approach. A draft bill to close the Commission and establish the new local audit framework will be published in the summer.",18-Jun-2012,,,,,,,,,,,,,,,,,,,,,,,,
377,http://www.communities.gov.uk/news/corporate/2163772,£1million to support retired Gurkha soldiers,providing-housing-support-for-older-and-vulnerable-people,,,department-for-communities-and-local-government,eric-pickles,,"Communities Secretary Eric Pickles today announced the allocation of £1million of extra support to help the successful integration of retired Gurkha soldiers and their families in areas with existing veteran populations.

Rushmoor Borough Council, Kent County Council and The Royal Borough of Greenwich will each receive £200,000 and Nuneaton and Bedworth Borough Council in Warwickshire will receive £50,000 this year to take the lead in developing local projects and support services in their authority and in neighbouring councils. In addition each authority will work with Gurkha charities in developing training to help veterans adjust to life in their new communities and promote better understanding among residents.

The funding builds on £500,000 given to Rushmoor in Hampshire last year to help ease the exceptional pressures placed on health, education and social services in the towns of Aldershot and Farnborough by the arrival of a high number of elderly Nepalese nationals over a short period of time.

Since then the Council, together with the Gurkha Welfare Trust, has been developing ideas to support the wider settlement of retired soldiers and their dependants. Today's allocation also awards the Council £200,000 to establish a special interest group on Gurkha settlement.

The Council will take the lead in helping local authorities across the country improve their veteran services support and develop a partnership with Citizens Advice to improve local advice for families, which will help to reduce the pressure on the over-stretched Gurkha Welfare Centre in Aldershot. A further £150,000 will be made available for English language support for Gurkhas and their families to help improve their employability and build better community relations.

Eric Pickles said:

> ""We should all feel proud of the immense contribution the Gurkhas have made to the British Army and the tremendous sacrifices they have made for our country. We should also be proud of the good relations fostered between the ex-Gurkhas their families and local communities.
>
> ""We recognise the continued pressures faced by Rushmoor Borough Council but in giving financial and practical support to other authorities this will help ensure that there are positive choices available to new Gurkha migrants to settle and make an active and positive contribution to life in their new communities.""

Peter Carroll founder of The Gurkha Justice Campaign said:

> ""The fact that this money has been found at this difficult time is testament to the commitment of the Government to do all it can to help these fine former warriors and their families to settle in Britain. The effort to make sure this money is spent wisely is a tremendous example of Government departments working together with charities and other agencies to make a positive difference.""

William Shuttlewood OBE, Director of The Gurkha Welfare Trust said:

> ""The Gurkha Welfare Trust, the lead Gurkha Charity, welcomes this initiative by the Department for Communities and Local Government. It will provide some much-needed help for local councils and other agencies responsible for providing welfare and other support to ex-Gurkhas seeking settlement in their local communities. The Trust looks forward to continuing to work in partnership with local councils and other agencies not only by providing welfare and other support but also by helping to promote integration within local communities.""

### Notes to Editors

1. Parliament has decided that retired Gurkhas who served between 1948 and 1997 would be able to apply to settle in the UK with their families.

2. The funding of £1.5million fund over two years has been agreed between Communities and Local Government, Ministry of Defence and the Home Office. Each department will contribute £500,000. This was announced on 15 November 2011. Today's allocation awards Rushmoore Borough Council, Kent County Council and The Royal Borough of Greenwich £200,000 each and Nuneaton and Bedworth Borough Council in Warwickshire £50,000. Each of these authorities will act as lead authorities for their counties, neighbouring counties, and councils. Rushmoor Borough Council will be the lead authority for North Hampshire, Berkshire, Surrey and Swindon. The Royal Borough of Greenwich will be the lead authority for London. Kent County Council will be the lead authority for Kent and Nuneaton and Bedworth Borough Council will be the lead authority for the Midlands and South Yorkshire.

3. Rushmoor Borough Council has also been awarded £200,000 to establish a special interest group on Gurkha settlement to help these authorities improve their veteran services support and develop a partnership with Citizens Advice. A further £150,000 will be made available for English language support for Gurkhas and their families to help improve their employability and build better community relations.

4. Rushmoor Borough Council have estimated between 6,000 and 12,000 people of Nepalese origin live in the area; the official population of the council area is just over 90,000. This group has an unusual demographic, with large proportions of older people and children. This has increased pressure on social, health and education services (over seven per cent of school children have Nepali as their first language).",19-Jun-2012,,,,,,,,,,,,,,,,,,,,,,,,
375,http://www.communities.gov.uk/news/corporate/2164756,Grant Shapps backs Bill to criminalise tenancy fraud,improving-the-rented-housing-sector,,,department-for-communities-and-local-government,grant-shapps,,"Tenancy cheats to ""feel the full force of the law""

Tenancy cheats who deny social homes to families in need will ""feel the full force of the law"" under new plans published today, Housing Minister Grant Shapps said.

The Minister said the Government would back a new Bill, introduced in Parliament today by Conservative MP for Watford Richard Harrington, which would make the subletting of social homes a criminal offence.

### Creating an effective deterrent

Estimates suggest that between 50,000 and 160,000 social homes are unlawfully occupied across the country.

Tenancy cheats can earn thousands of pounds a year renting their social homes out to private tenants, while thousands of families are languishing on social housing waiting lists.

However, if caught these cheats face little more than losing their tenancy.

Mr Harrington's Bill would:

  * create a new criminal offence of subletting; and
  * allow for proceeds of subletting to be reimbursed to the social landlord in whose stock the fraud was committed

Housing Minister Grant Shapps said:

> ""Tenancy cheats profit from renting out homes that were built to help those in greatest need. Due to their actions, thousands of families who could benefit from this vital support system are instead languishing on housing waiting lists.
>
> ""I am delighted that Richard Harrington's Bill will make this fraud a criminal offence so that the perpetrators don't just lose their tenancy but feel the full force of the law. And by introducing this effective deterrent against subletting, we can free up thousands of homes for those who genuinely need them.
>
> ""I look forward to working with Mr Harrington to give this Bill the best possible chance of being passed into law.""

Conservative MP for Watford Richard Harrington said:

> ""It has been a concern of mine for some time that whilst hundreds of people in my constituency are unable to access social housing and may sit on the waiting list for many years, a large number of properties are being sublet improperly - allowing those individuals who do so to profit at the expense of local authorities and preventing hardworking and the most vulnerable individuals and families from accessing homes.
>
> ""I welcome that this and previous Governments have introduced measures to try and tackle this problem. I think it is right that once and for all this offence is criminalised, giving local authorities greater powers to prevent and prosecute.
>
> ""I am pleased that this Bill has attracted support from MPs of all parties and that the Government are also lending their support to making this Bill law.""",20-Jun-2012,,,,,,,,,,,,,,,,,,,,,,,,
373,http://www.communities.gov.uk/news/corporate/2165117,Stalled building sites to get helping hand,increasing-the-number-of-available-homes,,,department-for-communities-and-local-government,grant-shapps,,"Small, family-run housebuilders could receive a multi-million pound boost to do their bit to Get Britain Building, Housing Minister Grant Shapps announced today.

More than £100 million is available to get spades in the ground and stalled developments back on track. This will potentially deliver up to 2,000 new homes.

The Get Britain Building fund has already provided a boost to developments in places including Ashford and Bath, where work has now restarted on 181 new homes.

The Minister said he was opening up remaining money in the £570 million Get Britain Building fund so this loan lifeline is also available to smaller builders after other developers later found they could build without the fund.

### Smaller builders getting bigger chance

Previously, builders bidding for cash had to have plans for at least 25 homes on their sites. Now, to help smaller firms bid for funding the Minister has lowered the bar to 15 homes. This will open the door to additional developers who previously could not access this financial support. Larger developers can still bid.

Mr Shapps said he was determined that every taxpayers' pound works as hard as possible and that as many homes as possible are built. That's why the fund provides commercial loans directly to building firms that have shovel-ready sites, with planning permission in place, and that fit with local priorities.

Grant Shapps said:

> ""By spreading the net wider and boosting the number of eligible sites we can offer more help to builders both large and small.
>
> ""We saw huge appetite last time for this funding but some developers later found they could build without the fund. We need to be sure every single pound of taxpayers' money works as hard as it can so we can get as many homes as possible out of Get Britain Building. That is why I'm inviting further bids.
>
> ""We've already started seeing the benefits this is bringing to the industry and the economy as a whole. I now want to see as many firms as possible grabbing this opportunity to get the diggers back on site.""

Increasing opportunities for smaller firms will not only help secure the livelihood of people across the building trade but also offer more opportunities to local trades, from carpenters and plumbers through to people who keep their local housing market moving.

The Get Britain Building fund is one of a number of measures aimed at tackling the housing shortage, boosting the economy, creating jobs and giving people an opportunity to get on the housing ladder. In addition:

  * The Government and the sector is investing £19 billion in its affordable homes programme.
  * FirstBuy, a shared ownership scheme, is expected to help nearly 10,000 buyers onto the housing ladder. NewBuy, a scheme that helps people secure a mortgage with a five per cent deposit is expected to help up to 100,000 households.
  * The £770 million Growing Places Fund is providing local areas with flexible funding to get the infrastructure built to build new homes.

The £570 million Get Britain Building fund was announced at the end of last year and was initially over-subscribed three times. All projects are assessed on a level playing field, regardless of the size of the firm.

The fund is administered by the Homes and Communities Agency, the body responsible for assessing applications.

The agency's chief executive, Pat Ritchie, said:

> ""I'm pleased that we are able to extend the reach of the Get Britain Building programme, giving many more developers who have struggled to secure finance the opportunity to apply for the investment they need to get their stalled projects back on track.
>
> ""As with the original submissions, the HCA will continue to be thorough in our due diligence, and will only support those schemes backed by the community, which boost the local economy and provide a secure and value for money investment for the taxpayer.""

### Notes to editors

1. The Get Britain Building investment fund was launched in the Government's Housing Strategy on 21 November 2011. The original prospectus was launched on 22 December 2011.

2. Further details of today's round of funding and a prospectus can be found at: [www.homesandcommunities.co.uk/get-britain-building](http://www.homesandcommunities.co.uk/get-britain-building) (external link).

3. The deadline for applications is 12pm, 25 July 2012.

4. The Get Britain Building fund provides Government investment in developments that revive building and get the markets moving. This investment takes the form of loans or equity investments.

5. The scheme is run by the Homes and Communities Agency, England's national housing and regeneration agency. In London, the Homes and Communities Agency will be operating under delegation from the Greater London Authority.

6. Short-listed projects will complete due diligence to ensure maximum value for money for the taxpayer.",21-Jun-2012,,,,,,,,,,,,,,,,,,,,,,,,
370,http://www.communities.gov.uk/newsstories/corporate/2166545,Eric Pickles launches National Market Day,improving-high-streets-and-town-centres,,,department-for-communities-and-local-government,eric-pickles,,"Apprentice star gives top tips to over a thousand new traders

Communities Secretary Eric Pickles is today calling on local people to show their support for high street shopping by visiting one of a host of local markets open across the country on National Market Day (23 June).

Today marks the start of a two week 'Love Your Local Market' extravaganza. Over 300 local markets will be offering special deals and events to attract new shoppers and encourage budding entrepreneurs to start up new businesses by trying out this low-cost way to get into retail.

Over a thousand new start-ups pitches are already booked. Low-cost pitches and 'tables for a tenner' deals mean many more people can set up a stall on the day. Some places will also have expert advice on hand from experienced 'market mentors' offering helpful advice to new traders.

Mr Pickles and Apprentice star, Adam Corbally launched the fortnight at Spitalfields market in London where they met young entrepreneurs from local schools trying their hand at running a market stall and selling their craft goods.

![embed: ](https://www.youtube-nocookie.com/v/w5MWFuTtmAQ?version=3&hl=en_GB&rel=0)

  * [Love Your Local Market - Transcript](http://www.communities.gov.uk/documents/newsroom/word/2166522.doc)

MS Word, 25 kb

![Eric Pickles with Adam Corbally](http://www.communities.gov.uk/images/newsroom/2166612.jpg)

Adam Corbally, formally a market-trader and now a successful businessman, has given his top ten tips for running a market stall. Tips include: get there early; set up near a cafe or toilet for more footfall; get your prices right; and remember smiles and tales make sales. They are part of a new guide to _Getting Started_ as a market trader.

Mr Pickles has urged every council to get behind this ""exciting opportunity"" to support the high street and local economy. The Government has committed over eighty million pounds to give young entrepreneurs start-up loans, personal training and expert support to develop a business plan. This could to create over 30,000 new businesses.

Eric Pickles said:

> ""The hustle and bustle of a busy market has long been a great British tradition. Brimming with energetic traders and great deals, local markets should be a vibrant part of every town's shopping experience.
>
> ""Love Your Local Market is going to be a really exciting fortnight for towns and villages across the country - it's a great way to put local economic life back into the high street. Over a thousand new entrepreneurs are taking advantage of the special rates on offer to try out their business ideas.""

Adam Corbally said:

> ""I am really passionate about markets and proud to support this fantastic Love Your Local Market fortnight.
>
> ""My top tips come from the heart and are based on 14 years of trading. They're a straight forward and simple way to do it right - the kind of advice I wish I'd been given when I started out.
>
> ""I hope as many people as possible get stuck in and have a go at running a stall - if I can make it a career so can you - either way, head down to your local market and see what's on offer.""

Minister for Markets Andrew Stunell said:

> ""From Stockport to St. Ives market traders across the country will be showcasing all that is great about our local markets. Some of Britain's biggest household names started off on market stalls and Love Your Local Market could be the fortnight that kick starts a few more budding British businesses.""

First announced as part of the Government's response to Mary Portas' review of the High Street, the Love Your Local Markets fortnight is being run by the National Market Trader Federation and the Markets Alliance.

Read the full [press notice](http://www.communities.gov.uk/news/newsroom/2146931).

### Images

![http://www.communities.gov.uk/images/newsroom/2158071?view=Standard](http://www.communities.gov.uk/images/newsroom/2158071?view=Standard)

![embed: ](http://www.flickr.com/apps/slideshow/show.swf?v=109615)",23-Jun-2012,http://www.communities.gov.uk/images/newsroom/2166612.jpg,Eric Pickles with Adam Corbally,http://www.communities.gov.uk/images/newsroom/2158071?view=Standard,http://www.communities.gov.uk/images/newsroom/2158071?view=Standard,,,,,,,,,,,,,,,,,,,,
369,http://www.communities.gov.uk/newsstories/corporate/2166615,Builders back the NewBuy Guarantee,helping-people-to-buy-a-home,,,department-for-communities-and-local-government,grant-shapps,,"Study shows help for first-time buyers is making an impact

The builders behind half of all homes built in England are committed to offering the NewBuy Guarantee to help aspiring homeowners onto the property ladder, Housing Minister Grant Shapps said today.

It comes as a new study by lenders Halifax showed that Government help for first-time buyers is bringing down the cost of home ownership, ensuring the dream of buying a property is in reach for more and more people.

Mr Shapps revealed that nine of the 10 largest housebuilders in the country are now signed up to offer the NewBuy Guarantee - which offers aspiring homeowners to buy a new-build property with a fraction of the deposit they would normally require.

The NewBuy Guarantee is one of a number of Government-backed measures in place to support those looking to take their first step onto the property ladder. Others include:

  * The FirstBuy Scheme, which offers an alternative to the Bank of Mum and Dad for those struggling to get together the deposit they need. Over 10,000 first-time buyers are expected to be helped over the next two years; and
  * The HomeBuy schemes, which help first-time buyers to buy a 25 per cent share of a new property, paying rent on the remainder.

Today's Halifax Survey shows that the average price paid under affordable home ownership schemes is £161,839 - 12 per cent lower than the average house price in England.

Housing Minister Grant Shapps said:

> ""Today's research shows how the range of Government schemes available is bringing down the cost of home ownership and making that first rung of the property ladder easier to reach for more and more people.
>
> ""As well as the FirstBuy Scheme offering a valuable alternative to the Bank of Mum and Dad, the NewBuy Guarantee is proving increasingly popular, offering those who dream of owning their own home the chance to buy a newly-built property with just a fraction of the deposit normally required.
>
> ""And because both schemes are available on newly-built properties, they also offer a boost to our ongoing efforts to get Britain building, delivering the homes and jobs this country needs.""

### Images

![http://www.communities.gov.uk/images/newsroom/1845126?view=Standard](http://www.communities.gov.uk/images/newsroom/1845126?view=Standard)",23-Jun-2012,http://www.communities.gov.uk/images/newsroom/1845126?view=Standard,http://www.communities.gov.uk/images/newsroom/1845126?view=Standard,,,,,,,,,,,,,,,,,,,,,,
363,http://www.communities.gov.uk/news/corporate/2167035,Eric Pickles salutes armed forces with flag flying high,bringing-people-together-in-strong-united-communities,,,department-for-communities-and-local-government,eric-pickles,,"![The Armed Forces flag flying outside Eland House](http://www.communities.gov.uk/images/newsroom/2167200.jpg)Communities Secretary Eric Pickles raised the flag of Her Majesty's Armed Forces today outside the Department for Communities and Local Government in Whitehall, London, to mark Armed Forces day in recognition of the courage and dedication of members of the armed forces, past and present, to the nation.

Armed Forces Day on 30 June helps raise public awareness of the contribution made to our country by those who serve and have served in Her Majesty's Armed Forces. Mr Pickles is currently looking to relax planning rules on flags to make it easier for the public to fly local military flags to show support for the men and women who make up the community: from currently serving troops to Service families and from veterans to cadets.

At the ceremony of hoisting the Armed Forces flag, Eric Pickles said:

> ""Today, we pay tribute to the bravery of our Armed Forces both in present and historic conflicts.
>
> ""British forces put their lives on the line to defend British sovereign territory, the British way of life and the rights of British people to determine their own future. Flying their flag is our small way of recognising their endeavour.""

The City of Plymouth, with its historic and distinguished links with the military, has been chosen to host the Armed Forces Day national event in 2012. Celebrations on Saturday 30 June will be an opportunity to see the Armed Forces up close and pay tribute to our heroes past and present. Participants will include members of the Armed Forces, veterans, the Cadet Forces, the Merchant Navy, support agencies and charitable organisations.

### Notes to editors

1. The Department is currently assessing responses to a discussion paper on relaxing the planning regime on flag flying and allowing people to fly more flags without having to seek and pay for planning consent from their local authority.

2. More information on Armed Forces Day can be found here: [www.armedforcesday.org.uk](http://www.armedforcesday.org.uk/) (external link).",25-Jun-2012,http://www.communities.gov.uk/images/newsroom/2167200.jpg,The Armed Forces flag flying outside Eland House,,,,,,,,,,,,,,,,,,,,,,
364,http://www.communities.gov.uk/news/corporate/2167277,High street giant offers boost to Portas Pilots,improving-high-streets-and-town-centres,,,department-for-communities-and-local-government,grant-shapps,,"Leading retailer to offer support to first 12 Town Teams

A leading High Street business is joining forces with Local Government Minister Grant Shapps, and retail guru Mary Portas, to help champion the nation's high streets.

Alex Gourlay, Chief Executive, Boots UK, will offer vital advice and support to Mary Portas and the 12 'Portas Pilots', as they take forward their plans to bring their town centres back to life.

Mr Shapps said this kind of corporate backing would give the Town Teams in these areas access to ""knowledge and expertise built up over decades of experience"".

The British Independent Retailers Association will also work closely with Mary and the Portas Pilots to offer their expertise and support.

More retailers are expected to join forces with Grant Shapps and Mary Portas in the coming weeks and months.

This support will be offered not only to these first 12 winning Portas Pilots but also to the next 15 winning pilots due to be announced before the end of July.

This will be a shot in the arm to the campaign to revive high streets across the country, and comes as the 12 winning Town Teams met with the Minister and Mary Portas for the first time, to share their ideas and gain valuable feedback and advice.

This will be the first in a series of workshops taking place over the coming months, giving all pilots the opportunity to share their ideas and experiences, as well as gaining valuable advice.

Local Government Minister Grant Shapps said:

> ""Boots is a stalwart of our high streets, with knowledge and expertise that has been developed over decades of experience.
>
> ""Our 12 winning Portas Pilots will be able to tap into this valuable resource as they seek to support their local shops, but also explore other ways that their town centres can become the heart of their communities once again.
>
> ""I look forward to meeting the town teams and hearing first hand how they plan to use this and the other help at their disposal.""

Mary Portas said:

> ""I'm delighted that our efforts to revive the nation's high streets will be boosted by the knowledge and experience of these leading retailers.

Alex Gourlay, Chief Executive of the Health and Beauty Division of Alliance Boots said:

> ""There has never been a more important time for government and business to take an active interest in how local high streets are run and managed. These 12 towns will be delighted to hear the news that they have been selected.

""Mary Portas has brought a personal energy and drive to the programme which can only benefit the 12 pilot towns. Business in the Community has brought a number of us together to discuss how we can help Mary and her team and we'll continue to explore what practical means of support we can give.""

### Notes to Editors

1. The first 12 Portas Pilots were announced on 26 May 2012. They are:

  * Bedford, Bedfordshire
  * Croydon, Greater London
  * Dartford, Kent
  * Bedminster, Bristol
  * Liskeard, Cornwall
  * Margate, Kent
  * Market Rasen, Lincolnshire
  * Nelson, Lancashire
  * Newbiggin by the Sea, Northumberland
  * Stockport, Greater Manchester
  * Stockton on Tees, Teesside
  * Wolverhampton, West Midlands.

A total of 371 Towns applied to be Portas Pilots.  Further details can be found at: [www.communities.gov.uk/news/newsroom/2136594](http://www.communities.gov.uk/news/newsroom/2136594).

2. Business in the Community will work with Boots UK and other organisations to help support the first 12 Portas Pilots, as well as the next 15, due to be announced before the end of July.",25-Jun-2012,,,,,,,,,,,,,,,,,,,,,,,,
358,http://www.communities.gov.uk/news/corporate/2168406,Community Right to Challenge comes into force,giving-people-more-power-over-what-happens-in-their-neighbourhood,,,department-for-communities-and-local-government,andrew-stunell,greg-clark,"From today more communities will be able to bid to take over local services they think they can run differently and better as the Community Right to Challenge provisions come into effect.

The Community Right to Challenge hands more power back to communities, allowing voluntary and community groups, parish councils and local authority staff to express an interest in taking over the running of local authority services, making services more responsive to local needs and delivering better value for money.

Also from today a range of specialist support is being put in place to help community groups wanting to take greater control of their community through every stage of the process - from setting up a group and developing a proposal right through to the delivering services on the ground.

The Social Investment Business, in partnership with Locality and the Association of Chief Executives of Voluntary Organisations will deliver a three year support programme worth £11.5million. The programme will include a dedicated advice phone line where support and information will be available. It will also include grants to help groups to use the new right and bid to run local public services, resources, and case studies.

Some examples of community groups already providing excellent local services include:

> **Bulky Bob's** - a social enterprise that has contracts with Liverpool City Council and others to collect, reuse and recycle bulky household waste. 70 per cent of the furniture and white goods collected are recycled or reused, helping over 34,000 low-income families gain access to affordable, 'pre-loved' furniture and a huge saving for councils in landfill tax.
>
> **Shiney Advice and Resource Project (ShARP)** - is an independent welfare rights advice centre based in Sunderland. Run as a charity it provides basic advice on debt, welfare benefits, housing and employment. Many of ShARP's users are vulnerable adults or people in stressful situations. Sunderland City Council has recently renewed its contract with ShARP to provide key advice to the Shiney Row, Houghton and Hetton wards of Sunderland.

Communities Minister Andrew Stunell said:

> ""The Community Right to Challenge gives communities another opportunity to be the driving force in the future of their local services. As the people who know their communities best and use and rely upon local services it makes sense, that where they feel they can run services better, they should be encouraged and supported to step in and do exactly that.
>
> ""Already we have seen some excellent achievements from local people taking the reins, and with these revolutionary rights now in place we can look forward to more communities getting involved in making their local areas better places to live.""

Decentralisation Minister Greg Clark said:

> ""The Community Right to Challenge paves the way for communities to play a bigger part in shaping excellent local services around their needs.
>
> ""Councils do not have to have a monopoly over the best ideas and the most creative are already welcoming innovative ideas from communities about how services can be reformed and improved to better meet local need.
>
> ""This marks the next step in returning power back to citizens, communities and local groups to manage their own affairs free from Whitehall interference.""

Jonathan Jenkins, Chief Executive, Social Investment Business said:

> ""The Right to Challenge presents a fantastic new opportunity for social ventures to grow through increased revenue, and therefore build their capacity to secure further investment - all with the goal of being able to reach more beneficiaries.""

Steve Wyler, Chief Executive, Locality said:

> ""We are delighted that the Community Right to Challenge is coming into force, having pushed hard to make the Localism Act a reality. The Community Right to Challenge will give communities the impetus to suggest and put in place new ways of delivering services - meeting the needs of residents, employing local people and creating resilient community enterprises. Locality supports local people to run local services as the best way to deliver economic and social change.""

Mohamed Aslam MBE, BEM, Director, Himmat Limited a community-led organisation based in Halifax said:

> ""At Himmat, we have expanded from our original base of Halifax to deliver services elsewhere in West Yorkshire. As a community-led organisation, we have been successful in being awarded contracts to run services such as with the local Youth Offending Team. It hasn't been straightforward establishing ourselves - we're lucky to have strong relationships with our local authority. The new Community Right to Challenge will make it easier for community organisations to suggest new ways of running council services. The 95 per cent attendance record at our Youth Offending Team programme is evidence that community organisations deliver results.""

### Notes to editors

1. The Community Right to Challenge was introduced by the Localism Act 2011 which was enacted on 15 November 2011. Regulations were laid in Parliament on 30 April and 17 May 2012. _A plain English guide to the Localism Act_ is available at: [www.communities.gov.uk/publications/localgovernment/localismplainenglishupdate](http://www.communities.gov.uk/publications/localgovernment/localismplainenglishupdate).

2. Under the Community Right to Challenge, relevant authorities (county, district and London Borough councils and fire and rescue authorities) must consider expressions of interest and, where they accept an expression of interest, carry out a procurement exercise for the service.

3. A Community Rights website has been launched to give people more information about the new powers and opportunities available to them. The website will continue to grow and expand as more of the Rights come into force. The site can be viewed here: [www.communityrights.communities.gov.uk](http://www.communityrights.communities.gov.uk).

4. Practical help and guidance for those wishing to use the Community Right to Challenge is also available on the My Community Rights website. The site can be viewed here: [http://mycommunityrights.org.uk/community-right-to-challenge/](http://mycommunityrights.org.uk/community-right-to-challenge/).

5. The dedicated advice phone line for support on Community Right to Challenge can be reached on 0845 345 4564.

6. The Social Investment Business has been awarded a contract to deliver a Community Right to Challenge support programme. The programme will be provided in partnership with Locality and the Association of Chief Executives of Voluntary Organisations and supported by a wider partnership of Social Enterprise UK, National Association of Local Councils, Urban Forum, National Council for Voluntary Organisations, ACRE and Community Ventures and Pulse Regeneration.

7. Locality is also providing support for those using the Community Right to Build.

8. More details of the grants element of the Community Right to Challenge support programme will be announced soon.",27-Jun-2012,,,,,,,,,,,,,,,,,,,,,,,,
