old_url,organisation,title,policy_1,policy_2,policy_3,policy_4,publication_type,body,price,ignore date,publication_date,ignore type,ISBN,attachment_0_url,attachment_0_title,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title
http://www.communities.gov.uk/publications/housing/designinggypsysites,department-for-communities-and-local-government,Designing Gypsy and traveller sites: good practice guide,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"This document sets out good practice in respect of the design of Gypsy and Traveller sites. It is intended to provide potential developers and existing site owners with an understanding of the design features needed to help ensure a site is successful, easy to manage and maintain, including site location, layout, size and the services and facilities need to make it operate effectively.",Free,15 May 2008,15-May-2008,Good practice and guidance,978851129591,http://www.communities.gov.uk/publications/housing/designinggypsysites?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/designinggypsysites.pdf,Designing Gypsy and Traveller Sites: Good Practice Guide,http://www.communities.gov.uk/documents/housing/doc/designinggypsysites.doc,Designing Gypsy and Traveller Sites: Good Practice Guide,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/disabledfacilitiesgrant,department-for-communities-and-local-government,Disabled facilities grant,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"If you or someone living in your property is disabled you may qualify for a disabled facilities grant towards the cost of providing adaptations and facilities to enable the disabled person to continue to live there. Such grants are given by local councils under Part I of the Housing Grants, Construction and Regeneration Act 1996.

This booklet briefly describes the help available and how to go about applying for a grant.",Free,31 March 2007,31-Mar-2007,Manuals leaflets and booklets,9781409810469,http://www.communities.gov.uk/publications/housing/disabledfacilitiesgrant?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/138592.pdf,Disabled facilities grants,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/emptydwellingmanagement,department-for-communities-and-local-government,Empty Dwelling Management Orders: guidance for residential property owners,improving-the-rented-housing-sector,,,,guidance,"The Housing Act 2004 provides a new discretionary power for local authorities to take over the management of long-term privately owned empty homes.

The leaflet provides information to owners of empty properties to help them decide if their property is subject to an EDMO and it explains how EDMOs will be managed by the local authority and the owner's right to appeal.",Free,23 October 2006,23-Oct-2006,"Manuals leaflets and booklets, Good practice and guidance",,http://www.communities.gov.uk/documents/housing/pdf/152870.pdf,Empty Dwelling Management Orders: Guidance for residential property owners,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/fairaffordable,department-for-communities-and-local-government,Fair and affordable council rents,improving-the-rented-housing-sector,,,,guidance,"This leaflet explains how the Government wants to change the way councils set their rents.

You  can get a separate leaflet about housing association rents from the _National Housing Association Publications Unit_ at 175 Grays Inn Road, London, WC1X 8VP. Please check with the Unit for the price of that leaflet. ",Free,24 July 2002,24-Jul-2002,Manuals leaflets and booklets,,http://www.communities.gov.uk/documents/housing/pdf/138343.pdf,Fair and affordable council rents,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/residentialservicecharges,department-for-communities-and-local-government,Financial Services Compensation Scheme (FSCS): Treatment of service charges for residential property,improving-the-rented-housing-sector,,,,guidance,"This guidance is for leaseholders and tenants paying service charges but will also be of interest to landlords, managing agents, resident management companies and others charged with the collection of service charge monies.

The guidance has been agreed with the co-operation of the Financial Services Compensation Scheme (FSCS) and sets out our understanding of how service charges would be treated in the event of a collapse of a regulated financial institution. It does not however constitute financial or legal advice, is without commitment and is not binding on either the part of the Financial Services Compensation Scheme (FSCS) or Communities and Local Government.",Free,17 April 2009,17-Apr-2009,Good practice and guidance,978 1 4098 1316 3,http://www.communities.gov.uk/documents/housing/pdf/1204271.pdf,Financial Services Compensation Scheme (FSCS): Treatment of service charges for residential property,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/frameworkplanning,department-for-communities-and-local-government,Framework for planning and commissioning of services related to health needs of homeless people,providing-housing-support-for-older-and-vulnerable-people,,,,policy-papers,"This publication provides a framework to involve local housing authorities, Directors of Adult Services, Children's Services and Social Services, Primary Care Trusts and Strategic Health Authorities, Directors of Public Health, acute, mental health and community trusts, Supporting People teams, drug and alcohol teams, prison health services and the voluntary sector in joint planning to improve access of homeless people to local health services and to promote joint commissioning of these services where appropriate.",Free,23 January 2007,23-Jan-2007,"Legislation and policy, Good practice and guidance",,http://www.communities.gov.uk/documents/housing/pdf/154241.pdf,Framework for planning and commissioning of services related to health needs of people who are homeless,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/guidancenote,department-for-communities-and-local-government,Guidance note on Empty Dwelling Management Orders,increasing-the-number-of-available-homes,,,,guidance,"The Government is committed to finding solutions to the problems posed by empty homes. As well as restricting housing supply, empty homes represent waste and missed opportunity. They blight communities, attract vandals and squatters and tie up the resources of LHAs and the emergency services. A dwelling that is left unoccupied and not maintained will, over time, begin to impact on its surroundings and is at risk from being broken into by vandals and squatters. Neighbouring properties can be affected by the physical decline of a poorly maintained property. The only effective way to reduce the negative impact of an empty dwelling is to secure its occupation. It is therefore of public interest that empty homes are brought back into use.

This guidance note is intended to assist local housing authorities (""LHAs"") in understanding the powers contained in the _Housing Act 2004_ (""the Act"") relating to Empty Dwelling Management Orders (""EDMOs""). It is not intended to be an authoritative interpretation of the legislation and readers must not rely on it as an authoritative source. Where there are any doubts about the interpretation of the legislation readers are strongly advised to seek their own independent legal advice.

This guidance note is intended to apply to England.",Free,10 July 2006,10-Jul-2006,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/151111.pdf,Guidance Note on Empty Dwelling Management Orders,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/familyinterventionguide,department-for-communities-and-local-government,Guidance on the use of Family Intervention Tenancies,improving-the-rented-housing-sector,,,,guidance,"This guidance is aimed at social landlords and their use of Family Intervention Tenancies. These tenancies were introduced in the Housing and Regeneration Act 2008 (""the 2008 Act"") and became available for use on 1 January 2009.

This guidance outlines what considerations social landlords, Family Intervention Projects and other agencies involved in delivering support to households who have been involved in anti-social behaviour should make when considering the use of Family Intervention Tenancies.",Free,19 January 2009,19-Jan-2009,"Good practice and guidance, Reports and summaries",9781409810322,http://www.communities.gov.uk/documents/housing/pdf/familyinterventiontenancies.pdf,Guidance on the use of Family Intervention Tenancies,http://www.communities.gov.uk/documents/housing/doc/familyinterventiontenancies.doc,Guidance on the use of Family Intervention Tenancies,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/guidesocial,department-for-communities-and-local-government,Guide to social rent reforms,improving-the-rented-housing-sector,,,,guidance,"In December 2000 the Department published a policy statement, _Quality and Choice: A Decent Home for All - The Way Forward for Housing_, which proposed that rent setting in the social housing sector should be brought onto a common system based upon relative property values and local earnings levels. This guide sets out the details underpinning the policy statement and provides background information on the implications of the proposals for tenants and landlords.",Free,1 March 2001,01-Mar-2001,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/139187.pdf,Guide to social rent reforms,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/guideeffective,department-for-communities-and-local-government,Guide to effective use of enforcement powers - Part 1: unauthorised encampments,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"This document is intended for elected officals and others in the community who have an interest in how unauthorised camping by Gypsies and Travellers is managed in their area. It provides information  to local authority officers and landlowners on options for dealing with incidents of unauthorised camping.

This guidance was produced to meet the Government's objective to ensure that the settled community and Gypsies and Travellers live together peacefully. ",Free,2 February 2006,02-Feb-2006,Good practice and guidance,,http://www.communities.gov.uk/documents/housing/pdf/143582.pdf,Guide to effective use of enforcement powers - Part 1: Unauthorised encampments,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/accommodationassessments,department-for-communities-and-local-government,Gypsy and traveller accommodation needs assessments: guidance,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"This guidance aims to provide advice on carrying out an assessment of the accommodation needs of Gypsies and Travellers. It is not exhaustive or prescriptive. While it is recommended that the basic principles outlined here should be followed, the exact approach will need to be adapted to local circumstances.

This guidance sets out:

  * why the Accommodation Needs Assessment has to be done

  * what it should produce

  * whom it should survey

  * key differences between the Gypsy and Traveller community and others, and the practical implications of these differences

  * how 'accommodation need' for Gypsies and Travellers differs from that for the settled community

  * timescales for carrying out and updating the assessment",Free,4 October 2007,04-Oct-2007,"Reports and summaries, Good practice and guidance",,http://www.communities.gov.uk/publications/housing/accommodationassessments?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/accommneedsassessments.pdf,Gypsy and Traveller Accommodation Needs Assessments: Guidance,http://www.communities.gov.uk/documents/housing/doc/accom-needs-assessments.doc,Gypsy and Traveller Accommodation Needs Assessments: Guidance,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/hhsrsoperatingguidance,department-for-communities-and-local-government,HHSRS Operating Guidance  - Housing Act 2004: Guidance about inspections and assessment of hazards given under Section 9,improving-the-rented-housing-sector,,,,guidance,"The Housing Health and Safety Rating System (HHSRS) is a risk based evaluation tool to help local authorities identify and protect against potential risks and hazards to health and safety from any deficiencies identified in dwellings. It was introduced under the Housing Act 2004 and came into effect on 6 April 2006.   It applies to residential properties in England.

The HHSRS assesses 29 categories of housing hazard, each hazard has a weighting which will help determine whether the property is rated as having Category 1 (serious) or Category 2 (other) .

An electronic 'hazard survey' programme for use with hand-held computers is associated with the Operating Guidance and is available in the form of a CD-Rom.  A copy of the disc will be sent with the guidance and are not available separately.",£50.00 (free to download below),27 February 2006,27-Feb-2006,Good practice and guidance,139781851128464 and 101851128468,http://www.communities.gov.uk/documents/housing/pdf/142631.pdf,HHSRS Operating Guidance - Housing Act 2004: Guidance about inspections and assessment of hazards given under Section 9,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/homelessnesscode,department-for-communities-and-local-government,Homelessness code of guidance for local authorities: July 2006,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"The Code provides statutory guidance on local authority housing and social services statutory functions in respect of people who are homeless or at risk of homelessness. The Code is issued by the Secretaries of State under section 182 of the Housing Act 1996, and local authorities must have regard to the Code, by law.",£18.00 (free to download below),24 July 2006,24-Jul-2006,Good practice and guidance,978-1-85112-860-0,http://www.communities.gov.uk/publications/housing/homelessnesscode?view=Order+form&supplierId=1403826,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/152056.pdf,Homelessness Code of Guidance for Local Authorities (2006),,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/intentionalhomelessnessguide,department-for-communities-and-local-government,Homelessness code of guidance for local authorities: supplementary guidance on intentional homelessness,providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"In response to the current economic climate, and the robust framework of financial support the Government has put in place to help homeowners in financial difficulty, this note provides guidance on how local housing authorities should exercise their homelessness functions, and apply the various statutory criteria, when considering whether applicants who are homeless having lost  their home because of difficulties in meeting mortgage commitments are intentionally or unintentionally homeless.

This guidance is issued by the Secretary of State under s.182 of the Housing Act 1996 (""the 1996 Act""). Under s.182(1) of the 1996 Act, housing authorities are required to have regard to this guidance in exercising their functions under Part 7 of the 1996 Act.

This statutory guidance supplements Chapter 11 of the Homelessness Code of Guidance for Local Authorities issued in July 2006 (""the 2006 Code""), and should be read in conjunction with that chapter.",Free,5 August 2009,05-Aug-2009,"Good practice and guidance, Legislation and policy",9781409817499,http://www.communities.gov.uk/publications/housing/intentionalhomelessnessguide?view=Order+form&supplierId=1403822,Order this publication,http://www.communities.gov.uk/documents/housing/pdf/1304826,Homelessness Code of Guidance for Local Authorities: Supplementary Guidance on Intentional Homelessness,http://www.communities.gov.uk/documents/housing/doc/1310043.doc,Homelessness Code of Guidance for Local Authorities: Supplementary Guidance on Intentional Homelessness,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/homelessnesscommencement,department-for-communities-and-local-government,"Homelessness legislation: Commencement of Section 314 of, and Schedule 15 to, the Housing and Regeneration Act 2008",providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"This letter informs local housing authorities in England that the Government intends to commence section 314 of, and Schedule 15 to, the Housing and Regeneration Act 2008 on 2 March 2009. This will remedy the incompatibility with the European Convention on Human Rights of section 185(4) of the Housing Act 1996, (a provision of the homelessness legislation).",Free,5 March 2009,05-Mar-2009,"Circular and official letters, Legislation and policy",,http://www.communities.gov.uk/documents/housing/pdf/1155611.pdf,"Homelessness Legislation: Commencement of Section 314 of, and Schedule 15 to, the Housing and Regeneration Act 2008",,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/homelessnessinformationsheetdent,department-for-communities-and-local-government,Homelessness and health information sheet: dental services (HIS number 3),providing-housing-support-for-older-and-vulnerable-people,,,,guidance,Homeless people can face major barriers in accessing dental services - while their life circumstances can often mean they are among those most in need of treatment. This information sheet provides information on how local authorities and health services can work together to provide accessible and appropriate dental services for homeless people.,Free,18 January 2006,18-Jan-2006,Reports and summaries,,http://www.communities.gov.uk/documents/housing/pdf/137860.pdf,Homelessness and Health Information Sheet: Number 3 - Dental Services,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/housing/homelessnessinformation,department-for-communities-and-local-government,Homelessness and health information sheet: health visiting services (HIS number 2),providing-housing-support-for-older-and-vulnerable-people,,,,guidance,"Homeless people can face great inequalities in accessing health services, yet their health can often suffer from being homeless or living in poor quality temporary accommodation. This information sheet gives information on health visiting services and provides examples of good practice.",Free,18 January 2006,18-Jan-2006,Reports and summaries,,http://www.communities.gov.uk/documents/housing/pdf/137863.pdf,Homelessness and Health Information Sheet: Number 2 - Health Visiting Services,,,,,,,,,,,,,,,,
