Link,OffDocTopic,GOVUK Topic
http://www.official-documents.gov.uk/document/cm58/5860/5860.asp ,Child care,Children and young people
http://www.official-documents.gov.uk/document/cm58/5860/5860.asp ,Child protection,Children and young people
http://www.official-documents.gov.uk/document/cm58/5860/5860.asp ,Children,Children and young people
http://www.official-documents.gov.uk/document/cm58/5860/5860.asp ,Family support,Children and young people
http://www.official-documents.gov.uk/document/cm58/5860/5860.asp ,Prime Minister,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm58/5860/5860.asp ,Young people,Children and young people
http://www.official-documents.gov.uk/document/cm58/5860/5860.asp ,Young people,Children and young people
http://www.official-documents.gov.uk/document/cm58/5870/5870.asp ,"Employment, jobs and careers",Employment
http://www.official-documents.gov.uk/document/cm58/5870/5870.asp ,Accidents at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm58/5870/5870.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/cm58/5870/5870.asp ,Cooperatives,Community and society
http://www.official-documents.gov.uk/document/cm58/5870/5870.asp ,Health and safety at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm58/5870/5870.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm58/5870/5870.asp ,Safety,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm58/5878/5878.asp ,Gambling and lotteries,Arts and culture
http://www.official-documents.gov.uk/document/cm58/5878/5878.asp ,Gambling and lottery licences,Arts and culture
http://www.official-documents.gov.uk/document/cm58/5878/5878.asp ,Incapacity,Welfare
http://www.official-documents.gov.uk/document/cm58/5878/5878.asp ,Leisure and culture,Sports and leisure
http://www.official-documents.gov.uk/document/cm59/5943/5943.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm59/5947/5947.asp ,Fire,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm59/5959/5959.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/cm59/5959/5959.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/cm59/5959/5959.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/cm59/5959/5959.asp ,Health promotion,National Health Service
http://www.official-documents.gov.uk/document/cm59/5959/5959.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm59/5959/5959.asp ,Sexual orientation,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm59/5972/5972.asp ,International organisations,International aid and development
http://www.official-documents.gov.uk/document/cm59/5972/5972.asp ,Ministers,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm59/5972/5972.asp ,Prime Minister,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm59/5972/5972.asp ,Social and support groups,Community and society
http://www.official-documents.gov.uk/document/cm59/5972/5972.asp ,United Nations,Foreign affairs
http://www.official-documents.gov.uk/document/cm59/5999/5999.asp ,Armed forces,Defence and armed forces
http://www.official-documents.gov.uk/document/cm59/5999/5999.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm60/6003/6003.asp ,Building and construction,Planning and building
http://www.official-documents.gov.uk/document/cm60/6003/6003.asp ,Capital gains tax,Tax and revenue
http://www.official-documents.gov.uk/document/cm60/6003/6003.asp ,Citizenship,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm60/6003/6003.asp ,Tax,Tax and revenue
http://www.official-documents.gov.uk/document/cm60/6004/6004.asp ,Children,Children and young people
http://www.official-documents.gov.uk/document/cm60/6004/6004.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm60/6004/6004.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/cm60/6004/6004.asp ,Families,Children and young people
http://www.official-documents.gov.uk/document/cm60/6004/6004.asp ,Family support,Children and young people
http://www.official-documents.gov.uk/document/cm60/6004/6004.asp ,Probation,Law and the justice system
http://www.official-documents.gov.uk/document/cm60/6014/6014_i.asp ,Bingo,Arts and culture
http://www.official-documents.gov.uk/document/cm60/6014/6014_i.asp ,Employment terms and conditions,Employment
http://www.official-documents.gov.uk/document/cm60/6014/6014_i.asp ,Gambling and lotteries,Arts and culture
http://www.official-documents.gov.uk/document/cm60/6014/6014_i.asp ,Gambling and lottery licences,Arts and culture
http://www.official-documents.gov.uk/document/cm60/6014/6014_i.asp ,Games,Arts and culture
http://www.official-documents.gov.uk/document/cm60/6014/6014_i.asp ,Hobbies and interests,Arts and culture
http://www.official-documents.gov.uk/document/cm60/6014/6014_i.asp ,Legal proceedings,Law and the justice system
http://www.official-documents.gov.uk/document/cm60/6014/6014_i.asp ,Leisure and culture,Sports and leisure
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Air transport,Transport
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Airports,Transport
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Business sectors,Business and enterprise
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Distribution and service industries,Business and enterprise
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Land and premises,Planning and building
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Local transport plans,Local government
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Planning (town and country),Planning and building
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Transport and infrastructure,Transport
http://www.official-documents.gov.uk/document/cm60/6046/6046.asp ,Transport planning,Transport
http://www.official-documents.gov.uk/document/cm60/6062/6062.asp ,Commonwealth,Foreign affairs
http://www.official-documents.gov.uk/document/cm60/6079/6079.asp ,Child protection,Children and young people
http://www.official-documents.gov.uk/document/cm60/6079/6079.asp ,Children,Children and young people
http://www.official-documents.gov.uk/document/cm60/6079/6079.asp ,Entertainment and events,Arts and culture
http://www.official-documents.gov.uk/document/cm60/6079/6079.asp ,What's on,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm61/6118/6118.asp ,Intelligence (information),National security
http://www.official-documents.gov.uk/document/cm61/6140/6140.asp ,"Health, well-being and care",National Health Service
http://www.official-documents.gov.uk/document/cm61/6140/6140.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/cm61/6140/6140.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/cm61/6140/6140.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm61/6140/6140.asp ,Life in the community,Social care
http://www.official-documents.gov.uk/document/cm61/6140/6140.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,"Health, well-being and care",National Health Service
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Care assessment,Social care
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Care plans,Social care
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Care,Social care
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Day care,Children and young people
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Health and social care professionals,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Health promotion,National Health Service
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Medical and psychiatric treatment,National Health Service
http://www.official-documents.gov.uk/document/cm63/6305/6305.asp ,Mental health,Public health
http://www.official-documents.gov.uk/document/cm64/6407/6407.asp ,Public administration,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6407/6407.asp ,Public bodies,Government spending
http://www.official-documents.gov.uk/document/cm64/6407/6407.asp ,Staff conduct,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6407/6407.asp ,Standards in public life,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Archives,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Central government,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Culture and creativity,Arts and culture
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Data,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Government departments,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Heritage,Arts and culture
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Prime Minister,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6489/6489.asp ,Records management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Addiction,National Health Service
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Care for disabled people,Social care
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Care,Social care
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Carer support,Social care
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Child care,Children and young people
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Children,Children and young people
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Day care,Children and young people
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Disability,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Family support,Children and young people
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Learning disabilities,Further education and skills
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Learning skills,Further education and skills
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Physical disability,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Prime Minister,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Skills and competences,Further education and skills
http://www.official-documents.gov.uk/document/cm64/6499/6499.asp ,Social issues,Community and society
http://www.official-documents.gov.uk/document/cm65/6507/6507.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6507/6507.asp ,Family support,Children and young people
http://www.official-documents.gov.uk/document/cm65/6522/6522.asp ,Adult and community education,Community and society
http://www.official-documents.gov.uk/document/cm65/6522/6522.asp ,Education and skills,Further education and skills
http://www.official-documents.gov.uk/document/cm65/6522/6522.asp ,Further and higher education,Further education and skills
http://www.official-documents.gov.uk/document/cm65/6522/6522.asp ,Further education colleges,Further education and skills
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Dental health,National Health Service
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Health and safety inspections,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Health and safety investigations,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Health promotion,National Health Service
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Mental health,Public health
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,National Health Service (NHS),National Health Service
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Primary health care,National Health Service
http://www.official-documents.gov.uk/document/cm65/6524/6524.asp ,Secondary health care,National Health Service
http://www.official-documents.gov.uk/document/cm65/6525/6525.asp ,Consumer protection,Consumer rights and issues
http://www.official-documents.gov.uk/document/cm65/6525/6525.asp ,Food and drink,Food and farming
http://www.official-documents.gov.uk/document/cm65/6525/6525.asp ,Food labelling,Food and farming
http://www.official-documents.gov.uk/document/cm65/6525/6525.asp ,Food safety,Food and farming
http://www.official-documents.gov.uk/document/cm65/6526/6526.asp ,Prime Minister,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6527/6527.asp ,Air transport,Transport
http://www.official-documents.gov.uk/document/cm65/6527/6527.asp ,Public transport,Transport
http://www.official-documents.gov.uk/document/cm65/6527/6527.asp ,Rail transport,Transport
http://www.official-documents.gov.uk/document/cm65/6527/6527.asp ,Road transport,Transport
http://www.official-documents.gov.uk/document/cm65/6527/6527.asp ,Transport planning,Transport
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Archives,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Civil Service,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Culture and creativity,Arts and culture
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Heritage,Arts and culture
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Leisure and culture,Sports and leisure
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Library and information services,Local government
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Public expenditure,Government spending
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Public finance,Government spending
http://www.official-documents.gov.uk/document/cm65/6530/6530.asp ,Public services,Government spending
http://www.official-documents.gov.uk/document/cm65/6531/6531.asp ,Crime and law enforcement,Crime and policing
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Armed forces,Defence and armed forces
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Defence equipment and supplies,Defence and armed forces
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Defence land and buildings,Defence and armed forces
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Defence policy,Defence and armed forces
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Nationalisation and privatisation,UK economy
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Partnerships,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Public expenditure,Government spending
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Public finance,Government spending
http://www.official-documents.gov.uk/document/cm65/6532/6532.asp ,Public private partnerships,UK economy
http://www.official-documents.gov.uk/document/cm65/6535/6535.asp ,International trade,Trade and investment
http://www.official-documents.gov.uk/document/cm65/6535/6535.asp ,Investment,Trade and investment
http://www.official-documents.gov.uk/document/cm65/6535/6535.asp ,Inward investment,Trade and investment
http://www.official-documents.gov.uk/document/cm65/6543/6543.asp ,Cabinet,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6545/6545.asp ,National Assembly for Wales,Wales
http://www.official-documents.gov.uk/document/cm65/6550/6550.asp ,Currencies and exchange rates,Trade and investment
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,"Plants, animals and wildlife",Environment
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Animal health,Wildlife and animal welfare
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Cabinet,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Emergencies,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Emergency services,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Foot and mouth disease,Food and farming
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Health and social care professionals,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Home care,Social care
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Regulation and deregulation,Regulation reform
http://www.official-documents.gov.uk/document/cm65/6552/6552.asp ,Safety in the home,Public safety and emergencies
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,Access for disabled people,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,Community transport,Community and society
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,Disabled people,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,People and organisations,Social care
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,People,Social care
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,Public transport,Transport
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,Rail transport,Transport
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,Road transport,Transport
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,Transport and infrastructure,Transport
http://www.official-documents.gov.uk/document/cm65/6558/6558.asp ,Transport for disabled people,Transport
http://www.official-documents.gov.uk/document/cm65/6560/6560.asp ,Public transport investment,Transport
http://www.official-documents.gov.uk/document/cm65/6560/6560.asp ,Public transport,Transport
http://www.official-documents.gov.uk/document/cm65/6560/6560.asp ,Road building,Transport
http://www.official-documents.gov.uk/document/cm65/6560/6560.asp ,Road charging,Transport
http://www.official-documents.gov.uk/document/cm65/6560/6560.asp ,Road transport,Transport
http://www.official-documents.gov.uk/document/cm65/6560/6560.asp ,Transport and infrastructure,Transport
http://www.official-documents.gov.uk/document/cm65/6560/6560.asp ,Transport planning,Transport
http://www.official-documents.gov.uk/document/cm65/6562/6562.asp ,Adult and community education,Community and society
http://www.official-documents.gov.uk/document/cm65/6562/6562.asp ,Further and higher education,Further education and skills
http://www.official-documents.gov.uk/document/cm65/6569/6569.asp ,Disclosure,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6569/6569.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6571/6571.asp ,"Public order, justice and rights",Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6571/6571.asp ,Civil and human rights,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm65/6571/6571.asp ,Commonwealth,Foreign affairs
http://www.official-documents.gov.uk/document/cm65/6572/6572.asp ,Care assessment,Social care
http://www.official-documents.gov.uk/document/cm65/6572/6572.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6572/6572.asp ,Justice system,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6572/6572.asp ,Law,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6572/6572.asp ,Legal services,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6575/6575.asp ,Council housing,Local government
http://www.official-documents.gov.uk/document/cm65/6575/6575.asp ,Housing,Housing
http://www.official-documents.gov.uk/document/cm65/6575/6575.asp ,Social housing,Housing
http://www.official-documents.gov.uk/document/cm65/6575/6575.asp ,Sustainable development,UK economy
http://www.official-documents.gov.uk/document/cm65/6576/6576.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm65/6578/6578.asp ,Public services,Government spending
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,Business development,Business and enterprise
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,Economic development,Trade and investment
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,European Union,Europe
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,Life in the community,Social care
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,Public funding,Government spending
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,Public private partnerships,UK economy
http://www.official-documents.gov.uk/document/cm65/6579/6579.asp ,Rural development,Rural and countryside
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Budget (UK),UK economy
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Common Agricultural Policy,Rural and countryside
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Constitution,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Council policies and plans,Local government
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Crime and law enforcement,Crime and policing
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Crime,Crime and policing
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Currencies and exchange rates,Trade and investment
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,European Parliament,Europe
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,European Union,Europe
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Farming,Food and farming
http://www.official-documents.gov.uk/document/cm65/6580/6580.asp ,Horticulture,Environment
http://www.official-documents.gov.uk/document/cm65/6581/6581.asp ,International trade,Trade and investment
http://www.official-documents.gov.uk/document/cm65/6581/6581.asp ,Pollution,Environment
http://www.official-documents.gov.uk/document/cm65/6582/6582.asp ,Cabinet,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6582/6582.asp ,Councils,Local government
http://www.official-documents.gov.uk/document/cm65/6582/6582.asp ,Democracy and elections,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/cm65/6582/6582.asp ,Further and higher education,Further education and skills
http://www.official-documents.gov.uk/document/cm65/6582/6582.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/cm65/6582/6582.asp ,Local government structure,Local government
http://www.official-documents.gov.uk/document/cm65/6582/6582.asp ,Ministers,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6582/6582.asp ,National Assembly for Wales,Wales
http://www.official-documents.gov.uk/document/cm65/6584/6584.asp ,"Science, technology and innovation",Science and innovation
http://www.official-documents.gov.uk/document/cm65/6584/6584.asp ,Disclosure,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6584/6584.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm65/6584/6584.asp ,Intellectual property,UK economy
http://www.official-documents.gov.uk/document/cm65/6584/6584.asp ,Research and development,Science and innovation
http://www.official-documents.gov.uk/document/cm65/6588/6588.asp ,Social issues,Community and society
http://www.official-documents.gov.uk/document/cm65/6590/6590.asp ,Foreign policy,Foreign affairs
http://www.official-documents.gov.uk/document/cm65/6590/6590.asp ,International affairs and defence,Defence and armed forces
http://www.official-documents.gov.uk/document/cm65/6591/6591.asp ,Counselling,Community and society
http://www.official-documents.gov.uk/document/cm65/6591/6591.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6591/6591.asp ,Family support,Children and young people
http://www.official-documents.gov.uk/document/cm65/6591/6591.asp ,Law,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6591/6591.asp ,Legal proceedings,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6591/6591.asp ,Legal services,Law and the justice system
http://www.official-documents.gov.uk/document/cm65/6594/6594.asp ,Careers and career development,Employment
http://www.official-documents.gov.uk/document/cm65/6594/6594.asp ,Economic development,Trade and investment
http://www.official-documents.gov.uk/document/cm65/6594/6594.asp ,Sustainable development,UK economy
http://www.official-documents.gov.uk/document/cm65/6597/6597.asp ,Asylum,Borders and immigration
http://www.official-documents.gov.uk/document/cm65/6597/6597.asp ,Legal services,Law and the justice system
http://www.official-documents.gov.uk/document/cm66/6600/6600.asp ,Police,Crime and policing
http://www.official-documents.gov.uk/document/cm66/6603/6603.asp ,Environmental sustainability,Environment
http://www.official-documents.gov.uk/document/cm66/6603/6603.asp ,Pollution,Environment
http://www.official-documents.gov.uk/document/cm66/6605/6605.asp ,Central government,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/cm66/6605/6605.asp ,European Union,Europe
http://www.official-documents.gov.uk/document/cm66/6605/6605.asp ,European affairs,Europe
http://www.official-documents.gov.uk/document/cm66/6605/6605.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/cm66/6605/6605.asp ,International trade,Trade and investment
http://www.official-documents.gov.uk/document/cm66/6605/6605.asp ,Trade unions,Employment
http://www.official-documents.gov.uk/document/cm66/6608/6608.asp ,"Science, technology and innovation",Science and innovation
http://www.official-documents.gov.uk/document/cm66/6608/6608.asp ,Biology and applied life sciences,Science and innovation
http://www.official-documents.gov.uk/document/cm66/6608/6608.asp ,International organisations,International aid and development
http://www.official-documents.gov.uk/document/cm66/6608/6608.asp ,Sports science and technology,Sports and leisure
http://www.official-documents.gov.uk/document/cm66/6608/6608.asp ,United Nations,Foreign affairs
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Benefits for older people,Welfare
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Energy and fuel,Energy
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Energy efficiency,Energy
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Older people,Pensions and ageing society
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,People and organisations,Social care
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,People,Social care
http://www.official-documents.gov.uk/document/cm66/6609/6609.asp ,Public transport,Transport
