old_url,organisation,title,body,price,policy_1,policy_2,policy_3,policy_4,publication_type,ignore date,publication_date,ignore type,ISBN,attachment_0_url,attachment_0_title,attachment_1_url,attachment_1_title,attachment_2_url,attachment_2_title,attachment_3_url,attachment_3_title,attachment_4_url,attachment_4_title,attachment_5_url,attachment_5_title,attachment_6_url,attachment_6_title,attachment_7_url,attachment_7_title,attachment_8_url,attachment_8_title,attachment_9_url,attachment_9_title,attachment_10_url,attachment_10_title,attachment_11_url,attachment_11_title
http://www.communities.gov.uk/publications/corporate/statistics/laborrowinvest201112,department-for-communities-and-local-government,Local authority borrowing and investments in the UK: 2011 to 2012,"The latest Local Authority Borrowing and Investments statistics produced by the Department for Communities and Local Government were released on Thursday 13 September 2012.

Key points from the latest release are:

  * Total gross borrowing of the local government sector rose 16 per cent in the past year from £70.6bn to £81.8bn at the end of 2011-12. This represented a 33 per cent increase over five years from £61.4bn at the end of 2006-07.
  * Excluding the one-off Housing Revenue Account (HRA) settlement of a net £8.1bn, total borrowing would have been £73.7bn at the end of 2011-12, a 5 per cent increase from 2010-11 and 20 per cent since 2006-07.
  * 99 per cent of borrowing is longer-term; of this longer-term borrowing 75 per cent was with the Public Works Loan Board.
  * Total investments rose from £25.1bn at the end of 2010-11 to £26.1bn at the end of 2011-12, an increase of 4 per cent.
  * As at 31 March 2012, 62 per cent of all investments were with banks and building societies, a decrease from 69 per cent at 31 March 2011.",Free,making-local-councils-more-transparent-and-accountable-to-local-people,,,,statistics,13 September 2012,13-Sep-2012,statistics,9781409836469,http://www.communities.gov.uk/documents/statistics/pdf/2215595.pdf,"Local Authority Borrowing and Investments, UK 2011-12",http://www.communities.gov.uk/documents/statistics/doc/2215598.doc,"Local Authority Borrowing and Investments, UK 2011-12",http://www.communities.gov.uk/documents/statistics/pdf/2041391.pdf,Pre-release Access list: Local Authority Borrowing and Investments,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/spendingdatajul12,department-for-communities-and-local-government,DCLG spending July 2012,"HM Treasury requires that all central government departments publish details of their spending for transactions over £25,000, and publish monthly data by the last day of each month. This department has lowered its threshold and publishes its transactions over £250.

Available below are the spending report and the Government Procurement Card spending report for July 2012.

Points to note on this report:

  * Over £250 transparency spending data is taken from SAP's general ledger payment transactions.
  * As required by HM Treasury, the data relates to accounts payable payments and credit note transactions for grants and procurement expenditure, recorded at the time the transaction was processed on SAP. The data excludes any subsequent journal transactions and accounts receivable receipts.
  * Travel, subsistence and other employee transactions - these are currently published on a summarised anonomised basis. They are summarised by 'Expense area', then 'Expense type', by day.
  * The terms 'localism' and 'neighbourhoods' in the spreadsheets refer to groups within DCLG. They cover policy areas such as housing, planning and local government.
  * The data is published in CSV and Excel formats in payment date sequence.",Free,,,,,transparency-data,14 September 2012,14-Sep-2012,Corporate reports,,http://www.communities.gov.uk/documents/corporate/xls/2215991.xls,DCLG expenditure over £250 July 2012,http://www.communities.gov.uk/documents/corporate/xls/2215994.csv,DCLG expenditure over £250 July 2012 (.csv format),http://www.communities.gov.uk/documents/corporate/xls/2216001.xls,DCLG GPC expenditure July 2012,http://www.communities.gov.uk/documents/corporate/xls/2216004.csv,DCLG GPC expenditure July 2012 (.csv format),,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/statistics/core201112,department-for-communities-and-local-government,"Social housing lettings and sales in England, 2011 to 2012: continuous recording","This Statistical Release presents official statistics on new lettings and sales of existing social housing stock in England for 2011/12.

Statistics on new lettings in England are given for both local authorities and private registered social housing providers; and on sales of social housing in England for private registered providers. Information about the tenancy or sale, the tenants or buyers, and the property, are collected each time there is a new letting or sale transaction. Lets of general needs and supported social housing are collected, and, from 2011/12, providers have also been asked to report on affordable lettings.

Social housing sales include sales under Right to Buy, Preserved Right to Buy, Right to Acquire, Social HomeBuy, other outright or shared equity sales to tenants, and sales of existing stock to the private sector. No details are recorded of sales of additional equity shares purchased by existing shared owners (known as 'staircasing').

Key points from the release are:

  * There were 362,610 new social lettings in 2011/12, a 2 per cent increase on 2010/11 and equating to less than 10 per cent of social stock.
  * 72 per cent of lets were by Private Registered Providers and 28 per cent by local authorities. Overall 67 per cent were for general needs social housing.
  * The average weekly social rent was £76 in 2011/12. Private registered provider rent was £81, an increase of 6 per cent on the previous year.
  * The most common type of household taking up a general needs letting was single adults aged under 60 without children (over 30 per cent), with a further 20 per cent to single adults under 60 with children.
  * In the first year of collection, 4,612 affordable rent lettings were reported by private registered providers. Average weekly general needs affordable rent was £110, equating to 68 per cent of average market rent.
  * There were 10,356 social housing sales by Private Registered Providers during 2011/12, an increase of 4 per cent on 2010/11.
  * Most properties were sold to single adults (43 per cent) and multi-adult households with no children (32 per cent).
  * The average initial share purchased was 42 per cent across all types of social housing sale, with 50 per cent being the most typical initial share.",Free,improving-the-rented-housing-sector,,,,statistics-national-statistics,21 September 2012,21-Sep-2012,statistics,9781409836551,http://www.communities.gov.uk/documents/statistics/pdf/2219847.pdf,"Social Housing Lettings & Sales in England, 2011/12: Continuous Recording (CORE)",http://www.communities.gov.uk/documents/statistics/doc/2219850.doc,"Social Housing Lettings & Sales in England, 2011/12: Continuous Recording (CORE)",http://www.communities.gov.uk/documents/statistics/xls/2219871.xls,"Social Housing Lettings & Sales in England, 2011/12, supporting tables: Continuous Recording (CORE)",http://www.communities.gov.uk/documents/statistics/pdf/2219929.pdf,"Pre-Release Access List: Social housing lettings and sales in England, 2011/12 - Continuous Recording (CORE)",,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/statistics/frsoperationalstats2011-12,department-for-communities-and-local-government,Fire and rescue authorities in England: operational statistics bulletin for 2011 to 2012,"This publication and accompanying appendix data tables were released on Tuesday 25 September by the Department for Communities and Local Government. The publication focuses on Personnel, Health and Safety and Fire Safety for the period 1 April 2011 to 31 March 2012.

The key points are as follows:

### Numbers of staff

  * At 31 March 2012, the total number of fire and rescue authority staff (full-time equivalents) was 48,900, 4 per cent fewer than at 31 March 2011. There were 28,200 wholetime firefighter full-time equivalents (down 3 per cent on 2011), and 11,700 retained firefighter units of 24 hour cover (down 4 per cent on 2011).
  * There has been a gradual increase in the representation of women and minority ethnic staff in recent years. At 31 March 2012, 4.3 per cent of firefighters were women compared with 1.7 per cent in 2002. Minority ethnic staff accounted for 3.3 per cent of firefighters compared with 1.5 per cent in 2002.

### Staff leaving fire and rescue authorities

  * During 2011-12 there were 4,200 staff who left fire and rescue authorities. The most common reason for leaving was normal retirement (800).

### Health and safety

  * There were 3,400 reported injuries to firefighters in 2011-12. This is 45 per cent fewer injuries than in 2001-02.

### Community fire safety

  * 770,000 home fire safety checks were carried out by Fire and Rescue Services and their partners in 2011-12, 7 per cent fewer than in 2010-11. There were 118,000 home fire safety checks to households with a disabled person in 2011-12, up from 87,000 in 2010-11.
  * The number of home fire safety checks of households with an elderly person (over 65 years) was 272,000 in 2011-12, slightly lower than the 278,000 undertaken in 2011-12.

### Fire safety audits of buildings

  * Fire and Rescue Services carried out 82,000 audits of buildings in 2011-12, 3 per cent fewer than in 2010-11.
  * Fire and rescue authorities are focusing their audit activities so that premises that are considered to represent the highest risks are more likely to be audited. The highest proportions of audits against number of known premises were care homes, hotels and hospitals.
  * The overall proportion of premises found to be satisfactory in 2011-12 was 59 per cent, compared to 56 per cent in 2010-11.",Free,,,,,statistics-national-statistics,25 September 2012,25-Sep-2012,statistics,9781409836384,http://www.communities.gov.uk/documents/statistics/pdf/2222551.pdf,Fire and Rescue Service: Operational Statistics Bulletin for England 2011-12,http://www.communities.gov.uk/documents/statistics/xls/2222554.xls,Fire and Rescue Service: Operational Statistics Bulletin for England 2011-12 - Appendices 1-13,http://www.communities.gov.uk/documents/statistics/xls/2222557.xls,Fire and Rescue Service: Operational Statistics Bulletin for England 2011-12 - Appendix 14,http://www.communities.gov.uk/documents/statistics/xls/2222565.xls,Fire and Rescue Service: Operational Statistics Bulletin for England 2011-12 - Appendix 15,http://www.communities.gov.uk/documents/statistics/xls/2222568.xls,Fire and Rescue Service: Operational Statistics Bulletin for England 2011-12 - Appendix 16,http://www.communities.gov.uk/documents/statistics/xls/2222571.xls,Fire and Rescue Service: Operational Statistics Bulletin for England 2011-12 - Appendix 17,http://www.communities.gov.uk/documents/statistics/xls/2222574.xls,Fire and Rescue Service: Operational Statistics Bulletin for England 2011-12 - Appendix 18,http://www.communities.gov.uk/documents/statistics/xls/2222578.xls,Fire and Rescue Service: Operational Statistics Bulletin for England 2011-12 - Appendices 19-23,http://www.communities.gov.uk/documents/statistics/zip/2222582.zip,Revisions 2010-11,http://www.communities.gov.uk/documents/statistics/pdf/13869671.pdf,Pre-release Access list: Fire and Rescue Service Operational Statistics Bulletin for England,,,,
http://www.communities.gov.uk/publications/corporate/statistics/newbuyjanjun2012,department-for-communities-and-local-government,NewBuy guarantee scheme statistics: January to June 2012,"This first release of official statistics concerning the NewBuy Guarantee scheme was released under the auspices of the UK Statistics Authority's code of practice on 27 September 2012.

Statistics on the NewBuy Guarantee scheme cover quarterly and cumulative data for England up to 30 June 2012.

This release sets out:

  * **Total Completions** (number of properties purchased under the scheme);
  * **Government's Contingent Liability** (the maximum possible cost to government as a result of government's provision of a guarantee corresponding to these completions); and
  * **Government's Total Costs** (the amount spent by government to date in payment of claims made by mortgage lenders against this guarantee).",Free,increasing-the-number-of-available-homes,,,,statistics-national-statistics,27 September 2012,27-Sep-2012,statistics,9781409836582,http://www.communities.gov.uk/documents/statistics/pdf/2224421.pdf,NewBuy Guarantee Scheme Statistics: January to June 2012,http://www.communities.gov.uk/documents/statistics/pdf/2224426.pdf,Pre-release Access list: NewBuy Guarantee scheme,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/bulletinchanges11-12,department-for-communities-and-local-government,Orders and changes made by the government and councils between 1 October 2011 and 31 March 2012,Orders and changes made by the Government and councils between 1 October 2011 and 31 March 2012.,Free,making-local-councils-more-transparent-and-accountable-to-local-people,,,,transparency-data,27 September 2012,27-Sep-2012,Reports and summaries,978-1-4098-3654-4,http://www.communities.gov.uk/documents/localgovernment/pdf/22248002.pdf,"Bulletin of changes to local authority electoral arrangements, areas and names in England: Orders made between 1 October 2011 and 31 March 2012",,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/planningandbuilding/guaranteemonitoringreport,department-for-communities-and-local-government,Planning guarantee monitoring report,"The Planning Guarantee was announced as part of the Government's [Plan for Growth](http://www.hm-treasury.gov.uk/ukecon_growth_index.htm) (external link) on 21 March 2011, alongside a number of other proposals to streamline the planning application process and related consents. Further details of how the Guarantee is intended to operate were set out on [29 July 2011](http://www.communities.gov.uk/news/corporate/1956098).

In principle no application should spend more than 26 weeks with either the planning authority or the Inspectorate if the Guarantee is to be met. The Planning Guarantee Monitoring Report sets out planning authority and Planning Inspectorate performance against a 26 week target.

The Government is considering what further measures may be necessary to support the operation of the Guarantee, including any additional reporting requirements.",Free,making-the-planning-system-work-more-efficiently-and-effectively,,,,guidance,28 September 2012,28-Sep-2012,"Reports and summaries, Legislation and policy",9781409836322,http://www.communities.gov.uk/documents/planningandbuilding/pdf/2226054.pdf,Planning Guarantee Monitoring Report,http://www.communities.gov.uk/documents/planningandbuilding/xls/2226062.xls,Planning Guarantee Monitoring Statistics 2011-12,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/quarterlyindicatorssep2012,department-for-communities-and-local-government,DCLG quarterly business plan indicators: September 2012,These tables show the latest figures for the input and impact indicators set out in the DCLG Business Plan 2012-15. The Department has adopted these indicators to help the public assess the effects of policies and reforms on the cost and impact of public services. The individual indicators are unique to the Department. This is the first time that the business plan indicators have been published separately from the Quarterly data Summary management data.,Free,making-local-councils-more-transparent-and-accountable-to-local-people,,,,transparency-data,28 September 2012,28-Sep-2012,"Corporate reports, Reports and summaries",,http://www.communities.gov.uk/documents/corporate/xls/2226154.xls,Quarterly Business Plan Indicators - September 2012,http://www.communities.gov.uk/documents/corporate/xls/2226161.xls,Indicator measurement annex - September 2012,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/fire/fsb262012,department-for-communities-and-local-government,Fire and rescue bulletin: 26/2012,"Welcome to the Fire and Rescue Service Bulletin for October 2012, covering areas of interest and relevance to the Fire Service.",Free,supporting-fire-and-rescue-authorities-to-reduce-the-number-and-impact-of-fires,,,,guidance,2 October 2012,02-Oct-2012,"Newsletters, Circulars and official letters",9781409836605,http://www.communities.gov.uk/documents/fire/pdf/fsb262012.pdf,Fire and Rescue Bulletin 26/2012,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/communities/righttobidadvicenote,department-for-communities-and-local-government,Community Right to Bid: non-statutory advice note for local authorities,This non-statutory advice note provides a legislative overview of Part 5 Chapter 3 of the Localism Act and the Assets of Community Value Regulations 2012 which introduce the Community Right to Bid.,Free,giving-communities-more-power-in-planning-local-development,,,,guidance,4 October 2012,04-Oct-2012,"Good practice and guidance, Legislation and policy",9781409836629,http://www.communities.gov.uk/documents/communities/pdf/2229703.pdf,Community Right to Bid: Non-statutory advice note for local authorities,,,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/spendingdataaug12,department-for-communities-and-local-government,DCLG spending data August 2012,"HM Treasury requires that all central government departments publish details of their spending for transactions over £25,000, and publish monthly data by the last day of each month. This department has lowered its threshold and publishes its transactions over £250.

Available below are the spending report and the Government Procurement Card spending report for August 2012.

Points to note on this report:

  * Over £250 transparency spending data is taken from SAP's general ledger payment transactions.
  * As required by HM Treasury, the data relates to accounts payable payments and credit note transactions for grants and procurement expenditure, recorded at the time the transaction was processed on SAP. The data excludes any subsequent journal transactions and accounts receivable receipts.
  * Travel, subsistence and other employee transactions - these are currently published on a summarised anonomised basis. They are summarised by 'Expense area', then 'Expense type', by day.
  * The terms 'localism' and 'neighbourhoods' in the spreadsheets refer to groups within DCLG. They cover policy areas such as housing, planning and local government.
  * The data is published in CSV and Excel formats in payment date sequence.",Free,making-local-councils-more-transparent-and-accountable-to-local-people,,,,transparency-data,5 October 2012,05-Oct-2012,Corporate reports,,http://www.communities.gov.uk/documents/corporate/xls/2231337.xls,DCLG expenditure over £250 August 2012,http://www.communities.gov.uk/documents/corporate/xls/2231340.csv,DCLG expenditure over £250 August 2012 (.csv format),http://www.communities.gov.uk/documents/corporate/xls/2231343.xls,DCLG GPC expenditure August 2012,http://www.communities.gov.uk/documents/corporate/xls/2231346.csv,DCLG GPC expenditure August 2012 (.csv format),,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/corporate/workforcedataaug2012,department-for-communities-and-local-government,Workforce management information: August 2012,"Details of the workforce management data for August 2012.

  * These figures are not official statistics. They are internal workforce management information published in the interests of transparency.
  * These figures have not been reconciled centrally with any National Statistics. Where differences appear between the monthly information and National Statistics, clarifying comments will be provided. The ONS quarterly public sector employment statistics provide an official headline measure for comparing the overall size of employment in central government organisations with other sectors of the economy at the relevant quarterly reference point.
  * Some organisations may not have information available for each month, and at this stage coverage may therefore not reach 100 per cent for those organisations in scope.
  * Given the wide range of organisations covered, caution should be exercised when drawing inferences from the figures and care should be taken when making comparisons between organisations.",Free,,,,,transparency-data,12 October 2012,12-Oct-2012,Corporate reports,,http://www.communities.gov.uk/documents/corporate/xls/2233783.xls,Workforce management information - August 2012,http://www.communities.gov.uk/documents/corporate/xls/2233790.csv,Workforce management information - August 2012 (.csv format),,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/wiltshirecouncil,department-for-communities-and-local-government,Improvement notice issued to Wiltshire Council,Improvement Notice issued to Wiltshire Council by the Department for Education.,Free,making-local-councils-more-transparent-and-accountable-to-local-people,,,,transparency-data,15 October 2012,15-Oct-2012,Reports and summaries,,http://www.communities.gov.uk/documents/localgovernment/pdf/2236320.pdf,Improvement Notice issued to Wiltshire Council,http://www.communities.gov.uk/documents/localgovernment/doc/2236323.doc,Improvement Notice issued to Wiltshire Council,,,,,,,,,,,,,,,,,,,,
http://www.communities.gov.uk/publications/localgovernment/londonboroughsutton,department-for-communities-and-local-government,Improvement notice issued to London Borough of Sutton,Improvement Notice issued to London Borough of Sutton by the Department for Education.,Free,making-local-councils-more-transparent-and-accountable-to-local-people,,,,transparency-data,15 October 2012,15-Oct-2012,Reports and summaries,,http://www.communities.gov.uk/documents/localgovernment/pdf/2236329.pdf,Improvement Notice issued to London Borough of Sutton,http://www.communities.gov.uk/documents/localgovernment/doc/2236326.doc,Improvement Notice issued to London Borough of Sutton,,,,,,,,,,,,,,,,,,,,
