old_url,Title,Summary,Body,First published,Policy 1,Policy 2,Organisation,Minister 1,Minister 2
http://www.dft.gov.uk/news/press-releases/dft-press-20101208,Transport statistics 8 December 2010,Latest ports amd motorcycling statistics.,"The Department for Transport has today published the following transport statistics

  * [Provisional Port Statistics: Q3 2010](http://webarchive.nationalarchives.gov.uk/20110324111755/http://www.dft.gov.uk/pgr/statistics/datatablespublications/maritime/portsxxxx/quarterlyresults/portstatsq310.html)
  * [Compendium of Motorcycling Statistics 2010](http://www.dft.gov.uk/pgr/statistics/datatablespublications/vehicles/licensing/)

Details of all [recent transport statistics](http://www.dft.gov.uk/pgr/statistics/) releases.

These Official Statistics are published according to arrangements approved by the UK Statistics Authority.

Press enquiries: 020 7944 3118  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",12/8/2010,sustaining-a-thriving-maritime-sector,managing-improving-and-investing-in-the-road-network,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20101028,Transport statistics 28 October 2010,Statistics on port employment and accident rates in 2009,"The Department for Transport has today published the following transport statistics:

  * [Port employment and accident rates: 2009](http://www.dft.gov.uk/pgr/statistics/datatablespublications/maritime/earates/)

For details on all [recent transport statistics](http://www.dft.gov.uk/pgr/statistics/) releases.

These Official Statistics are published according to arrangements approved by the UK Statistics Authority. 

Press enquiries: 020 7944 3118  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",10/28/2010,sustaining-a-thriving-maritime-sector,,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20100923,Transport statistics 23 September 2010,"Statistics on road casualties, breath alcohol screening tests, maritime and regional road freight.","The Department for Transport has today published the following transport statistics:

  * [Maritime statistics, 2009](/pgr/statistics/datatablespublications/maritime/compendium/)
  * [Reported road casualties Great Britain: Annual report 2009 ](/pgr/statistics/datatablespublications/accidents/casualtiesgbar/)
  * [Reported road casualties Great Britain: Local authority tables 2009 ](/pgr/statistics/datatablespublications/accidents/casualtieslatables/)
  * [Summary provisional estimates on breath alcohol screening tests, England and Wales 2009 ](/pgr/statistics/datatablespublications/accidents/)
  * [Regional tables road freight](http://webarchive.nationalarchives.gov.uk/20110509101621/http://www.dft.gov.uk/pgr/statistics/datatablespublications/regionallocal/regional/)

For details on all [ recent transport statistics](/pgr/statistics/) releases

These Official Statistics are published according to arrangements approved by the UK Statistics Authority. 

**Press enquiries: 020 7944 3118**  
**Out of hours: 020 7944 4292**  
**Public enquiries: 0300 330 3000**",9/23/2010,sustaining-a-thriving-maritime-sector,making-roads-safer,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20100610,Transport statistics 10 June 2010,Latest port statistics.,"The Department for Transport has today published the following transport statistics

  * [Provisional port statistics: Q1 2010](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/statistics/datatablespublications/maritime/ports/quarterlyresults/portstatsq110)
  * [Port statistics 2009 annual](http://webarchive.nationalarchives.gov.uk/+/http://www.dft.gov.uk/pgr/statistics/datatablespublications/maritime/ports/provportstats2009)

All recent [transport statistics](http://www.dft.gov.uk/pgr/statistics/) releases.

These Official Statistics are published according to arrangements approved by the UK Statistics Authority. 

Press enquiries: 020 7944 3118  
Out of hours: 020 7944 4292
Public enquiries: 0300 330 3000",6/10/2010,sustaining-a-thriving-maritime-sector,,Department for Transport,,
http://www.dft.gov.uk/news/stories/dft-news-2011113,Dover Harbour Board proposed transfer scheme - facilitated discussions,Further information about the Dover Harbour Board proposed transfer scheme,"On 3 August 2011, the Secretary of State for Transport published revised criteria against which any proposed transfer scheme for the sale of a major trust port would be judged.

Dover Harbour Board stated its intention to proceed with its application for a transfer scheme under the Ports Act 1991, and proposed to submit a new set of documents containing a further elaboration of its scheme for consideration by the Minister of State under the new criteria.

On 15th September, in a [written ministerial statement](/news/statements/hammond-20110915), the Secretary of State announced that the Department for Transport would, if interested parties would find it useful and seek the department's assistance, facilitate discussions on all the options before the Dover Harbour Board submits its elaborated proposal.

Such discussions have taken place between DfT officials and the following parties:

  * Dover Harbour Board
  * Dover District Council
  * P&O Ferries (also representing DFDS and SeaFrance)
  * Dover People's Port Trust
  * UK Major Ports Group
  * Dover Chamber of Commerce
  * Dover Town Council

The Minister of State will have no knowledge of the issues discussed at these meetings, nor will the officials present have any role in advising the minister on her decision on Dover Harbour Board's proposed transfer scheme.",11/30/2011,sustaining-a-thriving-maritime-sector,,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20120831a,New study offers bus pass holders a third off train travel,Older and disabled people with bus passes will be able to get a third off train travel as part of a twelve-month experiment announced by Norman Baker.,"Older and disabled people with bus passes will be able to get a third off train travel as part of a twelve-month experiment announced by Rail Minister Norman Baker.

The trial is being launched on Sunday to encourage more older and disabled people to use trains, and means concessionary bus pass holders will be able to claim discounted fares on two test routes without purchasing an annual Senior Railcard, which costs £28.

The scheme is being rolled out by First Great Western and will apply to standard off-peak fares between Worcester and Swindon via Stroud, and between Westbury and Weymouth. The Department will be assessing the trial keenly to see if a wider and more permanent application might be merited.

Rail Minister Norman Baker said:

>This is great news for bus pass holders and hopefully they will take full advantage of the discounts on offer through this innovative scheme.

>Everybody is feeling the squeeze at the moment and this trial will help older and disabled people save money while travelling on these two important railway lines.

>The railways are not only a crucial part of our country's economic growth but they also provide a valuable link for families and friends. I am confident this scheme will help bolster those links and provide real benefits to those who need it most.

Campaigning groups including the National Pensioner's Convention and the National Federation of Occupational Pensioners have previously lobbied for concessionary bus passes to be used as a senior railcard, and believe it will lead to higher numbers of older and disabled people purchasing rail tickets.

The Department will work with First Great Western to examine the commercial viability of the scheme with a final report due in November next year.

Mark Hopwood, First Great Western Managing Director, said:

>First Great Western is privileged to provide services to some of the country's leading destinations and our branch lines to Worcester and Weymouth are symbolic of that.

>We are delighted to be able to take part in this trial, which should help improve access for senior citizens and people with disabilities to the services that we offer.

## Notes to Editors

  1. The aim of the Study is to provide the DfT with robust information to inform Train Operating Companies (TOCs) and the Association of Train Operating Companies (ATOC) on the commercial viability of extending some of the privileges associated with the Senior and Disabled Railcard to all holders of English National Concessionary travel passes.
  2. FGW will carry out a discount scheme over the course of one year offering holders of concessionary travel passes a 34% discount on standard class tickets at off-peak times (after 9.30am and before 11pm on weekday, all day on weekends and bank holidays) on the test areas of the rail network.
  3. The study will report quarterly on a quantitative assessment of the changes in peak and off-peak patronage amongst older and disabled customers that result from the discount scheme being available. Comparisons, where appropriate will be made to First Great Western's continual customer research study; Customer Satisfaction Monitor (CSM).
  4. DfT is due a final research report from FGW in November 2013.

Press Enquiries: 020 7944 3066  
Out of Hours: 020 7944 4292   
Public Enquiries: 0300 330 3000",8/31/2012,expanding-and-improving-the-rail-network,making-transport-more-accessible-to-all,Department for Transport,parliamentary-under-secretary-of-state--30,
http://www.dft.gov.uk/news/press-releases/dft-press-20120822a,Helping train operators improve services for cyclists,A new Cycle-Rail Toolkit aimed at making it easier for people to combine cycling with rail travel has been launched by Transport Minister Norman Baker.,"A new [Cycle-Rail Toolkit](http://cycle-rail.co.uk/hq-cy/wp-content/uploads/2012/05/ATOC-Toolkit-low-res-single.pdf) to aid train operators and make it easier for people to combine cycling with rail travel is being launched today by Transport Minister Norman Baker.

The Minister asked the Association of Train Operating Companies (ATOC) to develop guidance on cycle and rail integration for train operating companies and this toolkit is the result of their work. The toolkit will help train operators improve provision for cyclists by setting out how to provide good facilities, encourage new cycle-rail users and promote and market these facilities to ensure that as many people as possible benefit.

The guidance has been developed in consultation with TOCs, the DfT, the wider rail industry and cycling campaign bodies and draws good practice from both national and international examples. It is aimed at TOC managers and local authorities and will be a useful tool for those looking to improve access to rail services or considering bidding for new rail franchises.

Local Transport Minister Norman Baker said:

>This new toolkit provides some useful guidance and examples to help train operating companies get things right for cyclists. It highlights what will be effective in encouraging more people to make their door-to-door journey using a combination of rail and cycling.

>Cycling is good for the environment, good for your health and can save you money. By getting rail passengers to leave their cars at home and take the bike instead, traffic congestion can be cut and carbon emissions slashed - it's a win-win.

>I hope train operators and local authorities take advantage of this useful information.

Michael Roberts, Chief Executive of ATOC, said:

>Cyclists are an important part of the railway's future and train companies are absolutely committed to improving facilities so that ever more people can leave their bikes at stations and travel by rail.

>The toolkit shows how train companies have improved conditions for cyclists and highlights the industry's commitment to even better facilities, which will help those already in the saddle, and encourage yet more people to ride their bikes to and from their local train stations.

The guidance is available from ATOC and will be one of main focuses of the ATOC Interchange and Integrated Transport Conference, at which the Minister is the Keynote speaker in Manchester on September 27th, for more details [interchangeandintegration.co.uk](http://www.interchangeandintegration.co.uk)

## Notes to Editors

  1. The [toolkit is available to download free of charge](http://cycle-rail.co.uk/hq-cy/wp-content/uploads/2012/05/ATOC-Toolkit-low-res-single.pdf)
  2. The Rail and Cycling industries recognise best practise in the delivery of services for cyclists every year at and awards ceremony hosted by the All Party Cycling Group, in Parliament each year for more details go to [cycle-rail.co.uk](http://cycle-rail.co.uk/)

Press Enquiries: 020 7944 3066  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000  

## Related documents

  * [Bikeability](http://www.dft.gov.uk/bikeability/)",8/22/2012,expanding-and-improving-the-rail-network,,Department for Transport,parliamentary-under-secretary-of-state--30,
http://www.dft.gov.uk/news/press-releases/dft-press-20120815a,New operator for West Coast rail passengers,Rail passengers will benefit from improvements including more trains and more seats.,"Rail passengers from London to Scotland will benefit from a package of improvements including more trains and more seats, as Rail Minister Theresa Villiers unveiled First West Coast Limited as the new operator for the 'InterCity West Coast' franchise.

As part of the deal First West Coast Limited will introduce 11 new six-car electric trains which will enable more seats to be provided across the franchise, including greater capacity on the Birmingham to Scotland route. New services are planned from Blackpool, Telford, Shrewsbury and Bolton to London. First West Coast Limited has also committed to cut the cost of its 'Standard Anytime' fares by an average of 15% within the first two years.

The franchise stretches from London to Glasgow, connecting many of the UK's major cities including Manchester, Liverpool, Birmingham, Wolverhampton, Edinburgh, Lancaster and Chester. The franchise deal is worth £5.5 billion (net present value) over the lifetime of the contract.

Rail Minister Theresa Villiers said:

>This new franchise will deliver big improvements for passengers, with more seats and plans for more services. Targets to meet on passenger satisfaction will be introduced for the first time in an InterCity rail franchise and passengers will also benefit from smart ticketing and from investment in stations.

>The West Coast is the first of the new longer franchises to be let by the Coalition which has helped us secure real benefits for passengers by encouraging First West Coast Limited to invest in the future of the service.

Benefits the new franchise will offer passengers include:

  * **More Seats**: The new 11 six-car electric trains will deliver circa 12,000 extra seats a day, from December 2016 with the cascade of existing rolling stock to bolster capacity on West Coast routes. This is in addition to the 106 extra 'Pendolino' carriages which are currently being introduced into operation on to the franchise, which will deliver over 28,000 extra daily seats.
  * **More Services**: Initially First West Coast Limited will operate the timetable they will inherit from the current franchise but are seeking to introduce a number of new services including a London Euston to Blackpool service from 2013 and from 2016 services from London to Telford Central, Shrewsbury and Bolton.
  * **Improved Services**: Journey time improvements between London and Glasgow are planned, as well as additional services from London to Preston.
  * **Fares**: First West Coast Limited is changing its Standard Anytime fares and reducing them by an average of 15% over the first two years of the franchise.
  * **Improved Stations**: First West Coast Limited is taking over responsibility for maintenance at 17 of their stations and will spend at least £22m on a station investment programme.
  * Smart ticketing technology: First West Coast Limited will introduce ITSO based smart ticketing. This will offer speed and convenience as well as new ticket types more tailored to individual needs.

## Notes to editors

  1. Bids were received from; 
    * Abellio InterCity West Coast Limited - NV Nederlandse Spoorwegen),
    * First West Coast Limited - FirstGroup plc,
    * Keolis / SNCF West Coast Limited - Keolis SA and SNCF,
    * Virgin Trains Limited - Virgin Group Holdings Limited.
  2. Virgin Trains has operated the franchise since 1997 and the existing contract expires on 9 December 2012. The new franchise will begin operation on Sunday 9 December 2012. The franchise will operate for a core term of 13 years and 4 months, with an option to be extended to operate for up to 15 years.
  3. The proposed Train Service Specification for new Inter City West Coast represents a relaxation from the rigid timetable specification of the past, while retaining obligations that protect the key elements of service, such as principal first and last trains and minimum numbers of station stops per week and per day. This marks a significant shift from the highly detailed specification which featured in previous franchise specifications.
  4. To support its bid, First West Coast Limited has provided £10m of Shareholder Capital, a £45m Performance bond agreement and a subordinated loan of £190m. This is in addition to the requirement to provide a Season Ticket bond of circa £5m and a £15m Parent Company Guarantee to ensure the new Station Facilities maintenance obligations are met.
  5. This longer franchise length encouraged investment in assets such as stations by extending the period over which commercially attractive schemes can pay back.
  6. Anytime fares allow the use of any train, including at weekday peak times. Anytime tickets are not the only ones available to walk-on passengers. Off-peak fares are also available on the day and - as their name implies - are generally valid on all but peak services.
  7. The new services are subject to obtaining the necessary permissions and access rights from the Office of Rail Regulation.
  8. ITSO is a government-backed common technical standard for smart travel which means that transport operators throughout Britain can link up so passengers only have to use one secure payment 'smart' card no matter what bus, train or route they are using.

Press Enquiries: 020 7944 3108  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000",8/15/2012,expanding-and-improving-the-rail-network,,Department for Transport,minister-of-state--20,
http://www.dft.gov.uk/news/press-releases/dft-press-20120727a,New Great Western franchise to deliver new express trains,"The new 15 year Great Western franchise will see passengers benefit from new express trains, additional capacity and more.","The new 15 year Great Western franchise will see passengers benefit from new express trains, additional capacity, smart card ticketing and passenger satisfaction targets as part of proposals being put forward today by Rail Minister Theresa Villiers.

The number of train services required by the new franchise will be based broadly on the current timetable, rather than the contracted minimum in the existing franchise. The popular Sleeper Service to Penzance will be retained. An extra early, fast train from London to Plymouth will be introduced. This will achieve aspirations for a 'there and back in a day' service to Plymouth from the capital.

Successful extra local services such as those on the Truro to Falmouth, Par to Newquay and the Severn Beach Lines, including those which are locally funded at present, are being added to the base specification of the franchise. This recognises the valuable work and track record of investment made by local stakeholders. Full responsibility for funding these local schemes is expected to pass to the Department for Transport from 2015, securing their future and freeing up local resources for other transport priorities.

Rail Minister Theresa Villiers said:

>Passengers using the Great Western Line will benefit from major infrastructure improvements and new rolling stock over the next few years, as a result of the Government's ambitious programme of rail improvements, including extensive electrification.

>For the first time on the Great Western franchise, we will be introducing requirements on passenger satisfaction for the train operator to meet which will mean they have to focus strongly on the issues that matter the most to passengers. Extending smart card ticketing across the franchise will provide many more passengers across the West and South West with the kind of convenience Oyster has brought to Londoners. The Sleeper train is being retained, Plymouth gets the new early train from London they asked for and the future of popular extra local services such as the Severn Beach Line and Truro to Falmouth has been secured.

>This new franchise will see additional capacity delivered to benefit passengers. A more efficient and flexible franchise will encourage private sector investment, for example in improving stations and investing in rolling stock. It will promote greater efficiency and also enable the train operator to react to more effectively to changing passenger demands.

The new franchise will run for 15 years from July 2013 to July 2028. It will require broadly the same number of trains to run between end-to-end destinations as is the case today, while giving the new operator greater flexibility with regard to timetabling and calling patterns and, in certain instances, use of connecting trains.

This flexibility will help ensure the line is used in the most efficient way for passengers and potentially allow faster journey times and improved services. It will also encourage private sector investment in the franchise, including stations.

A final decision has not yet been taken on the exact number of through services between Paddington and Penzance. The Invitation to Tender requires the continuation of 9 journey opportunities between London and Penzance each day (in addition to the Sleeper) with at least 6 being provided by through trains. After discussions with local MPs and Cornwall Council, the Government is asking the bidders to explore with stakeholders how rail services in Cornwall might be improved to ensure the right balance between long distance and regional services is achieved. The ITT therefore requires bidders to provide a price for additional through journeys above the minimum and also for a half hourly regional service on the Cornish main line. Decisions on whether these options are affordable and can go ahead will be taken prior to the new franchise being agreed.

A number of other options which could help to further improve local services have been included which potential operators are invited to consider and provide pricing for so that they can be taken forward if a value for money solution is provided and local funding is available.

## Notes to Editors

  * 1. Details published of the new franchise that will begin from 21 July 2013, are set out by the [Department in the Invitation to Tender (ITT)](/publications/great-western-franchise-2013/).
  * 2. The Invitation to Tender follows a consultation designed to give the public and stakeholders a chance to have their say on what they wanted from the new franchise.
  * 3. The proposed Train Service Requirement for the operation of the Great Western franchise represents a change from the rigid timetable specification of the past, while retaining obligations that protect the key outcomes for passengers and taxpayers, such as principal first and last trains and minimum numbers of station stops per week and per day. This marks a significant shift from the micro-management that has prevented operators from maximising capacity and optimising timetables to react to the changing demands of their passengers in the past.
  * 4. The four shortlisted bidders from run the franchise from July 2013 are: 
    * First Great Western Trains Limited (FirstGroup plc);
    * GW Trains Limited (Arriva UK Trains Limited - DB (UK) Investments Limited);
    * NXGW Trains Limited (National Express Group PLC); and
    * Stagecoach Great Western Trains Limited (Stagecoach Group plc).
  * 5. Bids for the franchise are expected to be received in October 2012 and the new operator will be announced in March 2013. The new Great Western franchise will run until July 2028, with an option for the Department to extend for up to 7 reporting periods.
  * 6. When the Government set out its plans on franchise reform, it acknowledged that each franchise contract needs to reflect the different characteristics of the lines and services it covers. Therefore the requirements set out in the Great Western Franchise may not necessarily become standard terms in every subsequent rail franchise.
  * 7. The ITT for the Great Western Franchise follows the current agreed regulated fares policy as set out in the 2011 Comprehensive Spending Review - a rise in 2012 of RPI+1% and RPI+3% for 2013 and 2014, returning to RPI+1% thereafter. Over the long term we are committed to reducing the cost of running the railways and the goal of ending the era of above-inflation fare increases.
  * 8. Local services which are expected to move from local to national funding in 2015 include:

Service Description Funding Body

Bristol TM to Severn Beach (frequency increase)
Bristol City Council

Bristol TM to Severn Beach (Sundays)
South Gloucestershire Council

Truro - Falmouth (all week frequency increase)
Cornwall Council

Exeter - Barnstaple (additional M-F and additional Sundays)
Devon County Council

  * 9. Priced Options: The ITT asks bidders to price the following improvements to services:

**1) Services to Cornwall**
Continued operation of 9 through services. Provision of a half hourly, regular service between Plymouth and Penzance or Exeter, from May 2017 when cascaded rolling stock is anticipated to become available.

**2) TransWilts Rail (Phase 1)**
Additional weekday rail services and reinstatement of Sunday services from Salisbury to Swindon via Melksham

**3) Riviera Line (Exeter to Paignton) strengthening**
Introduction of an additional 1tph service on the Riviera line from Newton Abbot to Paignton

**4) Heart of Wessex Line Service Optimisation**
A much strengthened service on the Heart of Wessex line between Bristol and Weymouth

**5) Bristol Metro Phase 1**
An advanced scheme developed by the West of England Partnership. Phase 1 will provide a half hourly service in the Greater Bristol Metropolitan Area including re-opening of the rail line to Portishead to passenger services

**6) Devon Metro**
Devon Metro follows a similar concept to Bristol Metro for local services into Exeter, from Exmouth, Barnstaple, Newton Abbot and Paignton. It also proposes additional, new services on the SWT route to Axminster and to Okehampton

**7) Cornish Branch Line service enhancements**
St Ives Trains extended to Penzance. Additional summer, Monday-Saturday Looe Valley Services

**8) Tavistock-Bere Alston re-opening**
Re-opening of the rail line from Bere Alston to Tavistock

Press Enquiries: 020 7944 3108  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000",7/27/2012,expanding-and-improving-the-rail-network,,Department for Transport,,
http://www.dft.gov.uk/news/press-releases/dft-press-20120725a,£4.5 billion investment in new trains creates new jobs,596 railway carriages will be built at a brand new train factory in the north east of England.,"More than 900 jobs will be created and thousands more secured after Transport Secretary Justine Greening approved a £4.5bn contract to supply Britain with the next generation of intercity trains.

In a major boost to the UK's manufacturing industry, 596 railway carriages will be built at a brand new train factory in the north east of England.

Agility Trains, a consortium made up of Hitachi and John Laing, has been awarded the contract to build and maintain the trains under the Intercity Express Programme (IEP), the project to replace Britain's Intercity 125 trains with new higher capacity modern trains.

Hitachi will assemble an intercity fleet of 92 complete trains at a new purpose-built factory in Newton Aycliffe, County Durham, in the process creating 730 skilled jobs with a further 200 jobs during construction of the factory itself and securing thousands more in the UK supply chain. The company will also locate its European rail research and development capabilities on the site which will further enhance the factory's ability to win rail contracts across Europe.

As well as building the new state-of-the-art assembly facility, Hitachi will construct maintenance depots in Bristol, Swansea, west London and Doncaster, and will upgrade existing maintenance depots throughout Britain.

The announcement comes on the eve of the Global Investment Conference in London where the Government will kick off the largest series of trade and investment events ever held in the UK involving more than 3,000 business leaders, policy-makers and ministers from around the world, and half the companies in the FTSE 100.

Transport Secretary Justine Greening said:

>A new train factory is fantastic news for Britain and will be welcomed by everyone who wants to see a thriving UK manufacturing sector. It means 730 new skilled jobs created at the factory, 200 jobs in constructing the plant and thousands of jobs secured in the supply chain.

>The decision to build almost 600 new intercity train carriages is great for rail passengers who will experience faster and more comfortable journeys when travelling across Britain on the East Coast and Great Western main lines.

>Hitachi is the latest major international company to invest on this scale in Britain and I look forward to this new factory in County Durham following in the footsteps of Nissan's successful car plant in Sunderland. There can also be fewer stronger signs that the UK is the best place in which to invest, and from which to develop new markets, than Hitachi's decision to base its European manufacturing base right here in Britain.

The IEP train fleet will be comprised of electric and bi-mode trains, some five vehicles long and others nine vehicles. These will be faster accelerating than existing stock, and will offer the potential for more frequent services. The higher train capacity will mean more seats and less crowding between Britain's major cities. The modern vehicles will offer a step-change in passenger comfort through increased carry-on luggage space, electronic seat reservations, and no compromise on leg-room. A performance regime will encourage the trains to run reliably throughout the life of the fleet.

The IEP builds on last week's rail investment announcement of further electrification on the Great Western Main Line between London Paddington and Swansea, and together the new trains and infrastructure will offer the potential for journey time savings of 15 minutes in Swansea to London journeys and 21 minutes in Bristol to London journeys as part of the forthcoming Great Western franchise. Passengers travelling along the East Coast Main Line will also see improvements to their travelling experience, as journeys between London and Newcastle will potentially be reduced by 13 minutes in the forthcoming East Coast franchise.

Construction at the Newton Aycliffe site is expected to begin in 2013 and will be fully operational by 2015. The first IEP trains will enter revenue-earning service on the Great Western Main Line in 2017 and on the East Coast Main Line by 2018.

Tomorrow's Global Investment Conference at the British Business Embassy in Lancaster House, London, will be followed by 17 Global Business Summits to be held throughout the duration of the Games and will be targeted at individual sectors and countries.

## Notes to editors

  1. IEP is the programme to replace Britain's fleet of Intercity 125 High Speed Trains (HSTs) that were originally deployed by British Rail in the 1970s and 1980s.
  2. This announcement signifies financial close for the Great Western elements of IEP, and commercial close for the East Coast elements. The East Coast elements will be financed during 2013.
  3. The eventual service pattern will be the responsibility of the future franchisees, although the first phase of the new trains could operate on the following routes: 
    1. Great Western: London - Cardiff - Swansea, London - Oxford - Worcester - Hereford, London - Gloucester - Cheltenham, London - Bath - Bristol
    2. East Coast: London - Leeds, London - York - Newcastle - Edinburgh - Aberdeen / Inverness
* There are also options for ordering further trains, which could operate on the following routes: 

  1. Great Western: London - Exeter - Penzance
  2. East Coast: Replacement of the newer Intercity 225 electric stock
  3. East Coast: London - Cambridge - Kings Lynn
  4. West Coast: London - Milton Keynes - Northampton
* The contract structure passes the responsibility for constructing depots and maintaining trains to Agility Trains. The Train Operating Company will pay Agility Trains ""Set Availability Payments"" for each train that reports for duty each day and remains reliable during the operational period. The Department is providing a ""Usage Guarantee"" to Agility that a Train Operating Company will be in place to make use of the new trains.
* This is the first time in recent history that a bi-mode train has been earmarked for the UK rail network. Bi-mode trains are common on some mainland European national rail systems. Both the electric and bi-mode versions of these trains will include regenerative braking, a system whereby electricity is re-cycled back through the overhead wires when the driver applies the brakes.
* Introducing the bi-mode option for the Intercity Express Programme is estimated to save around £200 million (net present value) as compared to introducing a fleet of all-electric trains to be coupled to a diesel locomotive beyond the electrified sections of the railway.
* The 125 mph (200kph) trains will reduce overcrowding as they will be longer; the new carriages will be 26m in length as opposed to the 23m in Intercity vehicles currently in UK use. 26m vehicles are standard in mainland Europe. The faster journey times will also allow operators to run more frequent services.
* [Hitachi Intercity Express Train CGI film](http://www.youtube.com/watch?v=DeddoFChmm8&feature=context-cha)
* [Animation of planned Hitachi Rail Europe manufacturing plant in Newton Aycliffe](http://www.youtube.com/watch?v=uZ0B2Mv_CiE)

Press Enquiries: 020 7944 3108  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000

## Related documents

  * [Intercity Express Programme](/topics/iep)",7/25/2012,expanding-and-improving-the-rail-network,,Department for Transport,secretary-of-state-for-transport,
http://www.dft.gov.uk/news/press-releases/dft-press-20120720b,£1M for Manchester Victoria access improvement ,Rail Passengers using Manchester Victoria are to benefit from a new lift and other facilities that will help increase access to the station.,"Rail Passengers using Manchester Victoria are to benefit from a new lift and other facilities that will help increase access to the station as, Rail Minister Norman Baker has today announced.

Under the Coalition Government's Access for All scheme, £1 million will be used to provide a new lift to the footbridge, ensuring level access across the station. The money would also fund new handrails and landings on the existing footbridge.

Rail Minister Norman Baker said:

>We want everyone to be able to access public transport and that is why the Government has provided £1 million to make these vital changes which will benefit passengers using this busy station.

>We are determined to promote equality and fairness for all which is why this week, we have identified a further £100 million for the Access for All programme as a whole, to enable important accessibility work to be carried out at railway stations across the country.

Network Rail route managing director Jo Kaye, said:

>We have a major scheme underway to completely transform the station over the next two years, making it almost unrecognisable to its regular users.

>This cash injection will go a long way towards making the station and its facilities even more accessible than they already are.

The work at Manchester Victoria is expected to start on site in January 2013 and will take around 16 months to complete. The work will help turn the station into a better transport interchange, which will benefit from increased patronage from the Metrolink extensions currently being constructed.

## Notes to editors

  1. Manchester Victoria is one of 154 stations in Britain to receive funding to provide better access to stations through the government's £370m Access for All programme. Launched in 2006 it will deliver an accessible, step free route at key stations. Rail passengers will benefit from better access through the provision of new lifts, ramps, raised ""easier access humps"" on platforms as well as new accessible toilets.
  2. As part of the recent High Level Output Specification (HLOS) announcement, £200m was included to improve stations across the network of which £100m is to be spent on 'Access for All' to provide easier access for older or disabled passengers or those with small children.

Press Enquiries: 020 7944 3108  
Out of Hours: 020 7944 4292  
Public Enquiries: 0300 330 3000",7/20/2012,expanding-and-improving-the-rail-network,,Department for Transport,parliamentary-under-secretary-of-state--30,
http://www.dft.gov.uk/news/press-releases/dft-press-20120719a,Transport statistics 19 July 2012,Light rail and tram statistics for 2011/12.,"The Department for Transport has today published the following transport statistics:

  * [Light rail and tram statistics: 2011/12](/statistics/releases/light-rail-tram-statistics-2011-12)

See [statistics](/statistics) for details on all recent transport statistics releases.

These official statistics are published according to arrangements approved by the UK Statistics Authority.

Press enquiries: 020 7944 3066  
Out of hours: 020 7944 4292  
Public enquiries: 0300 330 3000",7/19/2012,expanding-and-improving-the-rail-network,,Department for Transport,,
