Count,Name,Department,Classification,PB Reform,Regulatory Function,Description / Terms of Reference,Notes,Address,Phone,email,Website,Chair,DV - Chair's Remuneration (p.a. unless otherwise stated and may represent a theoretical mean),Chief Executive / Secretary,DV - Chief Executive / Secretary Remuneration (p.a. and may represent a theoretical mean),Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Audit Arrangements,Government Funding,Total Gross Expenditure,Staff Employed (FTE),OCPA Regulated
1,Charity Commission for England and Wales,Charity Commission for England and Wales,Non Ministerial Department,Retain,Yes,"The Charity Commission is the independent Government department which registers and regulates charities in England and Wales, as set out in the Charities Act 2011.",Established 1853.  NAO VFM review 2013.,"PO Box 1227, Liverpool L69 3UG",0845 3000 218,fcemailteam@charitycommission.gov.uk,http://www.charitycommission.gov.uk/,William Shawcross CVO,50000,Sam Younger CBE,Civil Servant,Yes,No,Yes,PHSO,2012-13,2013,NAO,"26,210,000","25,773,026",320,Yes
1,Commissioners for the Reduction of the National Debt,Commissioners for the Reduction of the National Debt,Non Ministerial Department,,No,"The Commissioners for the Reduction of the National Debt (CRND)'s main function is the investment and management of government funds, including the National Insurance Fund Investment Account, the National Lottery Distribution Fund Investment Account and the Court Funds Investment Account.","The origins of the CRND can be traced back to the National Debt Reduction Act of 1786.  The statutory functions of the CRND have been carried out within the United Kingdom Debt Management Office since July 2002.  There are nine Commissioners (The Chancellor of the Exchequer, The Governor and Deputy Governors of the Bank of England, The Speaker of the House of Commons, The Master of the Rolls, The Accountant General of the Senior Courts, and The Lord Chief Justice) however day to day decisions are made by the Comptroller General and the Assistant Comptroller, who are civil servants.  No separate annual report is published for the CRND however annual accounts are produced for the funds managed.","UK Debt Management Office, Eastcheap Court, 11 Philpot Lane, London, EC3M 8UD",0845 357 6610,crnd@dmo.gsi.gov.uk,http://www.dmo.gov.uk/,,,Jo Whelan (Comptroller General),Civil Servant,No,No,No,,,,NAO,,,,No
1,Crown Prosecution Service,Crown Prosecution Service,Non Ministerial Department,,No,"The Crown Prosecution Service (CPS) is an independent body set up in 1986 to prosecute criminal cases in England and Wales. The CPS works closely with the police and other investigators to advise on lines of inquiry and to decide on appropriate charges or other disposals in all but minor cases. CPS prosecutors prepare cases for court and present cases in both the magistrates’ courts and, increasingly, in the higher courts. The Director of Public Prosecutions is the head of the CPS and operates independently, under the superintendence of the Attorney General who is accountable to Parliament for the work of the CPS.",Created by the Prosecution of Offences Act 1985. ,"Rose Court, 2 Southwark Bridge, London SE1 9HS",020 3357 0000,enquiries@cps.gsi.gov.uk,http://www.cps.gov.uk/,Keir Starmer Q.C.,196707,Peter Lewis,162500,No,Yes,Yes,,2012-13,,NAO,"592,000,000","629,000,000","6,766",Yes
1,"Advisory, Conciliation and Arbitration Service (Acas)","Department for Business, Innovation and Skills",Executive NDPB,Retain,No,The aim of Acas is to improve organisations and working life through better employment relations.,Established 1975.  Triennial review commenced 2013.,"Acas National (Head Office), Euston Tower, 286 Euston Road, London NW1 3JJ.",08457 474747,,http://www.acas.org.uk/,Ed Sweeney,72000,Anne Sharp,Civil Servant,No ,No ,Yes ,PHSO,2012-13,,NAO,"46,450,000","51,329,000",817,Yes
1,Arts and Humanities Research Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"To promote and support research and postgraduate training in the arts and humanities.  To encourage the wider application of, and raise the profile of, arts and humanities research.",Established 2005.  Minutes are available on request.  Triennial Review began 2013.,"Polaris House, North Star Avenue, Swindon, Wilts SN2 1FL",01793 416000,enquiries@ahrc.ac.uk,http://www.ahrc.ac.uk/,Sir Alan Wilson,16340,Professor Rick Rylance,122500,No,No,Yes,PHSO,2012-13,,NAO,"104,056,000","104,045,000",76,Yes
1,Biotechnology and Biological Sciences Research Council ,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The Biotechnology and Biological Sciences Research Council is the UK funding agency for research in the life sciences.  BBSRC carries out its mission by funding research, providing training in the biosciences and fostering opportunities for knowledge. ",Established 1994.  Triennial Review began 2013.,"Polaris House, North Star Avenue, Swindon, Wilts, SN2 1UH",01793 413200,bbsrc.inquiries@bbsrc.ac.uk,http://www.bbsrc.ac.uk/,Professor Sir Tom Blundell,16340,Professor Douglas Kell,132500,No,Yes,Yes,PHSO,2012-13,,NAO,"526,600,000","527,715,000",308,Yes
1,British Hallmarking Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,Yes,The British Hallmarking Council supervise UK hallmarking.,Established 1973.  Financial and remuneration information is for the year ending 31 Decemebr 2012.,"Geraldine Swanton, Secretary, British Hallmarking Council, No 1 Colmore Square, Birmingham B4 6AA",0870 763 1455,geraldine.swanton@martineau-uk.com,https://www.gov.uk/government/organisations/british-hallmarking-council,Christopher Jewitt,14000,Ms Geraldine Swanton,26089,No,No,Yes,PHSO,2012,2010,NAO,0,"73,669",0,Yes
1,Capital for Enterprise Limited,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,Capital for Enterprise Ltd is the principal centre of expertise within Government on the provision of Small and Medium Enterprise financial interventions.,Established 2008.  Triennial Review due 2012/13 will not complete as CfEL will cease to operate on 1 October 2013 when staff will transfer to BIS. Following this the Busines Bank will be created.,"Capital for Enterprise Ltd, Foundry House, 3 Millsands, Sheffield, S3 8NH",0114 206 2131,info@capitalforenterprise.gov.uk,http://www.capitalforenterprise.gov.uk/,Lucy Armstrong.,34320,Rory Early,139600,No,No,Yes,PHSO,2012-13,,NAO,"3,152,500","3,981,170",33,Yes
1,Central Arbitration Committee,"Department for Business, Innovation and Skills",Tribunal NDPB,Retain,No,Adjudicating on issues around statutory trade union recognition and complaints brought under UK employees' information and consultation laws.,"Established 1976.  The Chair is a High Court Judge salaried by the Ministry of Justice; a proportion of his salary is refunded to the Ministry of Justice by the Dept of Business, Innovation and Skills.  The CAC was to be merged under the reform programme but will now be retained. Funded through Acas.","Euston Tower, 286 Euston Road, London NW1 3JJ.",020 7904 2300,enquiries@cac.gov.uk,http://www.cac.gov.uk/,Sir Michael Burton,,Simon Gouldstone,61709,No,No,Yes,,2012-13,,NAO,,"651,477",10,No
1,Companies House,"Department for Business, Innovation and Skills",Executive Agency,,Yes,"Incorporates and dissolves limited companies, registers the information companies are legally required to supply, and makes that information available to the public.",Established 1844.,"Crown Way, Cardiff, CF14 3UZ",0303 1234 500,enquiries@companies-house.gov.uk,http://www.companieshouse.gov.uk/,Brian Landers,17500,Tim Moss,Civil Servant,No,No,Yes,PHSO,2012-13,2013,NAO,,"53,300,000",890,Yes
1,Competition Appeal Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,Retain,No,Hearing of appeals in respect of various competition related matters.,Established 1 April 2003. Administration for the Competition Appeal Tribunal is provided by the Competition Service as an Executive NDPB.  ,"Victoria House, Bloomsbury Place, London, WC1A 2EB",020 7979 7979,,http://www.catribunal.org.uk/,Sir Gerald Barling,174481,Charles Dhanowa,97555,Yes,Yes,Yes,,2012-13,,NAO,,,0,No
1,Competition Commission,"Department for Business, Innovation and Skills",Executive NDPB,Merge,Yes,"To investigate and report on matters referred to it relating to mergers, markets and anti-competitive practices, and the regulation of utilities.",Established 1 April 1999.   Chair Appointment information include 3 deputies.  Members include 3 non-executive directors who serve on the Commission’s governing council.  They do not sit on inquiry panels.,"Victoria House, Southampton Row, London, WC1B 4AD",020 7271 0100,info@cc.gsi.gov.uk,http://www.competition-commission.org.uk/,Roger Witcomb,179204,David Saunders,183188,No,No,Yes,PHSO,2012-13,2007,NAO,"19,755,000","19,755,000",141,Yes
1,Competition Service,"Department for Business, Innovation and Skills",Executive NDPB,No longer an NDPB,No,To fund and provide support services to the Competition Appeal Tribunal.,Established 1 April 2003.  ,"Victoria House, Bloomsbury Place, London, WC1A 2EB",020 7979 7979,,http://www.catribunal.org.uk/,Janet Rubin,350 per diem,Charles Dhanowa,,No,No,No,PHSO,2012-13,,NAO,"3,906,000","3,883,000",16,Yes
1,Construction Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the industry.,Established 1964.  The Chair has waived his entitlement to a salary.  CE at 31.3.13 was Mark Farrar - Current CE is interim and remuneration is a 'day-rate' employment contract for an individual who operates as a professional interim as opposed to a 'remuneration package' for a permanent CE.  Triennial Review began 2013.,"Bircham Newton, King's Lynn, Norfolk PE1 6RH",0300 456 7577 or 0344 994  4400,call.centre@citb.co.uk,http://www.citb.co.uk/,James Wates,0,William Burton,"1,100 per day",No,Yes,Yes,PHSO,2012,2003,NAO,0,"222,949,000","1,400",Yes
1,Consumer Futures,"Department for Business, Innovation and Skills",Executive NDPB,No longer an NDPB,No,"Statutory consumer body providing advocacy for energy and postal consumers in England, Wales and Scotland;  postal consumers in Northern Ireland; and water consumers in Scotland.","Established under Consumer, Estate Agents and Redress Act 2007.  Name changed to Consumer Futures from Consumer Focus, April 2013 following transfer of general consumer advocacy functions to the Citizens Advice Service, leaving Consumer Futures as the advocating body for consumers in the Energy and Postal regulated sectors only, funding for which is  recovered from the regulators via a levy on the industries.  Chair remuneration is on a 3 days per week basis.  Of the Government Funding £8,459,000 is recovered from industry.","Victoria House, Bloomsbury Place, London, WC1A 2EB",020 7799 7900,contact@consumerfutures.org.uk,http://www.consumerfutures.org.uk/,Christine Farnish,48000,Mike O'Connor,118500,No,No,Yes,PHSO,2012-13,2009,NAO,"9,132,000","12,516,000",147,Yes
1,Copyright Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,No longer an NDPB,Yes,Deals with collective licensing disputes between business and collecting societies. ,Established 1956.,"4 Abbey Orchard Street, London, SW1P 2HT",020 7034 2836,catherine.worley@ipo.gov.uk,http://www.ipo.gov.uk/ctribunal.htm,Judge Birss,,,,Yes,No,Yes,,,2008,,,,1,No
1,Council for Science and Technology,"Department for Business, Innovation and Skills",Advisory NDPB,,No,The CST advises the Prime Minister on strategic science and technology issues that cut across the responsibilities of individual government departments.,Established 1993 and relaunched in 2004.  Co-chaired by Sir Mark Walport and Professor Dame Nancy Rothwell. Reporting is subsection of GO-Science Annual Report. Triennial Review began 2013.,"CST Secretariat - 2nd Floor, Orchard 3, 1 Victoria Street, London, SW1H 0ET",020 7215 1092,cstinfo@bis.gsi.gov.uk,http://www.bis.gov.uk/cst,Multiple,0,Alan Pitt,Civil Servant,No,Yes,Yes,PHSO,2012-13,2004,,"205,000",,3,Yes
1,Economic and Social Research Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The Economic and Social Research Council funds research into the big social and economic questions facing society today.  ESRC also develops and trains the UK's future social scientists.  ESRC's research informs public policies and helps make businesses, voluntary bodies and other organisations more effective.",Established 1965. Triennial Review began 2013.,"Polaris House, North Star Avenue, Swindon, SN2 1UJ",01793 413000,comms@esrc.ac.uk,http://www.esrc.ac.uk/,Dr Alan Gillespie,16340,Professor Paul Boyle,122500,No,Yes,Yes,PHSO,2012-13,,NAO,"189,000,000","203,952,000",137,Yes
1,Engineering and Physical Sciences Research Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The main UK government agency for funding research and training in engineering and the physical sciences, investing more than £800 million a year.",Established 1994. Triennial Review began 2013.,"Polaris House, North Star Avenue, Swindon SN2 1ET",01793 444000,,http://www.epsrc.ac.uk/,Dr Paul Golby,16430,Professor Dave Delpy,147500,Yes,Yes,Yes,PHSO,2012-13,,NAO,"849,000,000","866,421,000",209,Yes
1,Engineering Construction Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the industry.,Established 1991 (replacing the Engineering Industry Training Board that was established in 1964).  Chair remuneration is based on 2 days per week.  Triennial Review  began in 2013.,"Blue Court, Church Lane, Kings Langley, Hertfordshire WD4 8JP",01923 260 000,ECITB@ecitb.org.uk,http://www.ecitb.org.uk/,Andrew Collinson,24000,David Edwards,125300,No,Yes,Yes,PHSO,2012,2003,NAO,0,"30,287,000",80,Yes
1,Film Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the film industry.,Established 2009.  FITB is not operational as there is curretly no statutory levy in the film industry.  A review of FITB began in 2013. ,"c/o Creative Skillset, Focus Point, 21 Caledonian Road, London, N1 9GB",,,,Iain Smith,0,,,No,No,No,,,,,0,0,0,Yes
1,Higher Education Funding Council for England (HEFCE),"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The Higher Education Funding Council for England promotes and funds high-quality, cost-effective teaching and research in universities and colleges in England, to meet the diverse needs of students, the economy and society. 
",Established 1992. Chair remuneration is based on two days per week.,"Bristol office, Northavon House, Coldharbour Lane, Bristol, BS16 1QD


",0117 931 7317,Hefce@hefce.ac.uk,http://www.hefce.ac.uk/,Tim Melville-Ross,47350,Sir Alan Langlands,230000,No,Yes,Yes,PHSO,2012-13,,NAO,"5,055,608,000","5,055,608,000",240,Yes
1,Industrial Development Advisory Board,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,No,The Industrial Development Advisory Board advises Ministers on applications from companies who are proposing to undertake investment projects in England and have applied for financial assistance under the Regional Growth Fund scheme; it also advises on proposed new schemes.,Established in 1972. The activities of the Industrial Development Advisory Board are included in an annual report to Parliament on the exercise of powers under the Industrial Development Act 1982. Current report is: http://www.official-documents.gov.uk/document/hc1314/hc04/0449/0449.pdf,"4th Floor, 1 Victoria Street, London SW1H 0ET",020 7215 4373,mary.covington@bis.gsi.gov.uk,https://www.gov.uk/government/organisations/industrial-development-advisory-board,Paul Mullins,,Vacant,Civil Servant,No,No,Yes,PHSO,,2012,,,,0,Yes
1,Insolvency Practitioners Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,Under consideration,No,"To hear referrals from individuals and insolvency practitioners authorised to act by the Secretary of State in respect of refusal to grant, or the intention to withdraw, a license to act.",Established 1986.,"4 Abbey Orchard Street, London, SW1P  2HT ",020 7637 6568,David.Swarts@insolvency.gsi.gov.uk,,Chairs drawn from panel of potential chairs for each individual case,,David Swarts,Civil Servant,No,No,No,,,2000,,,,0,No
1,Insolvency Service,"Department for Business, Innovation and Skills",Executive Agency,,Yes,"Responsible for administration and oversight of the UK's insolvency regime, including regulation of private sector practitioners' authorising bodies",,"4 Abbey Orchard Street, London SW1P 2HT",0845 602 9848,,http://www.bis.gov.uk/insolvency,David Ereira,12000,Richard Judge,Civil Servant,No,Yes,Yes,PHSO,2012-13,,NAO,"46,761,000","122,808,000","2,042",No
1,Intellectual Property Office,"Department for Business, Innovation and Skills",Executive Agency,,No,"Responsible for intellectual property rights in the UK, including patents, designs, trade marks and copyright. It can help you get the right type of protection for your creation or invention","Established 1852, IPO became the operating name of Patent Office April 2007.","Concept House, Cardiff Road, Newport, South Wales, NP10 8QQ",0300 300 2000,information@ipo.gov.uk,http://www.ipo.gov.uk/,Bob Gilbert,10000,John Alty,Civil Servant,No,Yes,Yes,PHSO,2012-13,,NAO,0,"72,000,000",921,No
1,Land Registration Rule Committee,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,No,The LRRC advises and assists in the making of Land Registration Rules and Land Registration Fee Orders and draft amendments for the Lord Chancellor and the Secretary of State under the Land Registration Act 2002.,Established 2002.,"HM Land Registry, Trafalgar House, 1 Bedford Park, Croydon CR0 2AQ",0300 006 7127 ,Carol.Gurajena@landregistry.gsi.gov.uk,http://www.landregistry.gov.uk/professional/law-and-practice/act-and-rules/land-registration-rule-committee,Mr Justice Morgan,0,Carol Gurajena,Civil Servant,No,Yes,No,,,2002,,,,0,No
1,Low Pay Commission,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,No,The Low Pay Commission advises the Government on the National Minimum Wage under an annual remit. ,Established 1997. Remuneration is not claimed by the Chair/all members.,"6th Floor, Victoria House, Southampton Row, London WC1B 4AD",020 7271 0450,lpc@lowpay.gov.uk,http://www.lowpay.gov.uk/,David Norgrove,0,Robin Webb,Civil Servant,No,No,Yes,PHSO,,2013,NAO,"827,000","827,000",8,Yes
1,Medical Research Council (MRC),"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The Medical Research Council is dedicated to improving human health. It supports research across the spectrum of medical sciences, in universities and hospitals, in its own units and institutes in the UK, and in units in Africa.",The Medical Research Council was founded in 1913 to tackle the public health menace of tuberculosis.  Triennial review began 2013.,"Polaris House, North Star Avenue, Swindon, SN2 1FL",01793 416200,corporate@headoffice.mrc.ac.uk,http://www.mrc.ac.uk/,Mr Donald Brydon,16430,Professor Sir J Savill,122500,Yes,Yes,Yes,PHSO,2012-13,,NAO,"656,200,000","845,378,000","4,267",Yes
1,Met Office,"Department for Business, Innovation and Skills",Executive Agency,,No,"Met Office provides weather and climate-related services to the Armed Forces, government departments, the public, civil aviation, shipping, industry, agriculture and commerce",Established 1854.,"FitzRoy Road, Exeter, Devon, EX1 3PB",0870 900 0100,enquiries@metoffice.gov.uk,http://www.metoffice.gov.uk/,Greg Clarke,37500,John Hirst,147500,No,Yes,Yes,,2012-13,,NAO,"171,700,000","192,600,000","1,878",No
1,National Measurement Office,"Department for Business, Innovation and Skills",Executive Agency,,Yes,"Provides policy support to Ministers on measurement issues and a measurement infrastructure which enables innovation and growth, promotes trade and facilitates fair competition and the protection of consumers, health and the environment.",Established 1866.,"Stanton Avenue, Teddington, TW11 0JZ",020 8943 7272,info@nmo.gov.uk,http://www.bis.gov.uk/nmo,Isobel Pollock,2500,Peter Mason,Civil Servant,No,Yes,Yes,PHSO,2012-13,2001,NAO,"62,487,000","66,079,000",72,No
1,Natural Environment Research Council (NERC),"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The UK's main agency for funding and managing research, training and knowledge exchange in the environmental sciences, covering atmospheric, Earth, biological, terrestrial and aquatic science, from the deep oceans to the upper atmosphere and from the poles to the equator.",Established 1965.  Triennial review began 2013.,"Polaris House, North Star Ave, Swindon, SN2 1EU",01793 411500,,http://www.nerc.ac.uk/,Mr Edmund Wallis,16430,Professor Duncan Wingham,127500,No,No,Yes,PHSO,2012-13,,NAO,"353,769,000","442,161,000","2,407",Yes
1,Office for Fair Access,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"The role of the Office for Fair Access is to promote and safeguard fair access to higher education for lower income and other under-represented groups following the introduction of higher tuition fees in 2006-07.

",Established 2004.  CE remuneration is based on 3 days per week.,"Northavon House, Coldharbour Lane, Bristol BS16 1QD
",0117 931 7171,enquiries@offa.org.uk,http://www.offa.org.uk/,,,Prof Les Ebdon,78000,No,No,Yes,PHSO,2012-13,,NAO,"1,143,000","1,143,000",13,Yes
1,Ordnance Survey,"Department for Business, Innovation and Skills",Executive Agency,,No,"Ordnance Survey is Britain’s national mapping agency. It carries out the official surveying of GB, providing the most accurate and up-to-date geographic data, relied on by government, business and individuals.",Established 1791.  An Executive Agency/Public Corporation/Trading Fund.  Chair remuneration is based on 4-5 days per month.,"Adanac Drive, Southampton, SO16 0AS",08456 05 05 05,customerservices@ordnancesurvey.co.uk,http://www.ordnancesurvey.co.uk,Sir Rob Margetts,55000,Vanessa Lawrence,Civil Servant,No,No,Yes,,2012-13,,Deloitte / NAO,0,"32,200,000","1,116",No
1,Regulatory Policy Committee,"Department for Business, Innovation and Skills",Advisory NDPB,,No,"The strategic purpose of the RPC is to contribute to a cultural change in the Government’s approach to regulation and support better and smarter regulation, through improving the use of evidence and analysis in regulatory policy-making. The RPC provides independent scrutiny of the quality of analysis of new regulatory proposals to inform Government decision-making. The RPC also undertakes independent investigative activity as requested by the Reducing Regulation Committee",Established in 2009 as ad hoc advisory body. Reclassified as advisory NDPB in November 2011,"1 Victoria St, London, SW1H 0ET",020 7215 1460,regulatoryenquiries@rpc.gsi.gov.uk,http://regulatorypolicycommittee.independent.gov.uk/ ,Michael Gibbons OBE,,Tony Pedrotti - Head of Secretariat,Civil Servant,No,No,Yes,PHSO,,,,,,15,Yes
1,Science and Technology Facilities Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"STFC has three distinct but interrelated functions: 
• Universities:  Supporting university-based research, innovation and skills development in astronomy, particle physics and nuclear physics; 
• Scientific Facilities:  Providing access to world-leading, large-scale facilities across a range of physical and life sciences, enabling research, innovation and skills training in these areas, and; 
• National Campuses:  Building national Science and Innovation Campuses around our national laboratories to promote academic and industrial collaboration and translation of our research to market through direct interaction with industry.",Formed as a new Research Council in 2007 through a merger of the Council for Central Laboratory of the Research Councils and the Particle Physics and Astronomy Research council and the transfer of responsibility for nuclear physics from the Engineering and Physical Sciences Research Council.  Triennial review began 2013.,"Polaris House, North Star Avenue, Swindon SN2 1SZ",01793 442000,enquiries@stfc.ac.uk,http://www.stfc.ac.uk/,Professor Sir Michael Sterling,47500,Professor John Womersley,127500,No,Yes,Yes,PHSO,2012-13,,NAO,"569,842,000","550,066,000","1,618",Yes
1,Skills Funding Agency,"Department for Business, Innovation and Skills",Executive Agency,,No,The Skills Funding Agency funds and promotes adult further education and skills training in England (excluding higher education).,Established April 2010,"Cheylesmore House, Quinton Road, Coventry, CV1 2WT",0845 377 5000,info@skillsfundingagency.bis.gov.uk,http://skillsfundingagency.bis.gov.uk/,,,Kim Thorneywork,Civil Servant,No,No,Yes,PHSO,2012-13,2011,NAO,"4,362,555,000","4,517,612,000","1,241",No
1,Student Loans Company,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,The SLC is a non-profit making government-owned organisation set up to provide loans & grants to students in universities & colleges in the UK.,Established 1989. Government funding and expenditure figures represent UK totals from BIS and the Devolved Administrations.,"100 Bothwell Street, Glasgow G2 7JD",0141 306 2000,,http://www.slc.co.uk/,Ed Smith ,50000,Mick Laverty,,No,Yes,Yes,,2012-13,2000,KPMG,"115,756,000","115,723,000","2,140",Yes
