Count,Name,Department,Classification,PB Reform,Multiple Bodies,Regulatory Function,Description / Terms of Reference,Notes,Address,Phone,email,Website,Chair,Chair's Remuneration (PA unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretart Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Audit Arrangements,Government Funding,Total Gross Expenditure,Staff Employed (FTE),OCPA Regulated
1,Arts and Humanities Research Council (AHRC),"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"To promote and support research and postgraduate training in the arts and humanities.  To encourage the wider application of, and raise the profile of, arts and humanities research.",Established 2005.,"Polaris House, North Star Avenue, Swindon, Wilts SN2 1FL",01793 416000,enquiries@ahrc.ac.uk,www.ahrc.ac.uk,Sir Alan Wilson,"£16,430",Professor Rick Rylance,"£141,468",No,Available on request,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£106,729,000","£108,774,000",71,Yes
1,Biotechnology and Biological Sciences Research Council ,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"The Biotechnology and Biological Sciences Research Council is the UK funding agency for research in the life sciences.  BBSRC carries out its mission by funding research, providing training in the biosciences and fostering opportunities for knowledge. ",Established 1994.,"Polaris House, North Star Avenue, Swindon, Wilts, SN2 1UH",01793 413200,bbsrc.inquiries@bbsrc.ac.uk,www.bbsrc.ac.uk,Sir Tom Blundell,"£16,430",Professor Douglas Kell,"£134,141 (4 days per week)",No,Yes,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£526,600,000","£527,715,000",1736,Yes
1,British Hallmarking Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,Yes,The British Hallmarking Council supervise UK hallmarking.,Established 1973.,"Geraldine Swanton, Secretary, British Hallmarking Council, No 1 Colmore Square, Birmingham B4 6AA",0870 763 1455,geraldine.swanton@martineau-uk.com,www.bis.gov.uk/britishhallmarkingcouncil,Christopher Jewitt,"£14,000",-,-,No,No,Yes,PHSO,2011-12,2010,NAO,£0,£0,0,Yes
1,Capital for Enterprise Limited,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,Capital for Enterprise Ltd is the principal centre of expertise within Government on the provision of Small and Medium Enterprise financial interventions.,Established 2008.  Lucy Armstrong became Chair from 1 April 2012.,"1 Broadfield Close, Broadfield Business Park, Sheffield, S Yorks, S8 0XN",0114 206 2131,info@capitalforenterprise.gov.uk,www.capitalforenterprise.gov.uk,Lucy Armstrong.,"£34,320",Rory Early,"£150,000 - £165,000",No,No,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£2,600,000","£3,167,000",24,Yes
1,Central Arbitration Committee,"Department for Business, Innovation and Skills",Tribunal NDPB,Merge,0,No,Adjudicating on issues around statutory trade union recognition and complaints brought under UK employees' information and consultation laws.,"Established 1976.  The Chair is a High Court Judge salaried by the Ministry of Justice; a proportion of his salary is refunded to the Ministry of Justice by the Dept of Business, Innovation and Skills.","Euston Tower, 286 Euston Road, London NW1 3JJ.",020 7904 2300,enquiries@cac.gov.uk,www.cac.gov.uk/ ,Sir Michael Burton,-,Simon Gouldstone,"£58,000 - £69,000",No,No,Yes,-,2011-12,-,NAO,From Acas,"£626,100",10,No
1,Competition Appeals Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,Retain,0,No,Hearing of appeals in respect of various competition related matters ,Established 1 April 2003. Administration for the Competition Appeal Tribunal is provided by the Competition Service as an Executive NDPB.  ,"Victoria House, Bloomsbury Place, London, WC1A 2EB",020 7979 7979,-,www.catribunal.org.uk ,Sir Gerald Barling,"£172,753",Charles Dhanowa,See note,Yes,Yes,Yes,-,2011-12,-,NAO,£0,£0,0,No
1,Competition Commission,"Department for Business, Innovation and Skills",Executive NDPB,Merge,0,Yes,"To investigate and report on matters referred to it relating to mergers, markets and anti-competitive practices, and the regulation of utilities.",Established 1 April 1999.   Chair Appointment information include 3 deputies.  Members include 3 non-executive directors who serve on the Commission’s governing council.  They do not sit on inquiry panels.,"Victoria House, Southampton Row, London, WC1B 4AD",020 7271 0100,info@cc.gsi.gov.uk,www.competition-commission.org.uk,Roger Witcomb,"£140,602",David Saunders,"£152,500",No,No,Yes,PHSO,2011-12,2007,NAO,"£16,736,000","£21,391,000",141,Yes
1,Competition Service,"Department for Business, Innovation and Skills",Executive NDPB,No longer an NDPB,0,No,To fund and provide support services to the Competition Appeal Tribunal.,Established 1 April 2003.  ,"Victoria House, Bloomsbury Place, London, WC1A 2EB",020 7979 7979,-,www.catribunal.org.uk ,Janet Rubin,£350 per day,Charles Dhanowa,"£96,629",No,No,No,PHSO,2011-12,-,NAO,"£3,902,000","£3,902,000",16,Yes
1,Construction Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the industry.,Established 1964.  The Chair does not currently take a salary.,"Bircham Newton, King's Lynn, Norfolk PE1 6RH",0300 456 7577 or 0344 994  4400,call.centre@cskills.org.uk,www.cskills.org,James Wates,£0,Mark Farrar,"£222,000",No,Yes,Yes,PHSO,2011,2003,NAO,£0,"£209,087,000",1200,Yes
1,Consumer Focus,"Department for Business, Innovation and Skills",Executive NDPB,No longer an NDPB,0,No,"Statutory consumer body providing general advocacy for consumers in England, Wales and Scotland and for postal consumers in Northern Ireland with specific remit to provide advocacy in the energy and postal regulated markets including (in Scotland only) water.","Established under Consumer, Estate Agents and Redress Act 2007; operational since 1st October 2008.  Of the Government funding, £5,771,000 and £3,111,000 is recovered via a levy from the energy and postal industries respectively.","Fleetbank House, Salisbury Square, London EC4Y 8JX",020 7799 7900,contact@consumerfocus.org.uk,www.consumerfocus.org.uk,Christine Farnish,"£48,000",Mike O'Connor,"£110,000",No,No,Yes,PHSO,2011-12,2009,NAO,"£11,582,000","£14,343,000",147,Yes
1,Copyright Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,No longer an NDPB,0,Yes,Deals with collective licensing disputes between business and collecting societies. ,Established 1956.,"4 Abbey Orchard Street, London, SW1P 2HT",020 7034 2836,catherine.worley@ipo.gov.uk,www.ipo.gov.uk/ctribunal.htm ,Judge Birss,£0,-,-,Yes,No,Yes,-,-,2008,-,£0,"£85,954",1,No
1,Council for Science and Technology,"Department for Business, Innovation and Skills",Advisory NDPB,-,0,No,The CST advises the Prime Minister on strategic science and technology issues that cut across the responsibilities of individual government departments.,Established 1993 and relaunched in 2004.  Co-chaired by Professor Sir John Beddington & Professor Dame Nancy Rothwell. ,"CST Secretariat - 2nd Floor, Orchard 3, 1 Victoria Street, London, SW1H 0ET",020 7215 1092,cstinfo@bis.gsi.gov.uk,www.bis.gov.uk/cst,Multiple,£0,Dr Alan Pitt (Secretary),Civil Servant,No,Yes,Yes,PHSO,-,2004,-,£0,"£250,000",4,Yes
1,Economic and Social Research Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"The Economic and Social Research Council funds research into the big social and economic questions facing society today.  ESRC also develops and trains the UK's future social scientists.  ESRC's research informs public policies and helps make businesses, voluntary bodies and other organisations more effective.",Established 1965.,"Polaris House, North Star Avenue, Swindon, SN2 1UJ",01793 413000,www.esrc.ac.uk/about-esrc/contact/,www.esrc.ac.uk/,Dr Alan Gillespie,"£16,180",Professor Paul Boyle,"£151,200 see note",No,Yes,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£188,000,000","£185,595,000",117,Yes
1,Engineering and Physical Sciences Research Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"The main UK government agency for funding research and training in engineering and the physical sciences, investing more than £800 million a year.",Established 1994.,"Polaris House, North Star Avenue, Swindon SN2 1ET",01793 444000,infoline@epsrc.ac.uk,www.epsrc.ac.uk,Dr Paul Golby,"£16,340",Professor Dave Delpy,"£145,000-150,000",Yes,Yes,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£834,000,000","£859,000,000",244,Yes
1,Engineering Construction Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the industry.,Established 1991 (replacing the Engineering Industry Training Board that was established in 1964).  The current Chair took up post from Terry Lazenby in April 2012.,"Blue Court, Church Lane, Kings Langley, Hertfordshire WD4 8JP",01923 260 000,ECITB@ecitb.org.uk,www.ecitb.org.uk,Andrew Collinson,"£23,460",David Edwards,"£110,000-115,000",No,Yes,Yes,PHSO,2011,2003,NAO,£0,"£27,827,000",80,Yes
1,Film Industry Training Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,Yes,To ensure the quantity and quality of training provision is adequate to meet the current and future skills needs of the industry.,Established 2008.,"c/o Skillset, 21 Caledonian Road, London N1 9GB",020 7713 9800,-,-,Iain Smith,£0,-,-,No,No,Yes,PHSO,-,-,-,£0,£0,0,Yes
1,Higher Education Funding Council for England (HEFCE),"Department for Business, Innovation and Skills",Executive NDPB,Retain,-,No,"The Higher Education Funding Council for England promotes and funds high-quality, cost-effective teaching and research in universities and colleges in England, to meet the diverse needs of students, the economy and society. 
",Established 1992.,"Bristol office, Northavon House, Coldharbour Lane, Bristol, BS16 1QD


",0117 931 7317,-,www.hefce.ac.uk/,Tim Melville-Ross,"£47,350",Sir Alan Langlands,"£230,000",No,Yes,Yes,PHSO,2011-12,-,NAO,"£6,846,711,000","£6,846,711,000",226,Yes
1,Industrial Development Advisory Board,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,0,No,The Industrial Development Advisory Board advises on applications from companies who are proposing to undertake capital investment projects in the Assisted Areas in England and have applied for regional selective assistance under the Grant for Business Investment scheme or the Regional Growth Fund.,Established in 1972. The activities of the Industrial Development Advisory Board are included in an annual report to Parliament on the exercise of powers under the Industrial Development Act 1982. This report is available at: www.official-documents.gov.uk/document/hc1213/hc02/0210/0210.pdf. ,"4th Floor, 1 Victoria Street, London SW1H 0ET",020 7215 3854,alan.berger@bis.gsi.gov.uk,www.bis.gov.uk/policies/economic-development/industrial-development-advisory-board,Mark Seligman,£0,Paul Hadley,Civil Servant,No,No,Yes,PHSO,2012,Triennial Review 2011/12.,-,£0,-,0,Yes
1,Insolvency Practitioners Tribunal,"Department for Business, Innovation and Skills",Tribunal NDPB,Under consideration,0,No,"To hear referrals from individuals and insolvency practitioners authorised to act by the Secretary of State in respect of refusal to grant, or the intention to withdraw, a license to act.",Established 1986.,"4 Abbey Orchard Street, London, SW1P  2HT ",020 7637 6568,David.Swarts@insolvency.gsi.gov.uk,-,Chairs drawn from panel of potential chairs for each individual case,£316 per day,David Swarts,Civil Servant,No,No,No,-,-,2000,-,£0,£0,0,No
1,Land Registration Rule Committee,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,0,No,The LRRC advises and assists in the making of Land Registration Rules and Land Registration Fee Orders and draft amendments for the Lord Chancellor and the Secretary of State under the Land Registration Act 2002.,Established 2002.,"HM Land Registry, Lincoln’s Inn Fields, London WC2A 3PH",0300 006 7127 ,Carol.Gurajena@landregistry.gsi.gov.uk,www.landregistry.gov.uk/professional/law-and-practice/act-and-rules/land-registration-rule-committee,Mr Justice Morgan,£0,Carol Gurajena,Civil Servant,No,Yes,No,-,-,2002,-,-,-,0,Yes
1,Low Pay Commission,"Department for Business, Innovation and Skills",Advisory NDPB,Retain,0,No,The Low Pay Commission advises the Government on the National Minimum Wage under an annual remit. ,Established 1997. Chair does not claim remuneration.,"6th Floor, Victoria House, Southampton Row, London WC1B 4AD",020 7271 0450,lpc@lowpay.gov.uk,www.lowpay.gov.uk,David Norgrove,£0,Robin Webb,Civil Servant,No,No,Yes,PHSO,2012,Triennial Review due 2012/13.,NAO,"£827,000",-,8,Yes
1,Medical Research Council (MRC),"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"The Medical Research Council is dedicated to improving human health. It supports research across the spectrum of medical sciences, in universities and hospitals, in its own units and institutes in the UK, and in units in Africa.",The Medical Research Council was founded in 1913 to tackle the public health menace of tuberculosis. ,"Polaris House, North Star Avenue, Swindon, SN2 1FL",01793 416200,corporate@headoffice.mrc.ac.uk,www.mrc.ac.uk,Sir John Chisolm,£0,Professor Sir J Savill,"£120,000",Yes,Yes,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£697,500,000","£827,311,000",4298,Yes
1,Natural Environment Research Council (NERC),"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"The UK's main agency for funding and managing research, training and knowledge exchange in the environmental sciences, covering atmospheric, Earth, biological, terrestrial and aquatic science, from the deep oceans to the upper atmosphere and from the poles to the equator.",Established 1965.,"Polaris House, North Star Ave, Swindon, SN2 1EU",01793 411500,www.nerc.ac.uk/about/contacts/,www.nerc.ac.uk,Mr Edmund Wallis,"£16,430",Professor Duncan Wingham,"£163,800",Yes,Yes,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£381,819,000","£467,358,000",2407,Yes
1,Office for Fair Access,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,Yes,"The role of the Office for Fair Access is to promote and safeguard fair access to higher education for lower income and other under-represented groups following the introduction of higher tuition fees in 2006-07.

",Established 2004.,"Office for Fair Access, Northavon House, Coldharbour Lane, Bristol BS16 1QD
",0117 931 7171,enquiries@offa.org.uk,www.offa.org.uk/,Les Ebdon (Director),"£78,000 (3 days per week)",-,-,No,No,-,-,2011-12,-,NAO,"£706,575","£706,575",11,Yes
8,Regional Development Agencies (x8),"Department for Business, Innovation and Skills",Executive NDPB,No longer an NDPB,8,No,Abolished with effect from 1/7/2012,Financial information for 2011/12. Government funding and expenditure total for 8 bodies.,"BIS, 1 Victoria St, London SW1H 0ET",020-7215 5000,enquiries@bis.gsi.gsi.gov.uk,www.nationalarchives.gov.uk,Multiple,"£81,718-£89,327",Multiple,"£117,000-£165,000",Yes,Yes,Yes,Yes,2011-12,Abolished from 1/7/2012,NAO,"£314,501,000","£679,756,000",0,Yes
1,Regulatory Policy Committee,"Department for Business, Innovation and Skills",Advisory NDPB,-,0,No,"The strategic purpose of the RPC is to contribute to a cultural change in the Government’s approach to regulation and support better and smarter regulation, through improving the use of evidence and analysis in regulatory policy-making. The RPC provides independent scrutiny of the quality of analysis of new regulatory proposals to inform Government decision-making. The RPC also undertakes independent investigative activity as requested by the Reducing Regulation Committee",Established in 2009 as ad hoc advisory body. Reclassified as advisory NDPB in November 2011,"BIS, 1 Victoria St, London, SW1H 0ET",020 7215 1460,regulatoryenquiries@rpc.gsi.gov.uk,http://regulatorypolicycommittee.independent.gov.uk/ ,Michael Gibbons OBE,"£20,000",Tony Pedrotti - Head of Secretariat,Civil Servant,No,No,Yes,PHSO,2011-12,-,-,"£1,029,000",-,15,Yes
1,Science and Technology Facilities Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"The Council operates world class, large scale research facilities and provides strategic advice to the UK government on their development. It also manages the UK interests in major international collaborations such as CERN. The STFC also directs, coordinates and funds research, education and training.",Formed as a new Research Council in 2007 through a merger of the Council for Central Laboratory of the Research Councils and the Particle Physics and Astronomy Research council and the transfer of responsibility for nuclear physics from the Engineering and Physical Sciences Research Council.,"Polaris House, North Star Avenue, Swindon SN2 1SZ",01793 442000,enquiries@stfc.ac.uk,www.stfc.ac.uk,Professor Sir Michael Sterling,"£55,000",John Womersley,"£130,000",No,Yes,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£536,000,000","£519,000,000",1668,Yes
1,Student Loans Company,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,The SLC is a non-profit making government-owned organisation set up to provide loans & grants to students in universities & colleges in the UK.,Established 1989. Government funding and expenditure figures represent UK totals from BIS and the Devolved Administrations,"100 Bothwell Street, Glasgow G2 7JD",0141 306 2000,www.direct.gov.uk/studentfinance,www.slc.co.uk,Ed Smith ,"£50,000",Ed Lester ,"£163,000",No,Yes,Yes,Independent Assessors,2011-12,2000,KPMG,"£98,989,000","£97,303,000",1920,Yes
1,Technology Strategy Board,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"Research into, and the development and exploitation of, science, technology and new ideas for the benefit of those engaged in business activities with the aim of increasing economic growth and improving quality of life.",Established 2007,"Block A, Floor 1, North Star House, North Star Avenue, Swindon, SN2 1UE",01793 442700,enquiries@tsb.gov.uk,www.innovateuk.org,Phil Smith,"£15,720",Iain Gray,"£198,450",No,No,Yes,PHSO,2011-12,Triennial Review due 2012/13.,NAO,"£360,500,000","£302,975,000",122,Yes
1,UK Atomic Energy Authority,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,No,"To carry out research into nuclear fusion and related topics e.g. advanced materials for fusion and fission. To manage the Joint European Torus project on behalf of the European Community. To manage the Culham and Harwell sites. To manage historical liabilities, including the Authority Pension Schemes.",Established 1954.,"UK Atomic Energy Authority, Culham Science Centre, Abingdon, OX14 3DB",01235 528822,-,www.uk-atomic-energy.org.uk/,Professor Roger Cashmore ,"£25,000",Professor Steven Cowley,"£216,019",No,Yes,Yes,-,2011-12,2010,NAO,"£10,798,000","£84,094,000",540,Yes
1,UK Commission for Employment and Skills,"Department for Business, Innovation and Skills",Executive NDPB,Retain,0,Yes,"UKCES provides strategic leadership on skills and employment issues.  Led by Commissioners from large and small employers, trade unions and the voluntary sector, they aim to raise skill levels to help drive enterprise, create more and better jobs and economic growth.","Established 2008. £28,000 (plus VAT) paid to John Lewis Partnership for Chair's services in 2011/12.","Renaissance House, Adwick Park, Wath-Upon-Dearne S63 5NB

(London - from 11 October 2012 - Sanctuary Buildings, 20 Great Smith Street, London SW1P 3BT)",01709 772800,info@ukces.org.uk,www.ukces.org.uk,Charlie Mayfield,See note,Michael Davis,"£133,500",No,No,Yes,PHSO,2011-12,-,NAO,"£65,500,000","£63,500,000",101,Yes
1,Building Regulations Advisory Committee,Department for Communities and Local Government,Advisory NDPB,Retain,0,No,To advise the Secretary of State on the exercise of his powers to make building regulations for England and on other subjects connected with building regulations.,The Building Regulations Advisory Committee was set up in April 1962 under Section 9 of the Public Health Act 1961 (now Section 14 of the Building Act 1984).,"c/o DCLG, Sustainable Buildings Division, Zone 5/E8 Eland House, Bressenden Place, London, SW1E 5DU",0303 4441 813,brac@communities.gsi.gov.uk,www.gov.uk/government/organisations/building-regulations-advisory-committee ,Neil Cooper,£0,Civil Servant,Civil Servant,No ,Yes,Yes,PHSO,2011,Triennial Review due 2012/13.,-,"£10,000","£7,000",0,Yes
1,Homes and Communities Agency,Department for Communities and Local Government,Executive NDPB,Retain and substantially reform,0,Yes,The Homes and Communities Agency is the housing and regeneration agency and social regulator of social housing for England.,-,"Maple House, 149 Tottenham Court Road, London, W1T 7BN",0300 1234 500,mail@homesandcommunities.co.uk,www.homesandcommunities.co.uk,Robert Napier,"£85,500",Pat Ritchie,"£141,000",No,Yes,Yes,PHSO,2011-12,2010,NAO,"£2,194,000,000","£2,391,000,000",745,Yes
1,Independent Housing Ombudsman Ltd,Department for Communities and Local Government,Executive NDPB,Retain,0,Yes,To devise and administer schemes for the investigation of complaints and the resolution of disputes between landlords and residential tenants (currently being revised to reflect Localism Act 2011 changes).,Established 1 April 1997 and currently undertaking a governance review of the terms of the Independent Housing Ombudsman Scheme.,"81 Aldwych, London, WC2B 4HN",020 7421 3800,info@housing-ombudsman.org.uk,www.housing-ombudsman.org.uk,Nick Hardwick,"£12,579",-,-,No,No,No,-,2011-12,2010/11,NAO,£0,"£3,366,131",37,No
1,"Leasehold Advisory Service, The",Department for Communities and Local Government,Executive NDPB,Under consideration,0,No,To provide front line advice service on residential leasehold law and rights in England & Wales.,Established under company Law in 1994. Classified as a public body in 2005.,"Maple House, 149 Tottenham Court Road, London, W1T 7BN",020 7383 9800,info@lease-advice.org,www.lease-advice.org,Deep Sagar,£220 per day,Anthony Essien,"£73,318",Yes,Yes,Yes,PHSO,2011-12,2010/11,MacIntyre Hudson LLP,"£1,184,147","£1,425,979",19,Yes
1,London Thames Gateway Development Corporation,Department for Communities and Local Government,Executive NDPB,No longer an NDPB,0,No,"To secure the regeneration of its area through bringing land and buildings into effective use, encouraging the development of existing and new industry and commerce, creating an attractive environment and ensuring that housing and social facilities are available to encourage people to live and work in its area.  Local planning authority for its area.",Established 26 June 2004,"10th Floor, 2 Exchange Tower, Harbour Exchange square, London, E14 9GE",020 7517 4730,info@ltgdc.org.uk,www.ltgdc.org.uk,Bob Lane,"£47,938",Peter Andrews (at 31 March 2012),"£168,532",Yes,Yes,Yes,PHSO,2011-12,2010,NAO,"£4,750,000","£24,864,000.00",31,Yes
1,Valuation Tribunal for England,Department for Communities and Local Government,Tribunal NDPB,No longer an NDPB,0,No,"To list, hear and determine appeals concerning valuations for non-domestic rating purposes and council tax and liability for council tax.",-,"VTE/VTS Second Floor, Black Lion House, 45 Whitechapel Road, London, E1 1DU",020 7426 3903,tony.masella@vts.gsi.gov.uk,www.valuationtribunal.gov.uk/WhoWeAre/Valuation_Tribunal_for_England.aspx,Anne Galbraith,"£57,408",Tony Masella,"£88,000",Yes,Yes,Yes,PHSO,2011-12,2010/11,-,£0,£0,0,Yes
1,Valuation Tribunal Service,Department for Communities and Local Government,Executive NDPB,No longer an NDPB,0,No,"To provide staff, accommodation and other support (including general advice about procedure in relation to proceedings before tribunals) to the Valuation Tribunal for England.",Established on 1 April 2004 under the Local Government Act 2003.,"VTE/VTS Second Floor, Black Lion House, 45 Whitechapel Road, London, E1 1DU",020 7426 3903,tony.masella@vts.gsi.gov.uk,www.valuationtribunal.gov.uk,Anne Galbraith,"£57,408",Tony Masella,"£88,000",Yes,Yes,Yes,PHSO,2011-12,2010/11,NAO,"£8,915 300","£9,395,092",81,Yes
